Country Code,Country Name,Cluster_aggregate,Cluster_1995,Cluster_2010,Cluster_2023,Stability_aggregate,Stability_1995,Stability_2010,Stability_2023,Resource_Rich,RR_k3_aggregate,RR_stability_k3_aggregate,RR_k3_1995,RR_stability_k3_1995,RR_k3_2010,RR_stability_k3_2010,RR_k3_2023,RR_stability_k3_2023,RR_k4_aggregate,RR_stability_k4_aggregate,RR_k4_1995,RR_stability_k4_1995,RR_k4_2010,RR_stability_k4_2010,RR_k4_2023,RR_stability_k4_2023,RR_k5_aggregate,RR_stability_k5_aggregate,RR_k5_1995,RR_stability_k5_1995,RR_k5_2010,RR_stability_k5_2010,RR_k5_2023,RR_stability_k5_2023
AFG,Afghanistan,Mining Specialists,,Mining Specialists,,1.0,,1.0,,False,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,Mining Specialists,,Mining Specialists,Mining Specialists,1.0,,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
DZA,Algeria,Petrostates,Petrostates,Petrostates,,1.0,1.0,1.0,,True,2.0,1.0,2.0,1.0,1.0,1.0,,,3.0,1.0,2.0,1.0,3.0,1.0,,,2.0,1.0,2.0,1.0,1.0,1.0,,
AND,Andorra,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,Petrostates,,Petrostates,Petrostates,1.0,,1.0,1.0,True,2.0,1.0,,,1.0,1.0,2.0,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,2.0,1.0,4.0,1.0
ARG,Argentina,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,Mining Specialists,,Mining Specialists,Mining Specialists,1.0,,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
AZE,Azerbaijan,Petrostates,,Petrostates,Petrostates,1.0,,1.0,1.0,True,2.0,1.0,,,1.0,1.0,2.0,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,2.0,1.0,1.0,1.0
BHR,Bahrain,Unlabeled_1,,Unlabeled_3,Mining Specialists,1.0,,1.0,1.0,True,1.0,1.0,,,0.0,1.0,1.0,1.0,1.0,1.0,,,0.0,1.0,3.0,1.0,4.0,1.0,,,3.0,1.0,3.0,1.0
BGD,Bangladesh,Mining Specialists,Unlabeled_0,Mining Specialists,,1.0,1.0,1.0,,False,,,,,,,,,,,,,,,,,,,,,,,,
BLR,Belarus,Mining Specialists,,Mining Specialists,,1.0,,1.0,,False,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Mining Specialists,,Mining Specialists,Mining Specialists,1.0,,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
BTN,Bhutan,Mining Specialists,,Mining Specialists,Mining Specialists,1.0,,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Unlabeled_1,Mining Specialists,Unlabeled_3,Unlabeled_0,1.0,1.0,1.0,1.0,True,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,2.0,1.0
BIH,Bosnia and Herzegovina,Mining Specialists,,Mining Specialists,Mining Specialists,1.0,,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Diverse Resource Exporters,,Unlabeled_4,Unlabeled_3,1.0,,1.0,1.0,True,0.0,1.0,,,2.0,1.0,0.0,1.0,0.0,1.0,,,2.0,1.0,2.0,1.0,0.0,1.0,,,4.0,1.0,0.0,1.0
BRA,Brazil,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,Mining Specialists,,Mining Specialists,Mining Specialists,1.0,,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Diverse Resource Exporters,Unlabeled_0,Unlabeled_4,Unlabeled_3,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Diverse Resource Exporters,Unlabeled_0,Unlabeled_0,Unlabeled_0,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
CPV,Cabo Verde,Mining Specialists,,Mining Specialists,Mining Specialists,1.0,,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,Mining Specialists,,Mining Specialists,Mining Specialists,1.0,,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Unlabeled_1,Unlabeled_4,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,True,2.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
CAF,Central African Republic,Diverse Resource Exporters,Unlabeled_0,Unlabeled_4,Unlabeled_3,1.0,1.0,1.0,1.0,True,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,4.0,1.0,4.0,1.0,0.0,1.0
