Country Code,Value,Variable,Year
ABW,0,Landlocked,1995
ABW,0,Landlocked,1996
ABW,0,Landlocked,1997
ABW,0,Landlocked,1998
ABW,0,Landlocked,1999
ABW,0,Landlocked,2000
ABW,0,Landlocked,2001
ABW,0,Landlocked,2002
ABW,0,Landlocked,2003
ABW,0,Landlocked,2004
ABW,0,Landlocked,2005
ABW,0,Landlocked,2006
ABW,0,Landlocked,2007
ABW,0,Landlocked,2008
ABW,0,Landlocked,2009
ABW,0,Landlocked,2010
ABW,0,Landlocked,2011
ABW,0,Landlocked,2012
ABW,0,Landlocked,2013
ABW,0,Landlocked,2014
ABW,0,Landlocked,2015
ABW,0,Landlocked,2016
ABW,0,Landlocked,2017
ABW,0,Landlocked,2018
ABW,0,Landlocked,2019
ABW,0,Landlocked,2020
ABW,0,Landlocked,2021
ABW,0,Landlocked,2022
ABW,0,Landlocked,2023
AFG,1,Landlocked,1995
AFG,1,Landlocked,1996
AFG,1,Landlocked,1997
AFG,1,Landlocked,1998
AFG,1,Landlocked,1999
AFG,1,Landlocked,2000
AFG,1,Landlocked,2001
AFG,1,Landlocked,2002
AFG,1,Landlocked,2003
AFG,1,Landlocked,2004
AFG,1,Landlocked,2005
AFG,1,Landlocked,2006
AFG,1,Landlocked,2007
AFG,1,Landlocked,2008
AFG,1,Landlocked,2009
AFG,1,Landlocked,2010
AFG,1,Landlocked,2011
AFG,1,Landlocked,2012
AFG,1,Landlocked,2013
AFG,1,Landlocked,2014
AFG,1,Landlocked,2015
AFG,1,Landlocked,2016
AFG,1,Landlocked,2017
AFG,1,Landlocked,2018
AFG,1,Landlocked,2019
AFG,1,Landlocked,2020
AFG,1,Landlocked,2021
AFG,1,Landlocked,2022
AFG,1,Landlocked,2023
AGO,0,Landlocked,1995
AGO,0,Landlocked,1996
AGO,0,Landlocked,1997
AGO,0,Landlocked,1998
AGO,0,Landlocked,1999
AGO,0,Landlocked,2000
AGO,0,Landlocked,2001
AGO,0,Landlocked,2002
AGO,0,Landlocked,2003
AGO,0,Landlocked,2004
AGO,0,Landlocked,2005
AGO,0,Landlocked,2006
AGO,0,Landlocked,2007
AGO,0,Landlocked,2008
AGO,0,Landlocked,2009
AGO,0,Landlocked,2010
AGO,0,Landlocked,2011
AGO,0,Landlocked,2012
AGO,0,Landlocked,2013
AGO,0,Landlocked,2014
AGO,0,Landlocked,2015
AGO,0,Landlocked,2016
AGO,0,Landlocked,2017
AGO,0,Landlocked,2018
AGO,0,Landlocked,2019
AGO,0,Landlocked,2020
AGO,0,Landlocked,2021
AGO,0,Landlocked,2022
AGO,0,Landlocked,2023
AIA,0,Landlocked,1995
AIA,0,Landlocked,1996
AIA,0,Landlocked,1997
AIA,0,Landlocked,1998
AIA,0,Landlocked,1999
AIA,0,Landlocked,2000
AIA,0,Landlocked,2001
AIA,0,Landlocked,2002
AIA,0,Landlocked,2003
AIA,0,Landlocked,2004
AIA,0,Landlocked,2005
AIA,0,Landlocked,2006
AIA,0,Landlocked,2007
AIA,0,Landlocked,2008
AIA,0,Landlocked,2009
AIA,0,Landlocked,2010
AIA,0,Landlocked,2011
AIA,0,Landlocked,2012
AIA,0,Landlocked,2013
AIA,0,Landlocked,2014
AIA,0,Landlocked,2015
AIA,0,Landlocked,2016
AIA,0,Landlocked,2017
AIA,0,Landlocked,2018
AIA,0,Landlocked,2019
AIA,0,Landlocked,2020
AIA,0,Landlocked,2021
AIA,0,Landlocked,2022
AIA,0,Landlocked,2023
ALB,0,Landlocked,1995
ALB,0,Landlocked,1996
ALB,0,Landlocked,1997
ALB,0,Landlocked,1998
ALB,0,Landlocked,1999
ALB,0,Landlocked,2000
ALB,0,Landlocked,2001
ALB,0,Landlocked,2002
ALB,0,Landlocked,2003
ALB,0,Landlocked,2004
ALB,0,Landlocked,2005
ALB,0,Landlocked,2006
ALB,0,Landlocked,2007
ALB,0,Landlocked,2008
ALB,0,Landlocked,2009
ALB,0,Landlocked,2010
ALB,0,Landlocked,2011
ALB,0,Landlocked,2012
ALB,0,Landlocked,2013
ALB,0,Landlocked,2014
ALB,0,Landlocked,2015
ALB,0,Landlocked,2016
ALB,0,Landlocked,2017
ALB,0,Landlocked,2018
ALB,0,Landlocked,2019
ALB,0,Landlocked,2020
ALB,0,Landlocked,2021
ALB,0,Landlocked,2022
ALB,0,Landlocked,2023
AND,0,Landlocked,1995
AND,0,Landlocked,1996
AND,0,Landlocked,1997
AND,0,Landlocked,1998
AND,0,Landlocked,1999
AND,0,Landlocked,2000
AND,0,Landlocked,2001
AND,0,Landlocked,2002
AND,0,Landlocked,2003
AND,0,Landlocked,2004
AND,0,Landlocked,2005
AND,0,Landlocked,2006
