period,reporterISO,reporterDesc,total_imports_usd
2019,ABW,Aruba,1313806452.372
2019,AFG,Afghanistan,8568013876.87
2019,AGO,Angola,13961640425.765
2019,ALB,Albania,5908003380.108
2019,AND,Andorra,1539071291.553
2019,ARE,United Arab Emirates,288446698975.132
2019,ARG,Argentina,49125029975.95
2019,ARM,Armenia,5062814717.898
2019,ATG,Antigua and Barbuda,568340063.182
2019,AUS,Australia,221527797251.589
2019,AUT,Austria,176596131348.864
2019,AZE,Azerbaijan,13649506476.13
2019,BDI,Burundi,887729043.379
2019,BEL,Belgium,318706545157.901
2019,BEN,Benin,2907372147.165
2019,BFA,Burkina Faso,4259319002.143
2019,BGR,Bulgaria,37765114126.383
2019,BHR,Bahrain,18588377144.142
2019,BHS,Bahamas,3320458693.718
2019,BIH,Bosnia Herzegovina,11159040331.667
2019,BLR,Belarus,39476679200.0
2019,BLZ,Belize,985904343.893
2019,BMU,Bermuda,1117764475.54
2019,BOL,Bolivia (Plurinational State of),9824367971.12
2019,BRA,Brazil,193162004038.0
2019,BRB,Barbados,1580842477.0
2019,BRN,Brunei Darussalam,5102674118.71
2019,BTN,Bhutan,979333511.88
2019,BWA,Botswana,6657430605.349
2019,CAF,Central African Rep.,567831533.822
2019,CAN,Canada,453651555186.53
2019,CHE,Switzerland,276388086970.536
2019,CHL,Chile,69854853685.708
2019,CHN,China,2079285499197.0
2019,CIV,Côte d'Ivoire,10482560553.171
2019,CMR,Cameroon,6561572963.703
2019,COD,Dem. Rep. of the Congo,8824801939.34
2019,COG,Congo,2242427608.618
2019,COL,Colombia,52695881703.65
2019,COM,Comoros,203585921.43
2019,CPV,Cabo Verde,1390725479.84
2019,CRI,Costa Rica,16106274382.32
2019,CUB,Cuba,9901427082.19
2019,CUW,Curaçao,1201844576.095
2019,CYP,Cyprus,9179162776.815
2019,CZE,Czechia,179273065047.0
2019,DEU,Germany,1239895409104.581
2019,DMA,Dominica,292290126.106
2019,DNK,Denmark,97006756563.178
2019,DOM,Dominican Rep.,21983287128.894
2019,ECU,Ecuador,22564309274.124
2019,EGY,Egypt,76514916839.344
2019,ESP,Spain,375470067282.007
2019,EST,Estonia,18669106128.528
2019,ETH,Ethiopia,15533415853.65
2019,FIN,Finland,73719857019.413
2019,FJI,Fiji,2781213915.378
2019,FRA,France,643208112669.297
2019,GAB,Gabon,3874468700.474
2019,GBR,United Kingdom,692494170352.687
2019,GEO,Georgia,9518320313.89
2019,GHA,Ghana,10439795453.291
2019,GMB,Gambia,494031876.325
2019,GRC,Greece,62198045283.381
2019,GRD,Grenada,479834567.646
2019,GTM,Guatemala,19870650527.0
2019,GUY,Guyana,4025139265.307
2019,HKG,"China, Hong Kong SAR",578590151014.665
2019,HND,Honduras,9156168376.85
2019,HRV,Croatia,28004414329.0
2019,HUN,Hungary,117324011167.0
2019,IDN,Indonesia,171275708684.0
2019,IND,India,478883729111.406
2019,IRL,Ireland,101888445882.655
2019,IRN,Iran,43975567840.0
2019,ISL,Iceland,6579003950.047
2019,ISR,Israel,76578559000.0
2019,ITA,Italy,474957327527.243
2019,JAM,Jamaica,6389126910.098
2019,JOR,Jordan,19336708718.454
2019,JPN,Japan,721077406256.171
2019,KAZ,Kazakhstan,39708836450.91
2019,KEN,Kenya,17210001018.47
2019,KGZ,Kyrgyzstan,4988946048.0
2019,KHM,Cambodia,20278818286.0
2019,KOR,Rep. of Korea,503262910727.0
2019,KWT,Kuwait,33530892789.0
2019,LAO,Lao People's Dem. Rep.,5797444591.279
2019,LBN,Lebanon,19239178794.25
2019,LBR,Liberia,1219686130.736
2019,LBY,Libya,15663796204.0
2019,LCA,Saint Lucia,623792718.07
2019,LKA,Sri Lanka,19474314226.007
2019,LSO,Lesotho,1589484996.016
2019,LTU,Lithuania,35759415639.48
2019,LUX,Luxembourg,22673692574.437
2019,LVA,Latvia,17145689827.203
2019,MAC,"China, Macao SAR",12024018851.18
2019,MAR,Morocco,51048929466.402
2019,MDA,Rep. of Moldova,5842487249.0
2019,MDG,Madagascar,3935472286.247
2019,MDV,Maldives,2887030894.364
2019,MEX,Mexico,455235784381.0
2019,MKD,North Macedonia,9445513386.92
2019,MLI,Mali,5048548619.874
2019,MLT,Malta,8211008645.136
2019,MMR,Myanmar,18611011075.685
2019,MNE,Montenegro,2908435630.995
2019,MNG,Mongolia,6127355631.501
2019,MOZ,Mozambique,7698925389.732
2019,MRT,Mauritania,3519829183.85
2019,MSR,Montserrat,32562090.612
2019,MUS,Mauritius,5601184454.52
2019,MWI,Malawi,2892158547.597
2019,MYS,Malaysia,205030495401.332
2019,NAM,Namibia,6196838052.332
2019,NER,Niger,2772506090.25
2019,NGA,Nigeria,47369076912.28
2019,NIC,Nicaragua,6985484651.75
2019,NLD,Netherlands,514857687783.7
2019,NOR,Norway,86144982447.514
2019,NPL,Nepal,12325259053.55
2019,NZL,New Zealand,42271276496.209
2019,OMN,Oman,23506693600.912
2019,PAK,Pakistan,50063059560.226
2019,PAN,Panama,21484233253.0
2019,PER,Peru,42376434141.489
2019,PHL,Philippines,117247264757.0
2019,PNG,Papua New Guinea,4969260531.751
2019,POL,Poland,246653880235.0
2019,PRT,Portugal,89541379731.222
2019,PRY,Paraguay,12543968779.0
2019,PSE,State of Palestine,6613453678.02
2019,PYF,French Polynesia,2118985633.636
2019,QAT,Qatar,29178064574.181
2019,ROU,Romania,96644318708.62
2019,RUS,Russian Federation,247161342900.21
2019,RWA,Rwanda,3189416682.47
2019,S19,"Other Asia, nes",285931193664.18
2019,SAU,Saudi Arabia,153133596340.193
2019,SEN,Senegal,8143734073.756
2019,SGP,Singapore,358974637219.11
2019,SLV,El Salvador,11602097258.73
2019,SRB,Serbia,26730093636.0
2019,STP,Sao Tome and Principe,147666945.396
2019,SUR,Suriname,1711449972.454
2019,SVK,Slovakia,90915779957.205
2019,SVN,Slovenia,38162054184.9
2019,SWE,Sweden,158958177893.649
2019,SWZ,Eswatini,1832435797.7
2019,SYC,Seychelles,1438003981.558
2019,TGO,Togo,1789999724.947
2019,THA,Thailand,236206439760.276
2019,TJK,Tajikistan,3327281572.5
2019,TLS,Timor-Leste,535637257.19
2019,TON,Tonga,272256960.38
