period,reporterISO,reporterDesc,cmdCode,cmdDesc,primaryValue
2000,ABW,Aruba,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",788.0
2000,AIA,Anguilla,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",394.0
1996,ALB,Albania,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",771905.0
1997,ALB,Albania,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",145669.0
1998,ALB,Albania,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",117907.0
1999,ALB,Albania,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",143238.0
2000,ALB,Albania,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",171851.0
1995,AND,Andorra,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",506633.0
1996,AND,Andorra,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",558307.0
1997,AND,Andorra,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",413352.0
1998,AND,Andorra,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",432233.0
1999,AND,Andorra,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",496121.0
2000,AND,Andorra,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",479595.0
1998,ANT,Netherlands Antilles (...2010),25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",5813828.0
1999,ARE,United Arab Emirates,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",132561985.0
2000,ARE,United Arab Emirates,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",65622517.0
1995,ARG,Argentina,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",32798620.0
1996,ARG,Argentina,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",37244520.0
1997,ARG,Argentina,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",47312704.0
1998,ARG,Argentina,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",44357684.0
1999,ARG,Argentina,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",37091846.0
2000,ARG,Argentina,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",40775516.0
1997,ARM,Armenia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",3289494.0
1999,ARM,Armenia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",4090122.0
2000,ARM,Armenia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1286870.0
1999,ATG,Antigua and Barbuda,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",312786.0
2000,ATG,Antigua and Barbuda,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",200735.0
1995,AUS,Australia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",325051996.0
1996,AUS,Australia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",310019405.0
1997,AUS,Australia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",289712174.0
1998,AUS,Australia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",289761984.0
1999,AUS,Australia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",276208214.0
2000,AUS,Australia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",265422508.0
1995,AUT,Austria,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",251355264.0
1996,AUT,Austria,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",246222448.0
1997,AUT,Austria,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",186350832.0
1998,AUT,Austria,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",182516576.0
1999,AUT,Austria,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",175860362.0
2000,AUT,Austria,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",157000127.0
1996,AZE,Azerbaijan,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",2411948.0
1997,AZE,Azerbaijan,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",2040346.0
1998,AZE,Azerbaijan,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",874847.0
1999,AZE,Azerbaijan,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",186026.0
2000,AZE,Azerbaijan,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",437305.0
1995,BDI,Burundi,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",28.0
1997,BDI,Burundi,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",337.0
1995,BEL,Belgium-Luxembourg (...1998),25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",719642624.0
1996,BEL,Belgium-Luxembourg (...1998),25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",678679808.0
1997,BEL,Belgium-Luxembourg (...1998),25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",664071104.0
1998,BEL,Belgium-Luxembourg (...1998),25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",794979520.0
1999,BEL,Belgium,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",783020344.0
2000,BEL,Belgium,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",711923517.0
1998,BEN,Benin,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",128004.0
1999,BEN,Benin,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",824247.0
2000,BEN,Benin,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",2101973.0
1995,BFA,Burkina Faso,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",234318.0
1996,BFA,Burkina Faso,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",69532.0
1997,BFA,Burkina Faso,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",106831.0
1998,BFA,Burkina Faso,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",22206.0
1999,BFA,Burkina Faso,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",134425.0
2000,BFA,Burkina Faso,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",23244.0
1996,BGD,Bangladesh,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",30228.0
1997,BGD,Bangladesh,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",20.0
1998,BGD,Bangladesh,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",11425.0
1996,BGR,Bulgaria,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",73482128.0
1997,BGR,Bulgaria,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",74964712.0
1998,BGR,Bulgaria,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",47943128.0
1999,BGR,Bulgaria,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",49482811.0
2000,BGR,Bulgaria,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",60069431.0
2000,BHR,Bahrain,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",838709.0
1997,BHS,Bahamas,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",27832848.0
1998,BHS,Bahamas,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",22559408.0
1999,BHS,Bahamas,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",18063728.0
2000,BHS,Bahamas,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",16540215.0
1998,BLR,Belarus,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",43561944.0
1999,BLR,Belarus,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",25757848.0
2000,BLR,Belarus,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",28784700.0
1995,BLZ,Belize,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",152934.0
1996,BLZ,Belize,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",184181.0
1997,BLZ,Belize,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",179422.0
1998,BLZ,Belize,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",128024.0
1999,BLZ,Belize,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",29090760.0
2000,BLZ,Belize,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",18498.0
1995,BOL,Bolivia (Plurinational State of),25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",3328692.0
1996,BOL,Bolivia (Plurinational State of),25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",2450931.0
1997,BOL,Bolivia (Plurinational State of),25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",4027091.0
1998,BOL,Bolivia (Plurinational State of),25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",4956798.0
1999,BOL,Bolivia (Plurinational State of),25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",4422651.0
2000,BOL,Bolivia (Plurinational State of),25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",7071123.0
1995,BRA,Brazil,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",140078960.0
1996,BRA,Brazil,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",148114368.0
1997,BRA,Brazil,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",170178672.0
1998,BRA,Brazil,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",193255568.0
1999,BRA,Brazil,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",222947033.0
2000,BRA,Brazil,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",286240221.0
1997,BRB,Barbados,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",7118808.0
1998,BRB,Barbados,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",8284261.0
1999,BRB,Barbados,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",8328521.0
2000,BRB,Barbados,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",9130867.0
1997,BRN,Brunei Darussalam,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",3848300.0
1998,BRN,Brunei Darussalam,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",307698.0
1998,BTN,Bhutan,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",16890538.0
1999,BTN,Bhutan,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",15776520.0
