period,reporterISO,reporterDesc,cmdCode,cmdDesc,primaryValue
2001,ABW,Aruba,26,"Ores, slag and ash",397.0
2002,ABW,Aruba,26,"Ores, slag and ash",6.0
2005,ABW,Aruba,26,"Ores, slag and ash",182.0
2004,AGO,Angola,26,"Ores, slag and ash",601182.894
2005,AGO,Angola,26,"Ores, slag and ash",3172776.884
2006,AGO,Angola,26,"Ores, slag and ash",1732146.427
2001,AIA,Anguilla,26,"Ores, slag and ash",154.0
2002,AIA,Anguilla,26,"Ores, slag and ash",407.0
2001,ALB,Albania,26,"Ores, slag and ash",33134.0
2002,ALB,Albania,26,"Ores, slag and ash",120405.0
2003,ALB,Albania,26,"Ores, slag and ash",25739.0
2004,ALB,Albania,26,"Ores, slag and ash",277183.0
2005,ALB,Albania,26,"Ores, slag and ash",22539.0
2006,ALB,Albania,26,"Ores, slag and ash",10346.0
2001,AND,Andorra,26,"Ores, slag and ash",4528.0
2002,AND,Andorra,26,"Ores, slag and ash",1763.0
2004,AND,Andorra,26,"Ores, slag and ash",28.0
2006,AND,Andorra,26,"Ores, slag and ash",1053.766
2005,ANT,Netherlands Antilles (...2010),26,"Ores, slag and ash",14354.0
2006,ANT,Netherlands Antilles (...2010),26,"Ores, slag and ash",1756.0
2001,ARE,United Arab Emirates,26,"Ores, slag and ash",14212331.0
2002,ARE,United Arab Emirates,26,"Ores, slag and ash",12881431.0
2003,ARE,United Arab Emirates,26,"Ores, slag and ash",37791127.0
2004,ARE,United Arab Emirates,26,"Ores, slag and ash",80661150.0
2005,ARE,United Arab Emirates,26,"Ores, slag and ash",76025560.0
2006,ARE,United Arab Emirates,26,"Ores, slag and ash",98278696.0
2001,ARG,Argentina,26,"Ores, slag and ash",160183749.0
2002,ARG,Argentina,26,"Ores, slag and ash",175667902.0
2003,ARG,Argentina,26,"Ores, slag and ash",219952701.0
2004,ARG,Argentina,26,"Ores, slag and ash",281593544.0
2005,ARG,Argentina,26,"Ores, slag and ash",467504217.0
2006,ARG,Argentina,26,"Ores, slag and ash",550474187.0
2001,ARM,Armenia,26,"Ores, slag and ash",1700.0
2002,ARM,Armenia,26,"Ores, slag and ash",8188.0
2003,ARM,Armenia,26,"Ores, slag and ash",108689.0
2004,ARM,Armenia,26,"Ores, slag and ash",912103.0
2005,ARM,Armenia,26,"Ores, slag and ash",30647041.0
2006,ARM,Armenia,26,"Ores, slag and ash",10749201.0
2005,ATG,Antigua and Barbuda,26,"Ores, slag and ash",1299.0
2006,ATG,Antigua and Barbuda,26,"Ores, slag and ash",771.0
