period,reporterISO,reporterDesc,cmdCode,cmdDesc,primaryValue
2020,ABW,Aruba,26,"Ores, slag and ash",86.592
2023,ABW,Aruba,26,"Ores, slag and ash",17180.447
2019,AGO,Angola,26,"Ores, slag and ash",65907.027
2021,AGO,Angola,26,"Ores, slag and ash",9927047.301
2022,AGO,Angola,26,"Ores, slag and ash",6343759.581
2023,AGO,Angola,26,"Ores, slag and ash",43215.288
2024,AGO,Angola,26,"Ores, slag and ash",271334.43
2019,ALB,Albania,26,"Ores, slag and ash",80466642.731
2020,ALB,Albania,26,"Ores, slag and ash",75112531.783
2021,ALB,Albania,26,"Ores, slag and ash",93698653.511
2022,ALB,Albania,26,"Ores, slag and ash",144510079.056
2023,ALB,Albania,26,"Ores, slag and ash",137816558.936
2024,ALB,Albania,26,"Ores, slag and ash",152325347.693
2019,AND,Andorra,26,"Ores, slag and ash",8433.937
2020,AND,Andorra,26,"Ores, slag and ash",8218.459
2021,AND,Andorra,26,"Ores, slag and ash",6187.437
2022,AND,Andorra,26,"Ores, slag and ash",8477.767
2023,AND,Andorra,26,"Ores, slag and ash",6904.2
2019,ARE,United Arab Emirates,26,"Ores, slag and ash",38213287.276
2020,ARE,United Arab Emirates,26,"Ores, slag and ash",31268982.142
2021,ARE,United Arab Emirates,26,"Ores, slag and ash",70233341.086
2022,ARE,United Arab Emirates,26,"Ores, slag and ash",59079580.994
2023,ARE,United Arab Emirates,26,"Ores, slag and ash",78729020.998
2019,ARG,Argentina,26,"Ores, slag and ash",159928510.9
2022,ARG,Argentina,26,"Ores, slag and ash",149736772.06
2023,ARG,Argentina,26,"Ores, slag and ash",260188682.31
2024,ARG,Argentina,26,"Ores, slag and ash",231307565.26
2019,ARM,Armenia,26,"Ores, slag and ash",665129492.21
2020,ARM,Armenia,26,"Ores, slag and ash",677267948.6
2021,ARM,Armenia,26,"Ores, slag and ash",923205726.62
2022,ARM,Armenia,26,"Ores, slag and ash",922281695.8
2023,ARM,Armenia,26,"Ores, slag and ash",801686265.96
2024,ARM,Armenia,26,"Ores, slag and ash",923262634.98
2020,ATG,Antigua and Barbuda,26,"Ores, slag and ash",37.037
2019,AUS,Australia,26,"Ores, slag and ash",79657474289.966
2020,AUS,Australia,26,"Ores, slag and ash",90149510305.324
2021,AUS,Australia,26,"Ores, slag and ash",130894256672.223
2022,AUS,Australia,26,"Ores, slag and ash",100496339956.825
2023,AUS,Australia,26,"Ores, slag and ash",103636755026.15
2024,AUS,Australia,26,"Ores, slag and ash",95874856567.83
2019,AUT,Austria,26,"Ores, slag and ash",44497396.181
2020,AUT,Austria,26,"Ores, slag and ash",37619452.675
2021,AUT,Austria,26,"Ores, slag and ash",46733682.92
2022,AUT,Austria,26,"Ores, slag and ash",47920603.815
2023,AUT,Austria,26,"Ores, slag and ash",53779580.687
2024,AUT,Austria,26,"Ores, slag and ash",66424394.303
2019,AZE,Azerbaijan,26,"Ores, slag and ash",20810846.34
2020,AZE,Azerbaijan,26,"Ores, slag and ash",19997296.83
2021,AZE,Azerbaijan,26,"Ores, slag and ash",25285394.5
2022,AZE,Azerbaijan,26,"Ores, slag and ash",26831615.88
2023,AZE,Azerbaijan,26,"Ores, slag and ash",19192475.23
2024,AZE,Azerbaijan,26,"Ores, slag and ash",2579186.02
2019,BDI,Burundi,26,"Ores, slag and ash",13208974.258
2020,BDI,Burundi,26,"Ores, slag and ash",8996065.641
2021,BDI,Burundi,26,"Ores, slag and ash",15661091.064
2022,BDI,Burundi,26,"Ores, slag and ash",7817640.013
2023,BDI,Burundi,26,"Ores, slag and ash",4054226.902
2019,BEL,Belgium,26,"Ores, slag and ash",274324641.356
2020,BEL,Belgium,26,"Ores, slag and ash",287898107.535
2021,BEL,Belgium,26,"Ores, slag and ash",367112922.766
2022,BEL,Belgium,26,"Ores, slag and ash",540109814.122
2023,BEL,Belgium,26,"Ores, slag and ash",536192231.021
2024,BEL,Belgium,26,"Ores, slag and ash",369809710.596
2019,BEN,Benin,26,"Ores, slag and ash",1706.74
2020,BEN,Benin,26,"Ores, slag and ash",2176.575
2022,BEN,Benin,26,"Ores, slag and ash",7705.728
2023,BEN,Benin,26,"Ores, slag and ash",127044.451
2024,BEN,Benin,26,"Ores, slag and ash",169839.365
2019,BFA,Burkina Faso,26,"Ores, slag and ash",2614.432
2020,BFA,Burkina Faso,26,"Ores, slag and ash",105500904.376
2021,BFA,Burkina Faso,26,"Ores, slag and ash",162640844.308
2022,BFA,Burkina Faso,26,"Ores, slag and ash",56307062.036
2023,BFA,Burkina Faso,26,"Ores, slag and ash",321133.553
2024,BFA,Burkina Faso,26,"Ores, slag and ash",103727.692
2019,BGR,Bulgaria,26,"Ores, slag and ash",901201094.102
2020,BGR,Bulgaria,26,"Ores, slag and ash",1015968425.368
2021,BGR,Bulgaria,26,"Ores, slag and ash",1276762888.642
2022,BGR,Bulgaria,26,"Ores, slag and ash",940360057.531
2023,BGR,Bulgaria,26,"Ores, slag and ash",1220879871.855
2024,BGR,Bulgaria,26,"Ores, slag and ash",1359909942.257
2019,BHR,Bahrain,26,"Ores, slag and ash",1355620874.12
2020,BHR,Bahrain,26,"Ores, slag and ash",807871747.63
2021,BHR,Bahrain,26,"Ores, slag and ash",2360970169.206
2022,BHR,Bahrain,26,"Ores, slag and ash",2153646997.097
2023,BHR,Bahrain,26,"Ores, slag and ash",1835716788.491
2024,BHR,Bahrain,26,"Ores, slag and ash",1777257096.352
2021,BHS,Bahamas,26,"Ores, slag and ash",20.0
2022,BHS,Bahamas,26,"Ores, slag and ash",15.0
2023,BHS,Bahamas,26,"Ores, slag and ash",25.0
2024,BHS,Bahamas,26,"Ores, slag and ash",300.0
2019,BIH,Bosnia Herzegovina,26,"Ores, slag and ash",27846914.73
2020,BIH,Bosnia Herzegovina,26,"Ores, slag and ash",40459137.6
2021,BIH,Bosnia Herzegovina,26,"Ores, slag and ash",50441993.75
2022,BIH,Bosnia Herzegovina,26,"Ores, slag and ash",57686761.04
2023,BIH,Bosnia Herzegovina,26,"Ores, slag and ash",56479643.417
2024,BIH,Bosnia Herzegovina,26,"Ores, slag and ash",91409753.891
2019,BLR,Belarus,26,"Ores, slag and ash",4606000.0
2020,BLR,Belarus,26,"Ores, slag and ash",3498100.0
2021,BLR,Belarus,26,"Ores, slag and ash",4947400.0
2023,BLZ,Belize,26,"Ores, slag and ash",6.0
2024,BLZ,Belize,26,"Ores, slag and ash",6.0
2019,BOL,Bolivia (Plurinational State of),26,"Ores, slag and ash",2055854613.17
2020,BOL,Bolivia (Plurinational State of),26,"Ores, slag and ash",1482186164.41
2021,BOL,Bolivia (Plurinational State of),26,"Ores, slag and ash",2573136475.49
2022,BOL,Bolivia (Plurinational State of),26,"Ores, slag and ash",2854798033.68
2023,BOL,Bolivia (Plurinational State of),26,"Ores, slag and ash",2524449791.93
2024,BOL,Bolivia (Plurinational State of),26,"Ores, slag and ash",3038982523.58
2019,BRA,Brazil,26,"Ores, slag and ash",25837449406.0
2020,BRA,Brazil,26,"Ores, slag and ash",28893262141.0
2021,BRA,Brazil,26,"Ores, slag and ash",48722834364.0
2022,BRA,Brazil,26,"Ores, slag and ash",32419144998.0
2023,BRA,Brazil,26,"Ores, slag and ash",35053890746.0
2024,BRA,Brazil,26,"Ores, slag and ash",35042461857.0
2019,BRB,Barbados,26,"Ores, slag and ash",1604.0
2019,BRN,Brunei Darussalam,26,"Ores, slag and ash",61630.74
2020,BRN,Brunei Darussalam,26,"Ores, slag and ash",110349.18
2021,BRN,Brunei Darussalam,26,"Ores, slag and ash",20.27
2022,BRN,Brunei Darussalam,26,"Ores, slag and ash",84089.069
2023,BRN,Brunei Darussalam,26,"Ores, slag and ash",26.261
2024,BRN,Brunei Darussalam,26,"Ores, slag and ash",43799.371
2019,BTN,Bhutan,26,"Ores, slag and ash",467853.141
2020,BTN,Bhutan,26,"Ores, slag and ash",205671.793
2022,BTN,Bhutan,26,"Ores, slag and ash",46535.369
2023,BTN,Bhutan,26,"Ores, slag and ash",4245.763
2019,BWA,Botswana,26,"Ores, slag and ash",314004.103
2020,BWA,Botswana,26,"Ores, slag and ash",25400976.072
2021,BWA,Botswana,26,"Ores, slag and ash",110187587.561
2022,BWA,Botswana,26,"Ores, slag and ash",324187979.426
2023,BWA,Botswana,26,"Ores, slag and ash",507903421.548
2019,CAN,Canada,26,"Ores, slag and ash",8836308147.158
2020,CAN,Canada,26,"Ores, slag and ash",10051457911.894
2021,CAN,Canada,26,"Ores, slag and ash",13284353468.008
2022,CAN,Canada,26,"Ores, slag and ash",11546780880.917
2023,CAN,Canada,26,"Ores, slag and ash",11431041888.807
2024,CAN,Canada,26,"Ores, slag and ash",11291844206.033
2019,CHE,Switzerland,26,"Ores, slag and ash",17447515.601
2020,CHE,Switzerland,26,"Ores, slag and ash",16905309.655
2021,CHE,Switzerland,26,"Ores, slag and ash",27271295.848
2022,CHE,Switzerland,26,"Ores, slag and ash",25969110.499
2023,CHE,Switzerland,26,"Ores, slag and ash",21208092.736
2024,CHE,Switzerland,26,"Ores, slag and ash",21285367.882
2019,CHL,Chile,26,"Ores, slag and ash",19642718465.61
2020,CHL,Chile,26,"Ores, slag and ash",24847345296.215
2021,CHL,Chile,26,"Ores, slag and ash",34123846983.473
2022,CHL,Chile,26,"Ores, slag and ash",26497559304.604
2023,CHL,Chile,26,"Ores, slag and ash",27719093575.887
2024,CHL,Chile,26,"Ores, slag and ash",34101617672.439
