period,reporterISO,reporterDesc,cmdCode,cmdDesc,primaryValue
1997,AND,Andorra,80,Tin; articles thereof,13.0
1998,AND,Andorra,80,Tin; articles thereof,33.0
2000,AND,Andorra,80,Tin; articles thereof,3782.0
1999,ARE,United Arab Emirates,80,Tin; articles thereof,1950271.0
2000,ARE,United Arab Emirates,80,Tin; articles thereof,7820151.0
1995,ARG,Argentina,80,Tin; articles thereof,24518.0
1996,ARG,Argentina,80,Tin; articles thereof,20856.0
1997,ARG,Argentina,80,Tin; articles thereof,147175.0
1998,ARG,Argentina,80,Tin; articles thereof,14140.0
1999,ARG,Argentina,80,Tin; articles thereof,12905.0
2000,ARG,Argentina,80,Tin; articles thereof,6771.0
1997,ARM,Armenia,80,Tin; articles thereof,43003.0
1995,AUS,Australia,80,Tin; articles thereof,7761848.0
1996,AUS,Australia,80,Tin; articles thereof,12533303.0
1997,AUS,Australia,80,Tin; articles thereof,21400676.0
1998,AUS,Australia,80,Tin; articles thereof,15112218.0
1999,AUS,Australia,80,Tin; articles thereof,25607482.0
2000,AUS,Australia,80,Tin; articles thereof,13431007.0
1995,AUT,Austria,80,Tin; articles thereof,4583843.0
1996,AUT,Austria,80,Tin; articles thereof,2516902.0
1997,AUT,Austria,80,Tin; articles thereof,1927983.0
1998,AUT,Austria,80,Tin; articles thereof,1946691.0
1999,AUT,Austria,80,Tin; articles thereof,1879856.0
2000,AUT,Austria,80,Tin; articles thereof,2636918.0
1995,BEL,Belgium-Luxembourg (...1998),80,Tin; articles thereof,46326916.0
1996,BEL,Belgium-Luxembourg (...1998),80,Tin; articles thereof,53719284.0
1997,BEL,Belgium-Luxembourg (...1998),80,Tin; articles thereof,54501680.0
1998,BEL,Belgium-Luxembourg (...1998),80,Tin; articles thereof,52139476.0
1999,BEL,Belgium,80,Tin; articles thereof,48491263.0
2000,BEL,Belgium,80,Tin; articles thereof,54364296.0
1998,BFA,Burkina Faso,80,Tin; articles thereof,24123.0
1996,BGR,Bulgaria,80,Tin; articles thereof,798621.0
1997,BGR,Bulgaria,80,Tin; articles thereof,7250200.0
1998,BGR,Bulgaria,80,Tin; articles thereof,22172.0
1999,BGR,Bulgaria,80,Tin; articles thereof,3183.0
2000,BGR,Bulgaria,80,Tin; articles thereof,1799.0
2000,BHR,Bahrain,80,Tin; articles thereof,28112.0
