period,reporterISO,reporterDesc,cmdCode,cmdDesc,primaryValue
2000,ABW,Aruba,80,Tin; articles thereof,53698.0
2000,AIA,Anguilla,80,Tin; articles thereof,1348.0
1996,ALB,Albania,80,Tin; articles thereof,8874.0
1997,ALB,Albania,80,Tin; articles thereof,1613.0
1998,ALB,Albania,80,Tin; articles thereof,7009.0
1999,ALB,Albania,80,Tin; articles thereof,2122.0
2000,ALB,Albania,80,Tin; articles thereof,1626.0
1995,AND,Andorra,80,Tin; articles thereof,67196.0
1996,AND,Andorra,80,Tin; articles thereof,82066.0
1997,AND,Andorra,80,Tin; articles thereof,75134.0
1998,AND,Andorra,80,Tin; articles thereof,93501.0
1999,AND,Andorra,80,Tin; articles thereof,56096.0
2000,AND,Andorra,80,Tin; articles thereof,71266.0
1998,ANT,Netherlands Antilles (...2010),80,Tin; articles thereof,9495.0
1999,ARE,United Arab Emirates,80,Tin; articles thereof,5024968.0
2000,ARE,United Arab Emirates,80,Tin; articles thereof,13688783.0
1995,ARG,Argentina,80,Tin; articles thereof,7310953.0
1996,ARG,Argentina,80,Tin; articles thereof,8429296.0
1997,ARG,Argentina,80,Tin; articles thereof,9307548.0
1998,ARG,Argentina,80,Tin; articles thereof,8090101.0
1999,ARG,Argentina,80,Tin; articles thereof,7118456.0
2000,ARG,Argentina,80,Tin; articles thereof,6725685.0
1997,ARM,Armenia,80,Tin; articles thereof,40100.0
1999,ARM,Armenia,80,Tin; articles thereof,875.0
2000,ARM,Armenia,80,Tin; articles thereof,357.0
1999,ATG,Antigua and Barbuda,80,Tin; articles thereof,500.0
2000,ATG,Antigua and Barbuda,80,Tin; articles thereof,1851.0
1995,AUS,Australia,80,Tin; articles thereof,17674089.0
1996,AUS,Australia,80,Tin; articles thereof,17998815.0
1997,AUS,Australia,80,Tin; articles thereof,17897652.0
1998,AUS,Australia,80,Tin; articles thereof,17767884.0
1999,AUS,Australia,80,Tin; articles thereof,17341980.0
2000,AUS,Australia,80,Tin; articles thereof,13381942.0
1995,AUT,Austria,80,Tin; articles thereof,10595068.0
1996,AUT,Austria,80,Tin; articles thereof,9103815.0
1997,AUT,Austria,80,Tin; articles thereof,8733381.0
1998,AUT,Austria,80,Tin; articles thereof,7361110.0
1999,AUT,Austria,80,Tin; articles thereof,8837619.0
2000,AUT,Austria,80,Tin; articles thereof,9126772.0
1996,AZE,Azerbaijan,80,Tin; articles thereof,519.0
1997,AZE,Azerbaijan,80,Tin; articles thereof,7527.0
1998,AZE,Azerbaijan,80,Tin; articles thereof,437.0
1999,AZE,Azerbaijan,80,Tin; articles thereof,3715.0
2000,AZE,Azerbaijan,80,Tin; articles thereof,29247.0
1995,BDI,Burundi,80,Tin; articles thereof,10431.0
1996,BDI,Burundi,80,Tin; articles thereof,383.0
1997,BDI,Burundi,80,Tin; articles thereof,810.0
1998,BDI,Burundi,80,Tin; articles thereof,930.0
2000,BDI,Burundi,80,Tin; articles thereof,55.0
1995,BEL,Belgium-Luxembourg (...1998),80,Tin; articles thereof,22791256.0
1996,BEL,Belgium-Luxembourg (...1998),80,Tin; articles thereof,23530584.0
1997,BEL,Belgium-Luxembourg (...1998),80,Tin; articles thereof,22794568.0
1998,BEL,Belgium-Luxembourg (...1998),80,Tin; articles thereof,27245456.0
1999,BEL,Belgium,80,Tin; articles thereof,22533316.0
2000,BEL,Belgium,80,Tin; articles thereof,26973454.0
1999,BEN,Benin,80,Tin; articles thereof,3670.0
2000,BEN,Benin,80,Tin; articles thereof,524.0
1995,BFA,Burkina Faso,80,Tin; articles thereof,4123.0
1996,BFA,Burkina Faso,80,Tin; articles thereof,6183.0
1997,BFA,Burkina Faso,80,Tin; articles thereof,6458.0
1998,BFA,Burkina Faso,80,Tin; articles thereof,1408.0
1999,BFA,Burkina Faso,80,Tin; articles thereof,2221.0
2000,BFA,Burkina Faso,80,Tin; articles thereof,1098.0
1995,BGD,Bangladesh,80,Tin; articles thereof,4171528.0
1996,BGD,Bangladesh,80,Tin; articles thereof,13600087.0
1997,BGD,Bangladesh,80,Tin; articles thereof,6837453.0
1998,BGD,Bangladesh,80,Tin; articles thereof,1187334.0
2000,BGD,Bangladesh,80,Tin; articles thereof,1299679.0
1996,BGR,Bulgaria,80,Tin; articles thereof,1021154.0
1997,BGR,Bulgaria,80,Tin; articles thereof,895703.0
1998,BGR,Bulgaria,80,Tin; articles thereof,860243.0
1999,BGR,Bulgaria,80,Tin; articles thereof,597367.0
2000,BGR,Bulgaria,80,Tin; articles thereof,688098.0
2000,BHR,Bahrain,80,Tin; articles thereof,45997.0
1997,BHS,Bahamas,80,Tin; articles thereof,603220.0
1998,BHS,Bahamas,80,Tin; articles thereof,100647.0
1999,BHS,Bahamas,80,Tin; articles thereof,151615.0
2000,BHS,Bahamas,80,Tin; articles thereof,139795.0
1998,BLR,Belarus,80,Tin; articles thereof,928294.0
1999,BLR,Belarus,80,Tin; articles thereof,1256294.0
2000,BLR,Belarus,80,Tin; articles thereof,1452000.0
1995,BLZ,Belize,80,Tin; articles thereof,4679.0
1996,BLZ,Belize,80,Tin; articles thereof,4430.0
1997,BLZ,Belize,80,Tin; articles thereof,2258.0
1998,BLZ,Belize,80,Tin; articles thereof,1151.0
1999,BLZ,Belize,80,Tin; articles thereof,8422.0
2000,BLZ,Belize,80,Tin; articles thereof,4369.0
1995,BMU,Bermuda,80,Tin; articles thereof,75413.0
1997,BMU,Bermuda,80,Tin; articles thereof,95792.0
1995,BOL,Bolivia (Plurinational State of),80,Tin; articles thereof,65415.0
1996,BOL,Bolivia (Plurinational State of),80,Tin; articles thereof,20664.0
1997,BOL,Bolivia (Plurinational State of),80,Tin; articles thereof,15782.0
1998,BOL,Bolivia (Plurinational State of),80,Tin; articles thereof,56848.0
1999,BOL,Bolivia (Plurinational State of),80,Tin; articles thereof,2883.0
2000,BOL,Bolivia (Plurinational State of),80,Tin; articles thereof,20098.0
1995,BRA,Brazil,80,Tin; articles thereof,1058543.0
1996,BRA,Brazil,80,Tin; articles thereof,677285.0
1997,BRA,Brazil,80,Tin; articles thereof,1678426.0
1998,BRA,Brazil,80,Tin; articles thereof,2568361.0
1999,BRA,Brazil,80,Tin; articles thereof,6246862.0
2000,BRA,Brazil,80,Tin; articles thereof,5907710.0
1997,BRB,Barbados,80,Tin; articles thereof,194874.0
1998,BRB,Barbados,80,Tin; articles thereof,40646.0
1999,BRB,Barbados,80,Tin; articles thereof,55048.0
2000,BRB,Barbados,80,Tin; articles thereof,75275.0
1997,BRN,Brunei Darussalam,80,Tin; articles thereof,208255.0
1998,BRN,Brunei Darussalam,80,Tin; articles thereof,93361.0
1998,BTN,Bhutan,80,Tin; articles thereof,1165389.0
1999,BTN,Bhutan,80,Tin; articles thereof,325450.0
2000,BWA,Botswana,80,Tin; articles thereof,66060.0
1995,CAF,Central African Rep.,80,Tin; articles thereof,1654.0
1996,CAF,Central African Rep.,80,Tin; articles thereof,996.0
1997,CAF,Central African Rep.,80,Tin; articles thereof,2431.0
1999,CAF,Central African Rep.,80,Tin; articles thereof,731.0
2000,CAF,Central African Rep.,80,Tin; articles thereof,246.0
1995,CAN,Canada,80,Tin; articles thereof,40678624.0
1996,CAN,Canada,80,Tin; articles thereof,41364092.0
1997,CAN,Canada,80,Tin; articles thereof,42109243.0
1998,CAN,Canada,80,Tin; articles thereof,41145088.0
1999,CAN,Canada,80,Tin; articles thereof,49254746.0
2000,CAN,Canada,80,Tin; articles thereof,47172682.0
1995,CHE,Switzerland,80,Tin; articles thereof,10927604.0
1996,CHE,Switzerland,80,Tin; articles thereof,9424030.0
1997,CHE,Switzerland,80,Tin; articles thereof,9394994.0
1998,CHE,Switzerland,80,Tin; articles thereof,9203144.0
1999,CHE,Switzerland,80,Tin; articles thereof,8367117.0
2000,CHE,Switzerland,80,Tin; articles thereof,8122347.63
1995,CHL,Chile,80,Tin; articles thereof,4270374.0
1996,CHL,Chile,80,Tin; articles thereof,5723220.0
1997,CHL,Chile,80,Tin; articles thereof,5044711.0
1998,CHL,Chile,80,Tin; articles thereof,3624504.0
1999,CHL,Chile,80,Tin; articles thereof,2709410.0
2000,CHL,Chile,80,Tin; articles thereof,4542978.0
1995,CHN,China,80,Tin; articles thereof,39053668.0
1996,CHN,China,80,Tin; articles thereof,44603610.0
1997,CHN,China,80,Tin; articles thereof,61689217.0
1998,CHN,China,80,Tin; articles thereof,64026248.0
1999,CHN,China,80,Tin; articles thereof,75357974.0
2000,CHN,China,80,Tin; articles thereof,93332649.0
1995,CIV,Côte d'Ivoire,80,Tin; articles thereof,48453.0
1996,CIV,Côte d'Ivoire,80,Tin; articles thereof,45579.0
1997,CIV,Côte d'Ivoire,80,Tin; articles thereof,31226.0
1998,CIV,Côte d'Ivoire,80,Tin; articles thereof,43293.0
