period,reporterISO,reporterDesc,cmdCode,cmdDesc,primaryValue
2008,AGO,Angola,80,Tin; articles thereof,189.657
2008,AIA,Anguilla,80,Tin; articles thereof,239.0
2010,AND,Andorra,80,Tin; articles thereof,204.713
2011,AND,Andorra,80,Tin; articles thereof,1042.193
2012,AND,Andorra,80,Tin; articles thereof,1245.646
2007,ARE,United Arab Emirates,80,Tin; articles thereof,4892954.0
2008,ARE,United Arab Emirates,80,Tin; articles thereof,4495895.0
2009,ARE,United Arab Emirates,80,Tin; articles thereof,4865557.0
2010,ARE,United Arab Emirates,80,Tin; articles thereof,3419818.0
2011,ARE,United Arab Emirates,80,Tin; articles thereof,2483132.0
2012,ARE,United Arab Emirates,80,Tin; articles thereof,20976951.0
2007,ARG,Argentina,80,Tin; articles thereof,18171.0
2008,ARG,Argentina,80,Tin; articles thereof,21080.0
2009,ARG,Argentina,80,Tin; articles thereof,24536.0
2010,ARG,Argentina,80,Tin; articles thereof,24049.0
2011,ARG,Argentina,80,Tin; articles thereof,4571.0
2012,ARG,Argentina,80,Tin; articles thereof,13695.0
2007,ATG,Antigua and Barbuda,80,Tin; articles thereof,16.0
2007,AUS,Australia,80,Tin; articles thereof,15733369.0
2008,AUS,Australia,80,Tin; articles thereof,11342544.0
2009,AUS,Australia,80,Tin; articles thereof,8649620.0
2010,AUS,Australia,80,Tin; articles thereof,12876254.0
2011,AUS,Australia,80,Tin; articles thereof,16259092.0
2012,AUS,Australia,80,Tin; articles thereof,14918232.0
2007,AUT,Austria,80,Tin; articles thereof,7319392.0
2008,AUT,Austria,80,Tin; articles thereof,11450661.0
2009,AUT,Austria,80,Tin; articles thereof,3884824.0
2010,AUT,Austria,80,Tin; articles thereof,8377452.0
2011,AUT,Austria,80,Tin; articles thereof,13381430.0
2012,AUT,Austria,80,Tin; articles thereof,14470692.103
2009,AZE,Azerbaijan,80,Tin; articles thereof,5.0
2008,BDI,Burundi,80,Tin; articles thereof,9370.0
2007,BEL,Belgium,80,Tin; articles thereof,146268905.0
2008,BEL,Belgium,80,Tin; articles thereof,177178627.0
2009,BEL,Belgium,80,Tin; articles thereof,141263467.0
2010,BEL,Belgium,80,Tin; articles thereof,222799499.701
2011,BEL,Belgium,80,Tin; articles thereof,303667895.372
2012,BEL,Belgium,80,Tin; articles thereof,264751764.895
2007,BGD,Bangladesh,80,Tin; articles thereof,211463.0
2008,BGD,Bangladesh,80,Tin; articles thereof,75755.0
2009,BGD,Bangladesh,80,Tin; articles thereof,92732.0
2010,BGD,Bangladesh,80,Tin; articles thereof,62672.0
2011,BGD,Bangladesh,80,Tin; articles thereof,24308.0
2007,BGR,Bulgaria,80,Tin; articles thereof,23895.0
2008,BGR,Bulgaria,80,Tin; articles thereof,635964.0
2009,BGR,Bulgaria,80,Tin; articles thereof,1002081.0
2010,BGR,Bulgaria,80,Tin; articles thereof,435154.0
2011,BGR,Bulgaria,80,Tin; articles thereof,1126139.0
2012,BGR,Bulgaria,80,Tin; articles thereof,536635.0
2009,BHR,Bahrain,80,Tin; articles thereof,1330.0
2010,BHR,Bahrain,80,Tin; articles thereof,3191.0
2011,BHR,Bahrain,80,Tin; articles thereof,191.0
2012,BHR,Bahrain,80,Tin; articles thereof,2000.0
2008,BHS,Bahamas,80,Tin; articles thereof,51478.0
2007,BIH,Bosnia Herzegovina,80,Tin; articles thereof,104004.0
2008,BIH,Bosnia Herzegovina,80,Tin; articles thereof,84410.0
2009,BIH,Bosnia Herzegovina,80,Tin; articles thereof,141511.0
2010,BIH,Bosnia Herzegovina,80,Tin; articles thereof,34927.0
2011,BIH,Bosnia Herzegovina,80,Tin; articles thereof,27916.0
2012,BIH,Bosnia Herzegovina,80,Tin; articles thereof,21677.0
2007,BLR,Belarus,80,Tin; articles thereof,19700.0
2008,BLR,Belarus,80,Tin; articles thereof,1100.0
2009,BLR,Belarus,80,Tin; articles thereof,192000.0
2010,BLR,Belarus,80,Tin; articles thereof,455900.0
2011,BLR,Belarus,80,Tin; articles thereof,550000.0
2012,BLR,Belarus,80,Tin; articles thereof,151500.0
2007,BOL,Bolivia (Plurinational State of),80,Tin; articles thereof,180405148.09
2008,BOL,Bolivia (Plurinational State of),80,Tin; articles thereof,236327368.3
2009,BOL,Bolivia (Plurinational State of),80,Tin; articles thereof,205502279.57
2010,BOL,Bolivia (Plurinational State of),80,Tin; articles thereof,293810039.41
2011,BOL,Bolivia (Plurinational State of),80,Tin; articles thereof,394133401.47
2012,BOL,Bolivia (Plurinational State of),80,Tin; articles thereof,298479752.44
2007,BRA,Brazil,80,Tin; articles thereof,82934442.0
2008,BRA,Brazil,80,Tin; articles thereof,111638758.0
2009,BRA,Brazil,80,Tin; articles thereof,48812953.0
2010,BRA,Brazil,80,Tin; articles thereof,31714169.0
2011,BRA,Brazil,80,Tin; articles thereof,105184804.0
2012,BRA,Brazil,80,Tin; articles thereof,143573750.0
