period,reporterISO,reporterDesc,cmdCode,cmdDesc,primaryValue
2017,ABW,Aruba,80,Tin; articles thereof,339.665
2016,AGO,Angola,80,Tin; articles thereof,492.06
2017,AGO,Angola,80,Tin; articles thereof,47.7
2018,AGO,Angola,80,Tin; articles thereof,38.242
2017,ALB,Albania,80,Tin; articles thereof,676.847
2013,AND,Andorra,80,Tin; articles thereof,3162.223
2014,AND,Andorra,80,Tin; articles thereof,1950.384
2015,AND,Andorra,80,Tin; articles thereof,609.187
2016,AND,Andorra,80,Tin; articles thereof,637.109
2017,AND,Andorra,80,Tin; articles thereof,954.159
2018,AND,Andorra,80,Tin; articles thereof,893.612
2013,ARE,United Arab Emirates,80,Tin; articles thereof,1643275.009
2014,ARE,United Arab Emirates,80,Tin; articles thereof,7984882.073
2015,ARE,United Arab Emirates,80,Tin; articles thereof,4882967.657
2016,ARE,United Arab Emirates,80,Tin; articles thereof,6729337.11
2017,ARE,United Arab Emirates,80,Tin; articles thereof,22585390.704
2018,ARE,United Arab Emirates,80,Tin; articles thereof,28614526.672
2013,ARG,Argentina,80,Tin; articles thereof,510.0
2014,ARG,Argentina,80,Tin; articles thereof,36734.14
2015,ARG,Argentina,80,Tin; articles thereof,152576.32
2016,ARG,Argentina,80,Tin; articles thereof,340984.36
2017,ARG,Argentina,80,Tin; articles thereof,96485.5
2014,ARM,Armenia,80,Tin; articles thereof,4050.0
2015,ARM,Armenia,80,Tin; articles thereof,18484.0
2017,ARM,Armenia,80,Tin; articles thereof,22087.4
2018,ARM,Armenia,80,Tin; articles thereof,23027.65
2016,ATG,Antigua and Barbuda,80,Tin; articles thereof,107.0
2017,ATG,Antigua and Barbuda,80,Tin; articles thereof,3780.93
2018,ATG,Antigua and Barbuda,80,Tin; articles thereof,157428.254
2013,AUS,Australia,80,Tin; articles thereof,10489095.0
2014,AUS,Australia,80,Tin; articles thereof,10427342.0
2015,AUS,Australia,80,Tin; articles thereof,7481974.0
2016,AUS,Australia,80,Tin; articles thereof,5084253.0
2017,AUS,Australia,80,Tin; articles thereof,5855999.516
2018,AUS,Australia,80,Tin; articles thereof,11931893.225
2013,AUT,Austria,80,Tin; articles thereof,13939113.557
2014,AUT,Austria,80,Tin; articles thereof,19029758.713
2015,AUT,Austria,80,Tin; articles thereof,21834979.977
2016,AUT,Austria,80,Tin; articles thereof,23435358.335
2017,AUT,Austria,80,Tin; articles thereof,36353157.639
2018,AUT,Austria,80,Tin; articles thereof,31014288.057
2018,AZE,Azerbaijan,80,Tin; articles thereof,24.28
2014,BDI,Burundi,80,Tin; articles thereof,181.0
2013,BEL,Belgium,80,Tin; articles thereof,291120659.195
2014,BEL,Belgium,80,Tin; articles thereof,298747132.146
2015,BEL,Belgium,80,Tin; articles thereof,171638239.214
2016,BEL,Belgium,80,Tin; articles thereof,205244623.097
2017,BEL,Belgium,80,Tin; articles thereof,235197908.552
2018,BEL,Belgium,80,Tin; articles thereof,250355448.285
2015,BFA,Burkina Faso,80,Tin; articles thereof,20187.674
2013,BGD,Bangladesh,80,Tin; articles thereof,103.0
2015,BGD,Bangladesh,80,Tin; articles thereof,76319.0
2016,BGD,Bangladesh,80,Tin; articles thereof,167199.889
2018,BGD,Bangladesh,80,Tin; articles thereof,47392.307
2013,BGR,Bulgaria,80,Tin; articles thereof,364740.0
2014,BGR,Bulgaria,80,Tin; articles thereof,557067.0
2015,BGR,Bulgaria,80,Tin; articles thereof,281555.0
2016,BGR,Bulgaria,80,Tin; articles thereof,218855.791
2017,BGR,Bulgaria,80,Tin; articles thereof,4150502.942
2018,BGR,Bulgaria,80,Tin; articles thereof,2173504.527
2013,BHR,Bahrain,80,Tin; articles thereof,3285.0
2014,BHR,Bahrain,80,Tin; articles thereof,70413.0
2015,BHR,Bahrain,80,Tin; articles thereof,204279.364
2016,BHR,Bahrain,80,Tin; articles thereof,20996.162
2017,BHR,Bahrain,80,Tin; articles thereof,94147.315
2018,BHR,Bahrain,80,Tin; articles thereof,27702.56
2018,BHS,Bahamas,80,Tin; articles thereof,4919.98
2013,BIH,Bosnia Herzegovina,80,Tin; articles thereof,36574.0
2014,BIH,Bosnia Herzegovina,80,Tin; articles thereof,1323680.0
2015,BIH,Bosnia Herzegovina,80,Tin; articles thereof,785576.0
2016,BIH,Bosnia Herzegovina,80,Tin; articles thereof,1013382.0
2017,BIH,Bosnia Herzegovina,80,Tin; articles thereof,438322.41
2018,BIH,Bosnia Herzegovina,80,Tin; articles thereof,977338.72
2013,BLR,Belarus,80,Tin; articles thereof,294400.0
2014,BLR,Belarus,80,Tin; articles thereof,278000.0
2015,BLR,Belarus,80,Tin; articles thereof,15300.0
2016,BLR,Belarus,80,Tin; articles thereof,34200.0
2017,BLR,Belarus,80,Tin; articles thereof,354200.0
2018,BLR,Belarus,80,Tin; articles thereof,61000.0
2016,BMU,Bermuda,80,Tin; articles thereof,5.0
2013,BOL,Bolivia (Plurinational State of),80,Tin; articles thereof,336922028.14
2014,BOL,Bolivia (Plurinational State of),80,Tin; articles thereof,347573723.61
2015,BOL,Bolivia (Plurinational State of),80,Tin; articles thereof,255038117.4
2016,BOL,Bolivia (Plurinational State of),80,Tin; articles thereof,295195352.1
2017,BOL,Bolivia (Plurinational State of),80,Tin; articles thereof,336231686.51
2018,BOL,Bolivia (Plurinational State of),80,Tin; articles thereof,318175608.48
2013,BRA,Brazil,80,Tin; articles thereof,147374432.0
2014,BRA,Brazil,80,Tin; articles thereof,178269653.0
2015,BRA,Brazil,80,Tin; articles thereof,131521718.0
2016,BRA,Brazil,80,Tin; articles thereof,137842772.0
2017,BRA,Brazil,80,Tin; articles thereof,180884776.0
2018,BRA,Brazil,80,Tin; articles thereof,195737292.0
2013,BRB,Barbados,80,Tin; articles thereof,15055.0
2014,BRB,Barbados,80,Tin; articles thereof,3946.0
2015,BRB,Barbados,80,Tin; articles thereof,4971.0
2016,BRB,Barbados,80,Tin; articles thereof,12969.0
2013,BRN,Brunei Darussalam,80,Tin; articles thereof,2.0
2014,BRN,Brunei Darussalam,80,Tin; articles thereof,2.0
2016,BRN,Brunei Darussalam,80,Tin; articles thereof,1161.0
2018,BRN,Brunei Darussalam,80,Tin; articles thereof,0.741
2016,BTN,Bhutan,80,Tin; articles thereof,78393.552
2017,BTN,Bhutan,80,Tin; articles thereof,165573.109
2018,BTN,Bhutan,80,Tin; articles thereof,141241.738
2013,BWA,Botswana,80,Tin; articles thereof,762.07
2014,BWA,Botswana,80,Tin; articles thereof,11062.216
2015,BWA,Botswana,80,Tin; articles thereof,2375.494
2016,BWA,Botswana,80,Tin; articles thereof,88.0
2017,BWA,Botswana,80,Tin; articles thereof,5301.071
2013,CAN,Canada,80,Tin; articles thereof,57555788.0
2014,CAN,Canada,80,Tin; articles thereof,55193364.0
2015,CAN,Canada,80,Tin; articles thereof,36867224.019
2016,CAN,Canada,80,Tin; articles thereof,28233146.779
2017,CAN,Canada,80,Tin; articles thereof,35116527.545
2018,CAN,Canada,80,Tin; articles thereof,34969260.616
2013,CHE,Switzerland,80,Tin; articles thereof,2906410.642
2014,CHE,Switzerland,80,Tin; articles thereof,3485641.938
2015,CHE,Switzerland,80,Tin; articles thereof,2332779.263
2016,CHE,Switzerland,80,Tin; articles thereof,3448736.799
2017,CHE,Switzerland,80,Tin; articles thereof,3614065.731
2018,CHE,Switzerland,80,Tin; articles thereof,3264000.431
2013,CHL,Chile,80,Tin; articles thereof,345619.26
2014,CHL,Chile,80,Tin; articles thereof,304674.876
2015,CHL,Chile,80,Tin; articles thereof,254542.8
2016,CHL,Chile,80,Tin; articles thereof,169557.791
2017,CHL,Chile,80,Tin; articles thereof,243755.0
2018,CHL,Chile,80,Tin; articles thereof,127190.44
2013,CHN,China,80,Tin; articles thereof,157001804.0
2014,CHN,China,80,Tin; articles thereof,141263499.0
2015,CHN,China,80,Tin; articles thereof,60284486.0
2016,CHN,China,80,Tin; articles thereof,66386330.0
2017,CHN,China,80,Tin; articles thereof,59611528.0
2018,CHN,China,80,Tin; articles thereof,74580978.0
2015,CIV,Côte d'Ivoire,80,Tin; articles thereof,64.104
2017,CIV,Côte d'Ivoire,80,Tin; articles thereof,3103.602
2018,CIV,Côte d'Ivoire,80,Tin; articles thereof,1812.075
2014,CMR,Cameroon,80,Tin; articles thereof,185.0
2015,CMR,Cameroon,80,Tin; articles thereof,6516.0
2016,CMR,Cameroon,80,Tin; articles thereof,875.0
2017,CMR,Cameroon,80,Tin; articles thereof,128.344
2018,CMR,Cameroon,80,Tin; articles thereof,36.652
2018,COG,Congo,80,Tin; articles thereof,56102.526
2013,COL,Colombia,80,Tin; articles thereof,92993.0
2014,COL,Colombia,80,Tin; articles thereof,53547.0
2015,COL,Colombia,80,Tin; articles thereof,178884.0
2016,COL,Colombia,80,Tin; articles thereof,128381.0
2017,COL,Colombia,80,Tin; articles thereof,66958.12
2018,COL,Colombia,80,Tin; articles thereof,186615.02
2013,CRI,Costa Rica,80,Tin; articles thereof,41382.0
2014,CRI,Costa Rica,80,Tin; articles thereof,41934.0
2015,CRI,Costa Rica,80,Tin; articles thereof,69070.0
2016,CRI,Costa Rica,80,Tin; articles thereof,107167.0
2017,CRI,Costa Rica,80,Tin; articles thereof,36627.354
2018,CRI,Costa Rica,80,Tin; articles thereof,85385.96
2016,CUB,Cuba,80,Tin; articles thereof,6000.0
2017,CUB,Cuba,80,Tin; articles thereof,3041.5
2018,CUB,Cuba,80,Tin; articles thereof,7493.0
2015,CYP,Cyprus,80,Tin; articles thereof,551.428
2013,CZE,Czechia,80,Tin; articles thereof,56730169.0
2014,CZE,Czechia,80,Tin; articles thereof,35047944.0
2015,CZE,Czechia,80,Tin; articles thereof,14724425.0
2016,CZE,Czechia,80,Tin; articles thereof,5518204.0
2017,CZE,Czechia,80,Tin; articles thereof,6457576.0
2018,CZE,Czechia,80,Tin; articles thereof,6741681.0
2013,DEU,Germany,80,Tin; articles thereof,155889527.868
2014,DEU,Germany,80,Tin; articles thereof,165447261.88
2015,DEU,Germany,80,Tin; articles thereof,114545430.939
2016,DEU,Germany,80,Tin; articles thereof,116459073.908
2017,DEU,Germany,80,Tin; articles thereof,125528545.811
2018,DEU,Germany,80,Tin; articles thereof,134702277.784
2013,DNK,Denmark,80,Tin; articles thereof,9464597.0
2014,DNK,Denmark,80,Tin; articles thereof,9507095.0
2015,DNK,Denmark,80,Tin; articles thereof,6404716.0
2016,DNK,Denmark,80,Tin; articles thereof,4578010.242
2017,DNK,Denmark,80,Tin; articles thereof,5811003.524
2018,DNK,Denmark,80,Tin; articles thereof,5581387.258
2013,DOM,Dominican Rep.,80,Tin; articles thereof,5268.0
2014,DOM,Dominican Rep.,80,Tin; articles thereof,113787.723
2015,DOM,Dominican Rep.,80,Tin; articles thereof,4407.829
2016,DOM,Dominican Rep.,80,Tin; articles thereof,14595.883
2017,DOM,Dominican Rep.,80,Tin; articles thereof,7799.952
