reporterISO,period,cmdCode,primaryValue,reporterDesc,cmdDesc
ABW,2014,2701,618.0,Aruba,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
AFG,2015,2701,19716077.0,Afghanistan,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
AFG,2017,2701,43546609.57,Afghanistan,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
AFG,2018,2701,89389981.64,Afghanistan,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ALB,2013,2701,256.0,Albania,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ARE,2013,2701,1524208.775,United Arab Emirates,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ARE,2014,2701,784213.546,United Arab Emirates,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ARE,2015,2701,508547.811,United Arab Emirates,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ARE,2016,2701,640692.95,United Arab Emirates,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ARE,2017,2701,695655.622,United Arab Emirates,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ARE,2018,2701,313254.362,United Arab Emirates,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ARG,2013,2701,2365874.0,Argentina,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ARG,2014,2701,599534.89,Argentina,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ARG,2015,2701,289904.0,Argentina,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ARG,2016,2701,212028.23,Argentina,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ARG,2017,2701,513327.98,Argentina,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ARG,2018,2701,393614.29,Argentina,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ARM,2013,2701,3778.0,Armenia,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ATG,2015,2701,15.0,Antigua and Barbuda,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
AUS,2013,2701,38423486105.0,Australia,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
AUS,2014,2701,34430767847.0,Australia,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
AUS,2015,2701,28418514200.0,Australia,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
AUS,2016,2701,29579757173.0,Australia,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
AUS,2017,2701,43807013886.029,Australia,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
AUS,2018,2701,49730886253.267,Australia,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
AUT,2013,2701,290028.685,Austria,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
AUT,2014,2701,126300.408,Austria,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
AUT,2015,2701,523176.719,Austria,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
AUT,2016,2701,6238.338,Austria,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
AUT,2017,2701,247860.126,Austria,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
AUT,2018,2701,664340.617,Austria,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
AZE,2017,2701,31179.6,Azerbaijan,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BEL,2013,2701,270879697.62,Belgium,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BEL,2014,2701,209069805.632,Belgium,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BEL,2015,2701,131697525.129,Belgium,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BEL,2016,2701,109080046.059,Belgium,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BEL,2017,2701,176266150.346,Belgium,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BEL,2018,2701,152172084.614,Belgium,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BGD,2018,2701,426255.849,Bangladesh,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BGR,2013,2701,13877632.0,Bulgaria,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BGR,2014,2701,8115070.0,Bulgaria,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BGR,2015,2701,5436634.0,Bulgaria,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BGR,2016,2701,3096754.068,Bulgaria,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BGR,2017,2701,3184469.988,Bulgaria,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BGR,2018,2701,1822839.214,Bulgaria,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BHR,2014,2701,2289.0,Bahrain,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BHR,2015,2701,83.005,Bahrain,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BHR,2016,2701,30049.524,Bahrain,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BHR,2018,2701,5.957,Bahrain,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BHS,2017,2701,40.0,Bahamas,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BIH,2013,2701,435364.0,Bosnia Herzegovina,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BIH,2014,2701,685516.0,Bosnia Herzegovina,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BIH,2015,2701,18704.0,Bosnia Herzegovina,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BIH,2016,2701,12413.0,Bosnia Herzegovina,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BIH,2017,2701,935.96,Bosnia Herzegovina,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BIH,2018,2701,2279.12,Bosnia Herzegovina,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BLR,2014,2701,368600.0,Belarus,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BLR,2015,2701,3133600.0,Belarus,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BLR,2016,2701,2243000.0,Belarus,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BLR,2017,2701,14091000.0,Belarus,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BLR,2018,2701,74912300.0,Belarus,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BRA,2013,2701,127829.0,Brazil,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BRA,2014,2701,351595.0,Brazil,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BRA,2015,2701,466167.0,Brazil,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BRA,2016,2701,179524.0,Brazil,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BRA,2017,2701,121148.0,Brazil,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BRA,2018,2701,352184.0,Brazil,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BRN,2018,2701,3712.343,Brunei Darussalam,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BTN,2016,2701,635879.384,Bhutan,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BTN,2017,2701,2603385.97,Bhutan,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BTN,2018,2701,3496436.342,Bhutan,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BWA,2013,2701,10077913.003,Botswana,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BWA,2014,2701,16010162.701,Botswana,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BWA,2015,2701,16743870.242,Botswana,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BWA,2016,2701,7320462.0,Botswana,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BWA,2017,2701,6835996.996,Botswana,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BWA,2018,2701,10913445.836,Botswana,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CAN,2013,2701,5349107951.0,Canada,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CAN,2014,2701,3768099740.0,Canada,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CAN,2015,2701,2711701859.819,Canada,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CAN,2016,2701,3350341877.868,Canada,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CAN,2017,2701,5209201326.66,Canada,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CAN,2018,2701,5802239979.423,Canada,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CHE,2013,2701,38225.935,Switzerland,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CHE,2014,2701,44934.973,Switzerland,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CHE,2015,2701,18091.801,Switzerland,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CHE,2016,2701,12203.666,Switzerland,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CHE,2017,2701,17038.468,Switzerland,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CHE,2018,2701,13526.165,Switzerland,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CHL,2013,2701,29175830.39,Chile,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CHL,2014,2701,45410930.54,Chile,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CHL,2015,2701,28566115.02,Chile,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CHL,2016,2701,19654132.0,Chile,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CHL,2017,2701,32133861.0,Chile,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CHL,2018,2701,15240594.268,Chile,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CHN,2013,2701,1059282013.0,China,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CHN,2014,2701,694634506.0,China,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CHN,2015,2701,498785457.0,China,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CHN,2016,2701,698009429.0,China,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CHN,2017,2701,1087642738.0,China,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CHN,2018,2701,786889331.0,China,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CIV,2014,2701,223.15,Côte d'Ivoire,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CIV,2016,2701,4150.393,Côte d'Ivoire,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CIV,2018,2701,1437.218,Côte d'Ivoire,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CMR,2016,2701,2.0,Cameroon,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
COD,2016,2701,1608.632,Dem. Rep. of the Congo,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
COD,2017,2701,26.386,Dem. Rep. of the Congo,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
COG,2018,2701,564.253,Congo,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
COL,2013,2701,6253845697.0,Colombia,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
COL,2014,2701,6426670016.0,Colombia,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
COL,2015,2701,4257412079.0,Colombia,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
COL,2016,2701,4392669122.0,Colombia,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
COL,2017,2701,6816779896.84,Colombia,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
COL,2018,2701,6576500113.74,Colombia,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
COM,2018,2701,19.026,Comoros,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CUB,2016,2701,75345.36,Cuba,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CUB,2017,2701,96600.0,Cuba,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CUB,2018,2701,79800.0,Cuba,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CUW,2018,2701,1508.376,Curaçao,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CZE,2013,2701,589932633.0,Czechia,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CZE,2014,2701,482174502.0,Czechia,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CZE,2015,2701,325863188.0,Czechia,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CZE,2016,2701,290241533.0,Czechia,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CZE,2017,2701,330347077.0,Czechia,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CZE,2018,2701,293486861.0,Czechia,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
DEU,2013,2701,65476461.541,Germany,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
DEU,2014,2701,53442283.793,Germany,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
DEU,2015,2701,37170721.224,Germany,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
DEU,2016,2701,46695311.11,Germany,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
DEU,2017,2701,46401608.928,Germany,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
DEU,2018,2701,45710600.407,Germany,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
DNK,2013,2701,7565759.0,Denmark,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
DNK,2014,2701,14032404.0,Denmark,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
DNK,2015,2701,6551643.0,Denmark,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
DNK,2016,2701,2208333.349,Denmark,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
DNK,2017,2701,181540.919,Denmark,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
DNK,2018,2701,654936.659,Denmark,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
DOM,2013,2701,6928.0,Dominican Rep.,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
DOM,2014,2701,38.868,Dominican Rep.,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
DOM,2015,2701,2882.073,Dominican Rep.,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
DOM,2016,2701,268.393,Dominican Rep.,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
DOM,2017,2701,5376.51,Dominican Rep.,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
DOM,2018,2701,250315.84,Dominican Rep.,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ECU,2014,2701,705.0,Ecuador,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
EGY,2013,2701,43001850.0,Egypt,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
EGY,2014,2701,48163721.0,Egypt,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
EGY,2015,2701,38588201.64,Egypt,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
EGY,2016,2701,34735173.514,Egypt,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
EGY,2017,2701,28833451.341,Egypt,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
EGY,2018,2701,28560150.35,Egypt,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ESP,2013,2701,94135052.537,Spain,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ESP,2014,2701,141264462.76,Spain,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ESP,2015,2701,104405385.747,Spain,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ESP,2016,2701,53321894.759,Spain,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ESP,2017,2701,35101855.7,Spain,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ESP,2018,2701,39428632.76,Spain,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
EST,2013,2701,1378.0,Estonia,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
EST,2014,2701,2747.0,Estonia,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
EST,2017,2701,1084.579,Estonia,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ETH,2013,2701,5531.137,Ethiopia,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
FIN,2013,2701,485424.0,Finland,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
FIN,2014,2701,39392.0,Finland,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
FIN,2015,2701,22899.0,Finland,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
FIN,2016,2701,7814.0,Finland,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
FIN,2017,2701,2470239.699,Finland,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
FIN,2018,2701,16380.853,Finland,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
FJI,2015,2701,14301.9,Fiji,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
FRA,2013,2701,18199112.0,France,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
FRA,2014,2701,28527009.0,France,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
FRA,2015,2701,14366011.0,France,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
FRA,2016,2701,17814401.0,France,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
FRA,2017,2701,20986964.336,France,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
FRA,2018,2701,9101941.196,France,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
GBR,2013,2701,172011041.0,United Kingdom,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
GBR,2014,2701,127626373.0,United Kingdom,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
GBR,2015,2701,92887943.0,United Kingdom,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
GBR,2016,2701,80180482.0,United Kingdom,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
GBR,2017,2701,83117097.266,United Kingdom,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
GBR,2018,2701,124265128.351,United Kingdom,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
GEO,2013,2701,305684.0,Georgia,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
GEO,2014,2701,208584.15,Georgia,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
GEO,2015,2701,129976.79,Georgia,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
GEO,2016,2701,127326.91,Georgia,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
GEO,2017,2701,159300.0,Georgia,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
GEO,2018,2701,184694.93,Georgia,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
GHA,2013,2701,8111.0,Ghana,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
