reporterISO,period,cmdCode,primaryValue,reporterDesc,cmdDesc
AGO,2020,2702,16012.01,Angola,"Lignite; whether or not agglomerated, excluding jet"
ARE,2020,2702,228232.476,United Arab Emirates,"Lignite; whether or not agglomerated, excluding jet"
ARG,2020,2702,11238.8,Argentina,"Lignite; whether or not agglomerated, excluding jet"
AUS,2020,2702,209341.003,Australia,"Lignite; whether or not agglomerated, excluding jet"
AUT,2020,2702,9164536.41,Austria,"Lignite; whether or not agglomerated, excluding jet"
AZE,2020,2702,37572.16,Azerbaijan,"Lignite; whether or not agglomerated, excluding jet"
BEL,2020,2702,10990162.054,Belgium,"Lignite; whether or not agglomerated, excluding jet"
BGR,2020,2702,4535.25,Bulgaria,"Lignite; whether or not agglomerated, excluding jet"
BHR,2020,2702,13271.52,Bahrain,"Lignite; whether or not agglomerated, excluding jet"
BHS,2020,2702,120.0,Bahamas,"Lignite; whether or not agglomerated, excluding jet"
BIH,2020,2702,4928599.51,Bosnia Herzegovina,"Lignite; whether or not agglomerated, excluding jet"
BLR,2020,2702,15400.0,Belarus,"Lignite; whether or not agglomerated, excluding jet"
BOL,2020,2702,50667.67,Bolivia (Plurinational State of),"Lignite; whether or not agglomerated, excluding jet"
BRA,2020,2702,926524.0,Brazil,"Lignite; whether or not agglomerated, excluding jet"
BTN,2020,2702,5281.236,Bhutan,"Lignite; whether or not agglomerated, excluding jet"
CAN,2020,2702,1512881.439,Canada,"Lignite; whether or not agglomerated, excluding jet"
CHE,2020,2702,7444832.725,Switzerland,"Lignite; whether or not agglomerated, excluding jet"
CHL,2020,2702,16264.75,Chile,"Lignite; whether or not agglomerated, excluding jet"
CHN,2020,2702,3874754197.0,China,"Lignite; whether or not agglomerated, excluding jet"
COL,2020,2702,24352.52,Colombia,"Lignite; whether or not agglomerated, excluding jet"
CPV,2020,2702,805.82,Cabo Verde,"Lignite; whether or not agglomerated, excluding jet"
CRI,2020,2702,32879.29,Costa Rica,"Lignite; whether or not agglomerated, excluding jet"
CYP,2020,2702,56593.527,Cyprus,"Lignite; whether or not agglomerated, excluding jet"
CZE,2020,2702,22515107.0,Czechia,"Lignite; whether or not agglomerated, excluding jet"
DEU,2020,2702,17304451.808,Germany,"Lignite; whether or not agglomerated, excluding jet"
DMA,2020,2702,90.741,Dominica,"Lignite; whether or not agglomerated, excluding jet"
DNK,2020,2702,95205.216,Denmark,"Lignite; whether or not agglomerated, excluding jet"
EGY,2020,2702,174287.758,Egypt,"Lignite; whether or not agglomerated, excluding jet"
ESP,2020,2702,2021361.67,Spain,"Lignite; whether or not agglomerated, excluding jet"
FRA,2020,2702,5686479.061,France,"Lignite; whether or not agglomerated, excluding jet"
GBR,2020,2702,281661.409,United Kingdom,"Lignite; whether or not agglomerated, excluding jet"
HRV,2020,2702,1977477.0,Croatia,"Lignite; whether or not agglomerated, excluding jet"
HUN,2020,2702,17056136.0,Hungary,"Lignite; whether or not agglomerated, excluding jet"
IDN,2020,2702,68399.0,Indonesia,"Lignite; whether or not agglomerated, excluding jet"
IND,2020,2702,45539.144,India,"Lignite; whether or not agglomerated, excluding jet"
IRL,2020,2702,2615917.816,Ireland,"Lignite; whether or not agglomerated, excluding jet"
ISL,2020,2702,934.215,Iceland,"Lignite; whether or not agglomerated, excluding jet"
ISR,2020,2702,26000.0,Israel,"Lignite; whether or not agglomerated, excluding jet"
ITA,2020,2702,330310.519,Italy,"Lignite; whether or not agglomerated, excluding jet"
JPN,2020,2702,3776655.921,Japan,"Lignite; whether or not agglomerated, excluding jet"
KGZ,2020,2702,23863.0,Kyrgyzstan,"Lignite; whether or not agglomerated, excluding jet"
KOR,2020,2702,56211.0,Rep. of Korea,"Lignite; whether or not agglomerated, excluding jet"
LAO,2020,2702,500.0,Lao People's Dem. Rep.,"Lignite; whether or not agglomerated, excluding jet"
LTU,2020,2702,466298.0,Lithuania,"Lignite; whether or not agglomerated, excluding jet"
LUX,2020,2702,1188554.389,Luxembourg,"Lignite; whether or not agglomerated, excluding jet"
LVA,2020,2702,9747.502,Latvia,"Lignite; whether or not agglomerated, excluding jet"
MAR,2020,2702,11535.091,Morocco,"Lignite; whether or not agglomerated, excluding jet"
MDA,2020,2702,10888.0,Rep. of Moldova,"Lignite; whether or not agglomerated, excluding jet"
MEX,2020,2702,1617381.0,Mexico,"Lignite; whether or not agglomerated, excluding jet"
MKD,2020,2702,3441814.07,North Macedonia,"Lignite; whether or not agglomerated, excluding jet"
MNE,2020,2702,3019.627,Montenegro,"Lignite; whether or not agglomerated, excluding jet"
MNG,2020,2702,15999.44,Mongolia,"Lignite; whether or not agglomerated, excluding jet"
MYS,2020,2702,964865.757,Malaysia,"Lignite; whether or not agglomerated, excluding jet"
NLD,2020,2702,3023167.799,Netherlands,"Lignite; whether or not agglomerated, excluding jet"
NOR,2020,2702,7148.366,Norway,"Lignite; whether or not agglomerated, excluding jet"
NZL,2020,2702,52422.142,New Zealand,"Lignite; whether or not agglomerated, excluding jet"
OMN,2020,2702,5.202,Oman,"Lignite; whether or not agglomerated, excluding jet"
PAK,2020,2702,208952.921,Pakistan,"Lignite; whether or not agglomerated, excluding jet"
PER,2020,2702,127065.29,Peru,"Lignite; whether or not agglomerated, excluding jet"
POL,2020,2702,25189929.0,Poland,"Lignite; whether or not agglomerated, excluding jet"
ROU,2020,2702,595105.97,Romania,"Lignite; whether or not agglomerated, excluding jet"
RUS,2020,2702,23259201.9,Russian Federation,"Lignite; whether or not agglomerated, excluding jet"
S19,2020,2702,135265.252,"Other Asia, nes","Lignite; whether or not agglomerated, excluding jet"
SAU,2020,2702,5282875.335,Saudi Arabia,"Lignite; whether or not agglomerated, excluding jet"
