reporterISO,period,cmdCode,primaryValue,reporterDesc,cmdDesc
AGO,2004,2709,982342.661,Angola,Petroleum oils and oils obtained from bituminous minerals; crude
AGO,2005,2709,3338992.782,Angola,Petroleum oils and oils obtained from bituminous minerals; crude
AGO,2006,2709,118707.316,Angola,Petroleum oils and oils obtained from bituminous minerals; crude
AIA,2002,2709,1098.0,Anguilla,Petroleum oils and oils obtained from bituminous minerals; crude
AIA,2003,2709,1680.0,Anguilla,Petroleum oils and oils obtained from bituminous minerals; crude
AIA,2004,2709,946.0,Anguilla,Petroleum oils and oils obtained from bituminous minerals; crude
AIA,2006,2709,20.0,Anguilla,Petroleum oils and oils obtained from bituminous minerals; crude
ALB,2001,2709,4311.0,Albania,Petroleum oils and oils obtained from bituminous minerals; crude
ALB,2002,2709,587.0,Albania,Petroleum oils and oils obtained from bituminous minerals; crude
ALB,2003,2709,5281.0,Albania,Petroleum oils and oils obtained from bituminous minerals; crude
ALB,2004,2709,7699.0,Albania,Petroleum oils and oils obtained from bituminous minerals; crude
ALB,2005,2709,40.0,Albania,Petroleum oils and oils obtained from bituminous minerals; crude
ALB,2006,2709,3178.0,Albania,Petroleum oils and oils obtained from bituminous minerals; crude
AND,2002,2709,4471.0,Andorra,Petroleum oils and oils obtained from bituminous minerals; crude
AND,2003,2709,431.0,Andorra,Petroleum oils and oils obtained from bituminous minerals; crude
AND,2004,2709,190.0,Andorra,Petroleum oils and oils obtained from bituminous minerals; crude
ARE,2001,2709,2781713.0,United Arab Emirates,Petroleum oils and oils obtained from bituminous minerals; crude
ARE,2002,2709,3133439.0,United Arab Emirates,Petroleum oils and oils obtained from bituminous minerals; crude
ARE,2003,2709,10788536.0,United Arab Emirates,Petroleum oils and oils obtained from bituminous minerals; crude
ARE,2004,2709,6724483.0,United Arab Emirates,Petroleum oils and oils obtained from bituminous minerals; crude
ARE,2005,2709,4663257.0,United Arab Emirates,Petroleum oils and oils obtained from bituminous minerals; crude
ARE,2006,2709,8281240.0,United Arab Emirates,Petroleum oils and oils obtained from bituminous minerals; crude
ARG,2001,2709,284148103.0,Argentina,Petroleum oils and oils obtained from bituminous minerals; crude
ARG,2002,2709,39156761.0,Argentina,Petroleum oils and oils obtained from bituminous minerals; crude
ARG,2003,2709,54481899.0,Argentina,Petroleum oils and oils obtained from bituminous minerals; crude
ARG,2004,2709,80723941.0,Argentina,Petroleum oils and oils obtained from bituminous minerals; crude
ARG,2005,2709,68794424.0,Argentina,Petroleum oils and oils obtained from bituminous minerals; crude
ARG,2006,2709,34491620.0,Argentina,Petroleum oils and oils obtained from bituminous minerals; crude
ARM,2001,2709,76747.0,Armenia,Petroleum oils and oils obtained from bituminous minerals; crude
AUS,2001,2709,4271335946.0,Australia,Petroleum oils and oils obtained from bituminous minerals; crude
AUS,2002,2709,3925839673.0,Australia,Petroleum oils and oils obtained from bituminous minerals; crude
AUS,2003,2709,4770706277.0,Australia,Petroleum oils and oils obtained from bituminous minerals; crude
AUS,2004,2709,6505281952.0,Australia,Petroleum oils and oils obtained from bituminous minerals; crude
AUS,2005,2709,8411631592.0,Australia,Petroleum oils and oils obtained from bituminous minerals; crude
AUS,2006,2709,10456888684.0,Australia,Petroleum oils and oils obtained from bituminous minerals; crude
AUT,2001,2709,1496327127.0,Austria,Petroleum oils and oils obtained from bituminous minerals; crude
AUT,2002,2709,1537537116.0,Austria,Petroleum oils and oils obtained from bituminous minerals; crude
AUT,2003,2709,1734969077.0,Austria,Petroleum oils and oils obtained from bituminous minerals; crude
AUT,2004,2709,2153207337.0,Austria,Petroleum oils and oils obtained from bituminous minerals; crude
AUT,2005,2709,3083192528.0,Austria,Petroleum oils and oils obtained from bituminous minerals; crude
AUT,2006,2709,3752454343.0,Austria,Petroleum oils and oils obtained from bituminous minerals; crude
AZE,2003,2709,1444.0,Azerbaijan,Petroleum oils and oils obtained from bituminous minerals; crude
AZE,2005,2709,127.0,Azerbaijan,Petroleum oils and oils obtained from bituminous minerals; crude
BDI,2002,2709,11.0,Burundi,Petroleum oils and oils obtained from bituminous minerals; crude
BDI,2004,2709,2253.0,Burundi,Petroleum oils and oils obtained from bituminous minerals; crude
BDI,2005,2709,59803.0,Burundi,Petroleum oils and oils obtained from bituminous minerals; crude
BDI,2006,2709,24616.0,Burundi,Petroleum oils and oils obtained from bituminous minerals; crude
BEL,2001,2709,6477751047.0,Belgium,Petroleum oils and oils obtained from bituminous minerals; crude
BEL,2002,2709,6668116379.0,Belgium,Petroleum oils and oils obtained from bituminous minerals; crude
BEL,2003,2709,8372497752.0,Belgium,Petroleum oils and oils obtained from bituminous minerals; crude
BEL,2004,2709,9581833540.0,Belgium,Petroleum oils and oils obtained from bituminous minerals; crude
BEL,2005,2709,12531586555.0,Belgium,Petroleum oils and oils obtained from bituminous minerals; crude
BEL,2006,2709,15425681975.0,Belgium,Petroleum oils and oils obtained from bituminous minerals; crude
BEN,2006,2709,455.0,Benin,Petroleum oils and oils obtained from bituminous minerals; crude
BFA,2002,2709,87.0,Burkina Faso,Petroleum oils and oils obtained from bituminous minerals; crude
BFA,2004,2709,22701.0,Burkina Faso,Petroleum oils and oils obtained from bituminous minerals; crude
BFA,2005,2709,6726.653,Burkina Faso,Petroleum oils and oils obtained from bituminous minerals; crude
BFA,2006,2709,2334.619,Burkina Faso,Petroleum oils and oils obtained from bituminous minerals; crude
BGD,2001,2709,65016786.0,Bangladesh,Petroleum oils and oils obtained from bituminous minerals; crude
BGD,2002,2709,135905640.0,Bangladesh,Petroleum oils and oils obtained from bituminous minerals; crude
BGD,2003,2709,328585325.0,Bangladesh,Petroleum oils and oils obtained from bituminous minerals; crude
BGD,2004,2709,208883303.0,Bangladesh,Petroleum oils and oils obtained from bituminous minerals; crude
BGD,2005,2709,158192038.0,Bangladesh,Petroleum oils and oils obtained from bituminous minerals; crude
BGD,2006,2709,221462239.0,Bangladesh,Petroleum oils and oils obtained from bituminous minerals; crude
BHR,2001,2709,1538295288.0,Bahrain,Petroleum oils and oils obtained from bituminous minerals; crude
BHR,2002,2709,1672337616.0,Bahrain,Petroleum oils and oils obtained from bituminous minerals; crude
BHR,2003,2709,2066751847.0,Bahrain,Petroleum oils and oils obtained from bituminous minerals; crude
BHR,2004,2709,2765154929.0,Bahrain,Petroleum oils and oils obtained from bituminous minerals; crude
BHR,2005,2709,4169673846.0,Bahrain,Petroleum oils and oils obtained from bituminous minerals; crude
BHR,2006,2709,4901587510.0,Bahrain,Petroleum oils and oils obtained from bituminous minerals; crude
BHS,2001,2709,11330254.0,Bahamas,Petroleum oils and oils obtained from bituminous minerals; crude
BHS,2002,2709,778.0,Bahamas,Petroleum oils and oils obtained from bituminous minerals; crude
BHS,2003,2709,245.0,Bahamas,Petroleum oils and oils obtained from bituminous minerals; crude
BHS,2004,2709,155164.0,Bahamas,Petroleum oils and oils obtained from bituminous minerals; crude
BHS,2005,2709,1049.0,Bahamas,Petroleum oils and oils obtained from bituminous minerals; crude
BHS,2006,2709,5312401.0,Bahamas,Petroleum oils and oils obtained from bituminous minerals; crude
BIH,2003,2709,52.0,Bosnia Herzegovina,Petroleum oils and oils obtained from bituminous minerals; crude
BIH,2004,2709,39450793.0,Bosnia Herzegovina,Petroleum oils and oils obtained from bituminous minerals; crude
BIH,2005,2709,41752956.0,Bosnia Herzegovina,Petroleum oils and oils obtained from bituminous minerals; crude
