reporterISO,period,cmdCode,primaryValue,reporterDesc,cmdDesc
AFG,2017,2709,33202314.51,Afghanistan,Petroleum oils and oils obtained from bituminous minerals; crude
AFG,2018,2709,54742303.49,Afghanistan,Petroleum oils and oils obtained from bituminous minerals; crude
AGO,2013,2709,115274.0,Angola,Petroleum oils and oils obtained from bituminous minerals; crude
AGO,2014,2709,47053.0,Angola,Petroleum oils and oils obtained from bituminous minerals; crude
AGO,2015,2709,19005.83,Angola,Petroleum oils and oils obtained from bituminous minerals; crude
AGO,2016,2709,39663.86,Angola,Petroleum oils and oils obtained from bituminous minerals; crude
AGO,2017,2709,22946.65,Angola,Petroleum oils and oils obtained from bituminous minerals; crude
AGO,2018,2709,929.383,Angola,Petroleum oils and oils obtained from bituminous minerals; crude
ARE,2013,2709,713930.046,United Arab Emirates,Petroleum oils and oils obtained from bituminous minerals; crude
ARE,2014,2709,193393.353,United Arab Emirates,Petroleum oils and oils obtained from bituminous minerals; crude
ARE,2015,2709,34084814.618,United Arab Emirates,Petroleum oils and oils obtained from bituminous minerals; crude
ARE,2016,2709,414173.034,United Arab Emirates,Petroleum oils and oils obtained from bituminous minerals; crude
ARE,2017,2709,33145004.849,United Arab Emirates,Petroleum oils and oils obtained from bituminous minerals; crude
ARE,2018,2709,2498583591.352,United Arab Emirates,Petroleum oils and oils obtained from bituminous minerals; crude
ARG,2013,2709,245437905.0,Argentina,Petroleum oils and oils obtained from bituminous minerals; crude
ARG,2014,2709,317708845.04,Argentina,Petroleum oils and oils obtained from bituminous minerals; crude
ARG,2015,2709,355737481.06,Argentina,Petroleum oils and oils obtained from bituminous minerals; crude
ARG,2016,2709,278747010.11,Argentina,Petroleum oils and oils obtained from bituminous minerals; crude
ARG,2017,2709,455187605.15,Argentina,Petroleum oils and oils obtained from bituminous minerals; crude
ARG,2018,2709,181108939.58,Argentina,Petroleum oils and oils obtained from bituminous minerals; crude
ATG,2016,2709,991.0,Antigua and Barbuda,Petroleum oils and oils obtained from bituminous minerals; crude
ATG,2017,2709,1036.729,Antigua and Barbuda,Petroleum oils and oils obtained from bituminous minerals; crude
ATG,2018,2709,705.329,Antigua and Barbuda,Petroleum oils and oils obtained from bituminous minerals; crude
AUS,2013,2709,19494426358.0,Australia,Petroleum oils and oils obtained from bituminous minerals; crude
AUS,2014,2709,18305795817.0,Australia,Petroleum oils and oils obtained from bituminous minerals; crude
AUS,2015,2709,7103198586.0,Australia,Petroleum oils and oils obtained from bituminous minerals; crude
AUS,2016,2709,5903676026.0,Australia,Petroleum oils and oils obtained from bituminous minerals; crude
AUS,2017,2709,7512179565.499,Australia,Petroleum oils and oils obtained from bituminous minerals; crude
AUS,2018,2709,10596882103.15,Australia,Petroleum oils and oils obtained from bituminous minerals; crude
AUT,2013,2709,6534278421.005,Austria,Petroleum oils and oils obtained from bituminous minerals; crude
AUT,2014,2709,5971007517.787,Austria,Petroleum oils and oils obtained from bituminous minerals; crude
AUT,2015,2709,3435105252.843,Austria,Petroleum oils and oils obtained from bituminous minerals; crude
AUT,2016,2709,2410120018.991,Austria,Petroleum oils and oils obtained from bituminous minerals; crude
AUT,2017,2709,3046250460.623,Austria,Petroleum oils and oils obtained from bituminous minerals; crude
AUT,2018,2709,4533131768.623,Austria,Petroleum oils and oils obtained from bituminous minerals; crude
AZE,2013,2709,83.0,Azerbaijan,Petroleum oils and oils obtained from bituminous minerals; crude
AZE,2014,2709,4.0,Azerbaijan,Petroleum oils and oils obtained from bituminous minerals; crude
AZE,2016,2709,36904890.48,Azerbaijan,Petroleum oils and oils obtained from bituminous minerals; crude
AZE,2017,2709,18204881.07,Azerbaijan,Petroleum oils and oils obtained from bituminous minerals; crude
AZE,2018,2709,53763913.83,Azerbaijan,Petroleum oils and oils obtained from bituminous minerals; crude
BDI,2013,2709,60775.0,Burundi,Petroleum oils and oils obtained from bituminous minerals; crude
BDI,2015,2709,2344.0,Burundi,Petroleum oils and oils obtained from bituminous minerals; crude
BDI,2018,2709,23.626,Burundi,Petroleum oils and oils obtained from bituminous minerals; crude
BEL,2013,2709,21991820240.841,Belgium,Petroleum oils and oils obtained from bituminous minerals; crude
BEL,2014,2709,23320320780.995,Belgium,Petroleum oils and oils obtained from bituminous minerals; crude
BEL,2015,2709,12330335116.909,Belgium,Petroleum oils and oils obtained from bituminous minerals; crude
BEL,2016,2709,9948197417.634,Belgium,Petroleum oils and oils obtained from bituminous minerals; crude
BEL,2017,2709,12842745927.964,Belgium,Petroleum oils and oils obtained from bituminous minerals; crude
BEL,2018,2709,16569674024.24,Belgium,Petroleum oils and oils obtained from bituminous minerals; crude
BEN,2014,2709,20.0,Benin,Petroleum oils and oils obtained from bituminous minerals; crude
BEN,2015,2709,557.951,Benin,Petroleum oils and oils obtained from bituminous minerals; crude
BEN,2016,2709,60.732,Benin,Petroleum oils and oils obtained from bituminous minerals; crude
BEN,2017,2709,104472.459,Benin,Petroleum oils and oils obtained from bituminous minerals; crude
BEN,2018,2709,192969.264,Benin,Petroleum oils and oils obtained from bituminous minerals; crude
BFA,2013,2709,1021.849,Burkina Faso,Petroleum oils and oils obtained from bituminous minerals; crude
BFA,2014,2709,2388.081,Burkina Faso,Petroleum oils and oils obtained from bituminous minerals; crude
BFA,2018,2709,1599.702,Burkina Faso,Petroleum oils and oils obtained from bituminous minerals; crude
BGD,2013,2709,49394582.0,Bangladesh,Petroleum oils and oils obtained from bituminous minerals; crude
BGD,2015,2709,373009570.0,Bangladesh,Petroleum oils and oils obtained from bituminous minerals; crude
BGD,2016,2709,361124417.285,Bangladesh,Petroleum oils and oils obtained from bituminous minerals; crude
BGD,2017,2709,489154473.654,Bangladesh,Petroleum oils and oils obtained from bituminous minerals; crude
BGD,2018,2709,360776438.683,Bangladesh,Petroleum oils and oils obtained from bituminous minerals; crude
BGR,2013,2709,4487692248.0,Bulgaria,Petroleum oils and oils obtained from bituminous minerals; crude
BGR,2014,2709,3515422761.0,Bulgaria,Petroleum oils and oils obtained from bituminous minerals; crude
BGR,2015,2709,2244978868.0,Bulgaria,Petroleum oils and oils obtained from bituminous minerals; crude
BGR,2016,2709,1894506072.534,Bulgaria,Petroleum oils and oils obtained from bituminous minerals; crude
BGR,2017,2709,2640925594.312,Bulgaria,Petroleum oils and oils obtained from bituminous minerals; crude
BGR,2018,2709,2969218799.42,Bulgaria,Petroleum oils and oils obtained from bituminous minerals; crude
BHR,2013,2709,8486433272.0,Bahrain,Petroleum oils and oils obtained from bituminous minerals; crude
BHR,2014,2709,7440079666.0,Bahrain,Petroleum oils and oils obtained from bituminous minerals; crude
BHR,2015,2709,3933897855.854,Bahrain,Petroleum oils and oils obtained from bituminous minerals; crude
BHR,2016,2709,3148340868.172,Bahrain,Petroleum oils and oils obtained from bituminous minerals; crude
BHR,2017,2709,4246244152.043,Bahrain,Petroleum oils and oils obtained from bituminous minerals; crude
BHR,2018,2709,5721286031.574,Bahrain,Petroleum oils and oils obtained from bituminous minerals; crude
BHS,2013,2709,1438.0,Bahamas,Petroleum oils and oils obtained from bituminous minerals; crude
BHS,2014,2709,6582.0,Bahamas,Petroleum oils and oils obtained from bituminous minerals; crude
BHS,2015,2709,275305.0,Bahamas,Petroleum oils and oils obtained from bituminous minerals; crude
BHS,2016,2709,14664.0,Bahamas,Petroleum oils and oils obtained from bituminous minerals; crude
BHS,2017,2709,4428.01,Bahamas,Petroleum oils and oils obtained from bituminous minerals; crude
BHS,2018,2709,13566.94,Bahamas,Petroleum oils and oils obtained from bituminous minerals; crude
BIH,2013,2709,814190909.0,Bosnia Herzegovina,Petroleum oils and oils obtained from bituminous minerals; crude
BIH,2014,2709,701879369.0,Bosnia Herzegovina,Petroleum oils and oils obtained from bituminous minerals; crude
BIH,2015,2709,359667275.0,Bosnia Herzegovina,Petroleum oils and oils obtained from bituminous minerals; crude
BIH,2016,2709,303803842.0,Bosnia Herzegovina,Petroleum oils and oils obtained from bituminous minerals; crude
BIH,2017,2709,359120510.21,Bosnia Herzegovina,Petroleum oils and oils obtained from bituminous minerals; crude
BIH,2018,2709,364448294.43,Bosnia Herzegovina,Petroleum oils and oils obtained from bituminous minerals; crude
BLR,2013,2709,8392089700.0,Belarus,Petroleum oils and oils obtained from bituminous minerals; crude
BLR,2014,2709,7629251900.0,Belarus,Petroleum oils and oils obtained from bituminous minerals; crude
BLR,2015,2709,5668227700.0,Belarus,Petroleum oils and oils obtained from bituminous minerals; crude
BLR,2016,2709,3970841700.0,Belarus,Petroleum oils and oils obtained from bituminous minerals; crude
BLR,2017,2709,5338081900.0,Belarus,Petroleum oils and oils obtained from bituminous minerals; crude
BLR,2018,2709,6822678400.0,Belarus,Petroleum oils and oils obtained from bituminous minerals; crude
BLZ,2013,2709,286.0,Belize,Petroleum oils and oils obtained from bituminous minerals; crude
BLZ,2014,2709,3655.0,Belize,Petroleum oils and oils obtained from bituminous minerals; crude
BLZ,2015,2709,67.0,Belize,Petroleum oils and oils obtained from bituminous minerals; crude
BLZ,2016,2709,91.0,Belize,Petroleum oils and oils obtained from bituminous minerals; crude
BLZ,2018,2709,280.38,Belize,Petroleum oils and oils obtained from bituminous minerals; crude
BOL,2013,2709,4708.34,Bolivia (Plurinational State of),Petroleum oils and oils obtained from bituminous minerals; crude
BOL,2014,2709,4623.27,Bolivia (Plurinational State of),Petroleum oils and oils obtained from bituminous minerals; crude
BOL,2015,2709,7207.77,Bolivia (Plurinational State of),Petroleum oils and oils obtained from bituminous minerals; crude
BOL,2016,2709,6381.04,Bolivia (Plurinational State of),Petroleum oils and oils obtained from bituminous minerals; crude
BOL,2017,2709,962.07,Bolivia (Plurinational State of),Petroleum oils and oils obtained from bituminous minerals; crude
BRA,2013,2709,16536508296.0,Brazil,Petroleum oils and oils obtained from bituminous minerals; crude
BRA,2014,2709,15746647059.0,Brazil,Petroleum oils and oils obtained from bituminous minerals; crude
BRA,2015,2709,7598390319.0,Brazil,Petroleum oils and oils obtained from bituminous minerals; crude
BRA,2016,2709,3009306274.0,Brazil,Petroleum oils and oils obtained from bituminous minerals; crude
BRA,2017,2709,3046182674.0,Brazil,Petroleum oils and oils obtained from bituminous minerals; crude
BRA,2018,2709,5162961311.0,Brazil,Petroleum oils and oils obtained from bituminous minerals; crude
BRB,2013,2709,6223990.0,Barbados,Petroleum oils and oils obtained from bituminous minerals; crude
BRB,2014,2709,2906384.0,Barbados,Petroleum oils and oils obtained from bituminous minerals; crude
BRB,2016,2709,439.0,Barbados,Petroleum oils and oils obtained from bituminous minerals; crude
BRN,2013,2709,177.0,Brunei Darussalam,Petroleum oils and oils obtained from bituminous minerals; crude
BRN,2014,2709,7198.0,Brunei Darussalam,Petroleum oils and oils obtained from bituminous minerals; crude
BRN,2015,2709,45251.0,Brunei Darussalam,Petroleum oils and oils obtained from bituminous minerals; crude
BRN,2016,2709,40702.0,Brunei Darussalam,Petroleum oils and oils obtained from bituminous minerals; crude
BRN,2017,2709,38265.422,Brunei Darussalam,Petroleum oils and oils obtained from bituminous minerals; crude
BRN,2018,2709,4518.044,Brunei Darussalam,Petroleum oils and oils obtained from bituminous minerals; crude
BTN,2017,2709,3387.606,Bhutan,Petroleum oils and oils obtained from bituminous minerals; crude
BTN,2018,2709,14222.305,Bhutan,Petroleum oils and oils obtained from bituminous minerals; crude
BWA,2013,2709,277921.329,Botswana,Petroleum oils and oils obtained from bituminous minerals; crude
BWA,2014,2709,176958.425,Botswana,Petroleum oils and oils obtained from bituminous minerals; crude
BWA,2015,2709,220770.506,Botswana,Petroleum oils and oils obtained from bituminous minerals; crude
BWA,2016,2709,107287.0,Botswana,Petroleum oils and oils obtained from bituminous minerals; crude
BWA,2017,2709,182437.998,Botswana,Petroleum oils and oils obtained from bituminous minerals; crude
BWA,2018,2709,45192.01,Botswana,Petroleum oils and oils obtained from bituminous minerals; crude
CAN,2013,2709,26237946573.0,Canada,Petroleum oils and oils obtained from bituminous minerals; crude
CAN,2014,2709,21513345468.0,Canada,Petroleum oils and oils obtained from bituminous minerals; crude
CAN,2015,2709,13031715589.859,Canada,Petroleum oils and oils obtained from bituminous minerals; crude
CAN,2016,2709,10872332868.729,Canada,Petroleum oils and oils obtained from bituminous minerals; crude
CAN,2017,2709,13168208003.329,Canada,Petroleum oils and oils obtained from bituminous minerals; crude
CAN,2018,2709,14830484088.533,Canada,Petroleum oils and oils obtained from bituminous minerals; crude
CHE,2013,2709,4099616166.822,Switzerland,Petroleum oils and oils obtained from bituminous minerals; crude
CHE,2014,2709,3871207875.593,Switzerland,Petroleum oils and oils obtained from bituminous minerals; crude
CHE,2015,2709,1230664322.625,Switzerland,Petroleum oils and oils obtained from bituminous minerals; crude
CHE,2016,2709,943807218.468,Switzerland,Petroleum oils and oils obtained from bituminous minerals; crude
CHE,2017,2709,1153824338.956,Switzerland,Petroleum oils and oils obtained from bituminous minerals; crude
CHE,2018,2709,1656515882.685,Switzerland,Petroleum oils and oils obtained from bituminous minerals; crude
CHL,2013,2709,6633370079.58,Chile,Petroleum oils and oils obtained from bituminous minerals; crude
CHL,2014,2709,6040622318.87,Chile,Petroleum oils and oils obtained from bituminous minerals; crude
CHL,2015,2709,2874348990.54,Chile,Petroleum oils and oils obtained from bituminous minerals; crude
CHL,2016,2709,2383270367.25,Chile,Petroleum oils and oils obtained from bituminous minerals; crude
CHL,2017,2709,3272102482.82,Chile,Petroleum oils and oils obtained from bituminous minerals; crude
CHL,2018,2709,4233207153.0,Chile,Petroleum oils and oils obtained from bituminous minerals; crude
CHN,2013,2709,219660366018.0,China,Petroleum oils and oils obtained from bituminous minerals; crude
CHN,2014,2709,228288472075.0,China,Petroleum oils and oils obtained from bituminous minerals; crude
CHN,2015,2709,134342874377.0,China,Petroleum oils and oils obtained from bituminous minerals; crude
CHN,2016,2709,116660748441.0,China,Petroleum oils and oils obtained from bituminous minerals; crude
CHN,2017,2709,163820666915.0,China,Petroleum oils and oils obtained from bituminous minerals; crude
CHN,2018,2709,240380261315.0,China,Petroleum oils and oils obtained from bituminous minerals; crude
CIV,2013,2709,2929670318.365,Côte d'Ivoire,Petroleum oils and oils obtained from bituminous minerals; crude
