reporterISO,period,cmdCode,primaryValue,reporterDesc,cmdDesc
ABW,2019,2709,1.117,Aruba,Petroleum oils and oils obtained from bituminous minerals; crude
ABW,2020,2709,2.235,Aruba,Petroleum oils and oils obtained from bituminous minerals; crude
ABW,2021,2709,48.603,Aruba,Petroleum oils and oils obtained from bituminous minerals; crude
AGO,2019,2709,31534121190.558,Angola,Petroleum oils and oils obtained from bituminous minerals; crude
AGO,2020,2709,18379869211.6,Angola,Petroleum oils and oils obtained from bituminous minerals; crude
AGO,2021,2709,27481273609.393,Angola,Petroleum oils and oils obtained from bituminous minerals; crude
AGO,2022,2709,40311108896.754,Angola,Petroleum oils and oils obtained from bituminous minerals; crude
AGO,2023,2709,32047478607.041,Angola,Petroleum oils and oils obtained from bituminous minerals; crude
AND,2021,2709,846.95,Andorra,Petroleum oils and oils obtained from bituminous minerals; crude
AND,2022,2709,908.598,Andorra,Petroleum oils and oils obtained from bituminous minerals; crude
AND,2023,2709,19.466,Andorra,Petroleum oils and oils obtained from bituminous minerals; crude
ARE,2019,2709,127284293029.93,United Arab Emirates,Petroleum oils and oils obtained from bituminous minerals; crude
ARE,2020,2709,105123364795.736,United Arab Emirates,Petroleum oils and oils obtained from bituminous minerals; crude
ARE,2021,2709,99039151474.408,United Arab Emirates,Petroleum oils and oils obtained from bituminous minerals; crude
ARE,2022,2709,154476104445.767,United Arab Emirates,Petroleum oils and oils obtained from bituminous minerals; crude
ARE,2023,2709,162767463924.951,United Arab Emirates,Petroleum oils and oils obtained from bituminous minerals; crude
ARG,2019,2709,1119911767.13,Argentina,Petroleum oils and oils obtained from bituminous minerals; crude
ARG,2020,2709,570359836.68,Argentina,Petroleum oils and oils obtained from bituminous minerals; crude
ARG,2021,2709,1161542098.58,Argentina,Petroleum oils and oils obtained from bituminous minerals; crude
ARG,2022,2709,3072569252.61,Argentina,Petroleum oils and oils obtained from bituminous minerals; crude
ARG,2023,2709,3733440372.73,Argentina,Petroleum oils and oils obtained from bituminous minerals; crude
ATG,2022,2709,853.156,Antigua and Barbuda,Petroleum oils and oils obtained from bituminous minerals; crude
AUS,2019,2709,6566389781.634,Australia,Petroleum oils and oils obtained from bituminous minerals; crude
AUS,2020,2709,2975132784.365,Australia,Petroleum oils and oils obtained from bituminous minerals; crude
AUS,2021,2709,7606804961.223,Australia,Petroleum oils and oils obtained from bituminous minerals; crude
AUS,2022,2709,10054424249.025,Australia,Petroleum oils and oils obtained from bituminous minerals; crude
AUS,2023,2709,7678708458.698,Australia,Petroleum oils and oils obtained from bituminous minerals; crude
AZE,2019,2709,14814132708.69,Azerbaijan,Petroleum oils and oils obtained from bituminous minerals; crude
AZE,2020,2709,9363570683.55,Azerbaijan,Petroleum oils and oils obtained from bituminous minerals; crude
AZE,2021,2709,13218921496.59,Azerbaijan,Petroleum oils and oils obtained from bituminous minerals; crude
AZE,2022,2709,19483623559.45,Azerbaijan,Petroleum oils and oils obtained from bituminous minerals; crude
AZE,2023,2709,16240829627.26,Azerbaijan,Petroleum oils and oils obtained from bituminous minerals; crude
BDI,2022,2709,13.39,Burundi,Petroleum oils and oils obtained from bituminous minerals; crude
BEL,2019,2709,49359636.449,Belgium,Petroleum oils and oils obtained from bituminous minerals; crude
BEL,2020,2709,35232873.699,Belgium,Petroleum oils and oils obtained from bituminous minerals; crude
BEL,2021,2709,39597033.223,Belgium,Petroleum oils and oils obtained from bituminous minerals; crude
BEL,2022,2709,10525572.251,Belgium,Petroleum oils and oils obtained from bituminous minerals; crude
BEL,2023,2709,7246410.631,Belgium,Petroleum oils and oils obtained from bituminous minerals; crude
BGR,2019,2709,50416.589,Bulgaria,Petroleum oils and oils obtained from bituminous minerals; crude
BHS,2022,2709,1500.0,Bahamas,Petroleum oils and oils obtained from bituminous minerals; crude
BIH,2019,2709,342809.16,Bosnia Herzegovina,Petroleum oils and oils obtained from bituminous minerals; crude
BIH,2020,2709,485551.64,Bosnia Herzegovina,Petroleum oils and oils obtained from bituminous minerals; crude
BIH,2021,2709,5641592.16,Bosnia Herzegovina,Petroleum oils and oils obtained from bituminous minerals; crude
BIH,2022,2709,5386613.12,Bosnia Herzegovina,Petroleum oils and oils obtained from bituminous minerals; crude
BIH,2023,2709,313105.236,Bosnia Herzegovina,Petroleum oils and oils obtained from bituminous minerals; crude
BLR,2019,2709,726767000.0,Belarus,Petroleum oils and oils obtained from bituminous minerals; crude
BLR,2020,2709,343163600.0,Belarus,Petroleum oils and oils obtained from bituminous minerals; crude
BLZ,2019,2709,10162548.902,Belize,Petroleum oils and oils obtained from bituminous minerals; crude
BLZ,2020,2709,2445222.265,Belize,Petroleum oils and oils obtained from bituminous minerals; crude
BLZ,2021,2709,4302535.339,Belize,Petroleum oils and oils obtained from bituminous minerals; crude
BLZ,2022,2709,1173230.106,Belize,Petroleum oils and oils obtained from bituminous minerals; crude
BLZ,2023,2709,717161.595,Belize,Petroleum oils and oils obtained from bituminous minerals; crude
BOL,2019,2709,21483108.65,Bolivia (Plurinational State of),Petroleum oils and oils obtained from bituminous minerals; crude
BOL,2020,2709,10517484.71,Bolivia (Plurinational State of),Petroleum oils and oils obtained from bituminous minerals; crude
BOL,2021,2709,20283766.05,Bolivia (Plurinational State of),Petroleum oils and oils obtained from bituminous minerals; crude
BOL,2022,2709,395801.35,Bolivia (Plurinational State of),Petroleum oils and oils obtained from bituminous minerals; crude
BOL,2023,2709,11437216.17,Bolivia (Plurinational State of),Petroleum oils and oils obtained from bituminous minerals; crude
BRA,2019,2709,24199539301.0,Brazil,Petroleum oils and oils obtained from bituminous minerals; crude
BRA,2020,2709,19613857928.0,Brazil,Petroleum oils and oils obtained from bituminous minerals; crude
BRA,2021,2709,30608981810.0,Brazil,Petroleum oils and oils obtained from bituminous minerals; crude
BRA,2022,2709,42688098560.0,Brazil,Petroleum oils and oils obtained from bituminous minerals; crude
BRA,2023,2709,42611148597.0,Brazil,Petroleum oils and oils obtained from bituminous minerals; crude
BRB,2019,2709,15100491.0,Barbados,Petroleum oils and oils obtained from bituminous minerals; crude
BRB,2020,2709,9292123.0,Barbados,Petroleum oils and oils obtained from bituminous minerals; crude
BRB,2021,2709,5988363.0,Barbados,Petroleum oils and oils obtained from bituminous minerals; crude
BRB,2022,2709,13355328.5,Barbados,Petroleum oils and oils obtained from bituminous minerals; crude
BRB,2023,2709,10392488.0,Barbados,Petroleum oils and oils obtained from bituminous minerals; crude
BRN,2019,2709,2853973896.33,Brunei Darussalam,Petroleum oils and oils obtained from bituminous minerals; crude
BRN,2020,2709,1273034900.1,Brunei Darussalam,Petroleum oils and oils obtained from bituminous minerals; crude
BRN,2021,2709,2155680594.54,Brunei Darussalam,Petroleum oils and oils obtained from bituminous minerals; crude
BRN,2022,2709,2170259187.208,Brunei Darussalam,Petroleum oils and oils obtained from bituminous minerals; crude
BRN,2023,2709,1814183056.427,Brunei Darussalam,Petroleum oils and oils obtained from bituminous minerals; crude
BWA,2019,2709,936.767,Botswana,Petroleum oils and oils obtained from bituminous minerals; crude
BWA,2020,2709,4516.952,Botswana,Petroleum oils and oils obtained from bituminous minerals; crude
BWA,2021,2709,2054.599,Botswana,Petroleum oils and oils obtained from bituminous minerals; crude
BWA,2022,2709,2136.5,Botswana,Petroleum oils and oils obtained from bituminous minerals; crude
BWA,2023,2709,2553.256,Botswana,Petroleum oils and oils obtained from bituminous minerals; crude
CAN,2019,2709,68104060281.267,Canada,Petroleum oils and oils obtained from bituminous minerals; crude
CAN,2020,2709,47574336106.392,Canada,Petroleum oils and oils obtained from bituminous minerals; crude
