reporterISO,period,cmdCode,primaryValue,reporterDesc,cmdDesc
AGO,2022,2716,1812.873,Angola,Electrical energy
AND,2022,2716,75732182.926,Andorra,Electrical energy
ARE,2022,2716,26518.965,United Arab Emirates,Electrical energy
ARG,2022,2716,773251495.0,Argentina,Electrical energy
ARM,2022,2716,6849124.0,Armenia,Electrical energy
AUT,2022,2716,4816652387.296,Austria,Electrical energy
AZE,2022,2716,5129966.04,Azerbaijan,Electrical energy
BEL,2022,2716,4067894689.986,Belgium,Electrical energy
BEN,2022,2716,80566395.438,Benin,Electrical energy
BFA,2022,2716,136610843.587,Burkina Faso,Electrical energy
BGR,2022,2716,324403648.711,Bulgaria,Electrical energy
BIH,2022,2716,206897565.84,Bosnia Herzegovina,Electrical energy
BRA,2022,2716,1453746542.0,Brazil,Electrical energy
BWA,2022,2716,101021710.646,Botswana,Electrical energy
CAN,2022,2716,736727559.747,Canada,Electrical energy
CHE,2022,2716,8743057188.708,Switzerland,Electrical energy
CHN,2022,2716,289104601.0,China,Electrical energy
CIV,2022,2716,175480.352,Côte d'Ivoire,Electrical energy
CMR,2022,2716,3939.079,Cameroon,Electrical energy
COD,2022,2716,515879.219,Dem. Rep. of the Congo,Electrical energy
COL,2022,2716,12073133.57,Colombia,Electrical energy
CZE,2022,2716,1573456297.0,Czechia,Electrical energy
DEU,2022,2716,13217209751.641,Germany,Electrical energy
DJI,2022,2716,41413012.206,Djibouti,Electrical energy
DNK,2022,2716,3232829318.803,Denmark,Electrical energy
ECU,2022,2716,27689929.0,Ecuador,Electrical energy
ESP,2022,2716,3569564333.172,Spain,Electrical energy
EST,2022,2716,1478502107.64,Estonia,Electrical energy
ETH,2022,2716,5512.802,Ethiopia,Electrical energy
FIN,2022,2716,3164417904.253,Finland,Electrical energy
FRA,2022,2716,16858575775.529,France,Electrical energy
GBR,2022,2716,3793967857.057,United Kingdom,Electrical energy
GEO,2022,2716,41779313.037,Georgia,Electrical energy
GHA,2022,2716,5187.376,Ghana,Electrical energy
GRC,2022,2716,988611764.005,Greece,Electrical energy
GTM,2022,2716,128152976.0,Guatemala,Electrical energy
HKG,2022,2716,882139337.755,"China, Hong Kong SAR",Electrical energy
HRV,2022,2716,2246462652.0,Croatia,Electrical energy
HUN,2022,2716,7450503551.0,Hungary,Electrical energy
IDN,2022,2716,56174549.0,Indonesia,Electrical energy
IND,2022,2716,9528413.209,India,Electrical energy
IRL,2022,2716,381478336.023,Ireland,Electrical energy
ITA,2022,2716,15065356438.228,Italy,Electrical energy
JOR,2022,2716,27373909.777,Jordan,Electrical energy
KAZ,2022,2716,143267058.9,Kazakhstan,Electrical energy
KEN,2022,2716,32197889.872,Kenya,Electrical energy
KGZ,2022,2716,73526038.0,Kyrgyzstan,Electrical energy
KHM,2022,2716,332591657.11,Cambodia,Electrical energy
LAO,2022,2716,43543468.034,Lao People's Dem. Rep.,Electrical energy
LSO,2022,2716,42863332.618,Lesotho,Electrical energy
LTU,2022,2716,2527625289.0,Lithuania,Electrical energy
LVA,2022,2716,1349480202.915,Latvia,Electrical energy
MAC,2022,2716,469333206.695,"China, Macao SAR",Electrical energy
MAR,2022,2716,385906065.299,Morocco,Electrical energy
MDA,2022,2716,152528533.0,Rep. of Moldova,Electrical energy
MEX,2022,2716,264975866.0,Mexico,Electrical energy
MKD,2022,2716,620042560.65,North Macedonia,Electrical energy
