Country Code,Year,Variable,Value
AFG,1995,Economic Complexity,-0.601
AFG,1996,Economic Complexity,-0.59
AFG,1997,Economic Complexity,-0.255
AFG,1998,Economic Complexity,-0.725
AFG,1999,Economic Complexity,-0.527
AFG,2000,Economic Complexity,-0.453
AFG,2001,Economic Complexity,-0.119
AFG,2002,Economic Complexity,-0.301
AFG,2003,Economic Complexity,-0.199
AFG,2004,Economic Complexity,-0.322
AFG,2005,Economic Complexity,0.02
AFG,2006,Economic Complexity,-0.657
AFG,2007,Economic Complexity,-0.738
AFG,2008,Economic Complexity,-0.092
AFG,2009,Economic Complexity,0.373
AFG,2010,Economic Complexity,-0.162
AFG,2011,Economic Complexity,-0.918
AFG,2012,Economic Complexity,-0.771
AFG,2013,Economic Complexity,-0.795
AFG,2014,Economic Complexity,-1.027
AFG,2015,Economic Complexity,-1.377
AFG,2016,Economic Complexity,-1.526
AFG,2017,Economic Complexity,-1.418
AFG,2018,Economic Complexity,-1.325
AFG,2019,Economic Complexity,-1.225
AFG,2020,Economic Complexity,-1.154
AFG,2021,Economic Complexity,-1.327
AFG,2022,Economic Complexity,-1.364
AFG,2023,Economic Complexity,-1.277
ALB,1995,Economic Complexity,-0.456
ALB,1996,Economic Complexity,-0.226
ALB,1997,Economic Complexity,-0.351
ALB,1998,Economic Complexity,-0.355
ALB,1999,Economic Complexity,-0.3
ALB,2000,Economic Complexity,-0.262
ALB,2001,Economic Complexity,-0.295
ALB,2002,Economic Complexity,-0.194
ALB,2003,Economic Complexity,-0.101
ALB,2004,Economic Complexity,-0.122
ALB,2005,Economic Complexity,-0.134
ALB,2006,Economic Complexity,-0.279
ALB,2007,Economic Complexity,-0.296
ALB,2008,Economic Complexity,0.351
ALB,2009,Economic Complexity,0.357
ALB,2010,Economic Complexity,-0.374
ALB,2011,Economic Complexity,-0.465
ALB,2012,Economic Complexity,-0.3
ALB,2013,Economic Complexity,-0.264
ALB,2014,Economic Complexity,-0.402
ALB,2015,Economic Complexity,-0.505
ALB,2016,Economic Complexity,-0.428
ALB,2017,Economic Complexity,-0.331
ALB,2018,Economic Complexity,-0.257
ALB,2019,Economic Complexity,-0.292
ALB,2020,Economic Complexity,-0.24
ALB,2021,Economic Complexity,-0.22
ALB,2022,Economic Complexity,-0.279
ALB,2023,Economic Complexity,-0.156
DZA,1995,Economic Complexity,-0.102
DZA,1996,Economic Complexity,-0.244
DZA,1997,Economic Complexity,-0.327
DZA,1998,Economic Complexity,-0.203
DZA,1999,Economic Complexity,-0.085
DZA,2000,Economic Complexity,-0.416
DZA,2001,Economic Complexity,-0.426
DZA,2002,Economic Complexity,-0.389
DZA,2003,Economic Complexity,-0.732
DZA,2004,Economic Complexity,-0.509
DZA,2005,Economic Complexity,-0.367
DZA,2006,Economic Complexity,-0.574
DZA,2007,Economic Complexity,-0.635
DZA,2008,Economic Complexity,-1.006
DZA,2009,Economic Complexity,-0.966
DZA,2010,Economic Complexity,-1.069
DZA,2011,Economic Complexity,-1.384
