Country Code,Year,Value,Variable
AFG,1995,33.241832833000004,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AFG,1996,30.134078639000002,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AFG,1997,29.871859794000002,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AFG,1998,29.643406763999998,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AFG,1999,29.348910829,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AFG,2000,29.030852654,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AFG,2001,32.31710366,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AFG,2002,29.814745430000002,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AFG,2003,28.070368293999998,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AFG,2004,32.540815327000004,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AFG,2005,31.881286303000003,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AFG,2006,28.441466591,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AFG,2007,23.707413067,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AFG,2008,22.958899617999997,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AFG,2009,29.243660961,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AFG,2010,24.221821826,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AFG,2011,20.435032131,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AFG,2012,19.752050178,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AFG,2013,17.295635917,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AFG,2014,12.632657597000001,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AFG,2015,13.281270104,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AFG,2016,12.979574007,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AFG,2017,14.877510041,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AFG,2018,15.306010416,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AFG,2019,12.102624966,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AGO,1995,51.16142144,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AGO,1996,67.19577537,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AGO,1997,48.507818129,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AGO,1998,64.03852148,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AGO,1999,50.738730520000004,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AGO,2000,27.660103246,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AGO,2001,24.626983012,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AGO,2002,23.095996398,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AGO,2003,25.316554327674126,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AGO,2004,26.97387142917635,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AGO,2005,26.288933768749636,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AGO,2006,24.51880221036985,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AGO,2007,24.09010920380675,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AGO,2008,27.125568717141498,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AGO,2009,29.397429393052676,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AGO,2010,25.55363434581107,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AGO,2011,27.225458317637788,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AGO,2012,26.913394742999998,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AGO,2013,26.066226656136564,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AGO,2014,25.672400539999998,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AGO,2015,24.834887531,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AGO,2016,23.52759731,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AGO,2017,18.65155829709784,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AGO,2018,17.942380474184223,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
AGO,2019,17.659968420123565,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ALB,1995,19.728811835,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ALB,1996,21.624145714999997,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ALB,1997,15.448040504,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ALB,1998,15.139650608,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ALB,1999,17.388184913,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ALB,2000,22.455797513,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ALB,2001,25.445804571,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ALB,2002,25.652436279797985,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ALB,2003,26.213910726151312,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ALB,2004,27.76316827440219,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ALB,2005,28.730081437000003,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ALB,2006,29.122644129,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ALB,2007,28.660130032,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ALB,2008,27.789556226000002,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ALB,2009,27.523347419,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ALB,2010,24.008815210999998,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ALB,2011,24.768859079,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ALB,2012,24.49726374,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ALB,2013,23.820021833,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ALB,2014,22.123770475,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ALB,2015,22.653028085000003,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ALB,2016,22.36886886,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ALB,2017,21.16189214,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ALB,2018,20.687338353,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ALB,2019,19.435808295999998,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARE,1995,25.266877028,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARE,1996,25.063350110000002,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARE,1997,24.553663659999998,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARE,1998,24.61740315,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARE,1999,24.36627139,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARE,2000,23.038525341,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARE,2001,23.015062540000002,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARE,2002,23.772338239,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARE,2003,23.499255721,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARE,2004,22.006933437999997,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARE,2005,24.152573288,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARE,2006,25.262629368,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARE,2007,35.08173963,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARE,2008,34.12191093,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARE,2009,39.27065186,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARE,2010,34.9411042,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARE,2011,32.632846539999996,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARE,2012,31.56225936,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARE,2013,28.33546102,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARE,2014,30.12903332,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARE,2015,29.90255983,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARE,2016,31.578700410000003,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARE,2017,25.51952067,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARE,2018,26.128372282,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARE,2019,25.702859869999997,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARG,1995,10.062543234,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARG,1996,10.403933273,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARG,1997,11.154520175,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARG,1998,11.264175897,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARG,1999,10.357259017,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARG,2000,9.744150336999999,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARG,2001,8.681920249,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARG,2002,6.8957512770000005,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARG,2003,7.8408273909999995,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARG,2004,9.127924919,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARG,2005,9.54994834120245,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARG,2006,10.109653538214731,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARG,2007,11.183389452,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARG,2008,11.68345968,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARG,2009,9.650198426000001,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARG,2010,11.024538149,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARG,2011,12.167212731000001,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARG,2012,11.40963460570047,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARG,2013,11.401183090456074,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARG,2014,10.903536297855606,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARG,2015,10.970256230930229,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARG,2016,10.548893003805489,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARG,2017,11.532247233593425,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARG,2018,11.173904263971169,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARG,2019,9.67256989,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARM,1995,7.81296699,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARM,1996,8.137578793,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARM,1997,8.041388828999999,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARM,1998,8.393735197,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARM,1999,8.175497994,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARM,2000,8.972661946999999,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARM,2001,8.895928726000001,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARM,2002,10.215377811,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARM,2003,11.358976929,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARM,2004,12.185534345,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARM,2005,13.739355036,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARM,2006,16.368184416000002,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARM,2007,16.921329095,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARM,2008,18.384797852,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARM,2009,16.348581697,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARM,2010,15.548542902,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARM,2011,13.105929553,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARM,2012,12.091173135,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARM,2013,10.139175618155553,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARM,2014,9.57074403441894,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARM,2015,9.504859578167686,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARM,2016,8.604274546,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARM,2017,8.749603544,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARM,2018,8.628445125999999,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ARM,2019,8.610367588,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ATG,1995,26.796489053000002,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ATG,1996,27.883855744,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ATG,1997,28.601172688000002,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ATG,1998,30.488036133999998,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ATG,1999,31.904899745999998,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ATG,2000,31.969490829,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ATG,2001,22.598027821000002,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ATG,2002,24.405455701,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ATG,2003,25.603508304,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
ATG,2004,25.927953723999998,"Gross fixed capital formation, all, Constant prices, Percent of GDP"
