Year,Country Code,Value,Variable
1980,AFG,,"Gross domestic product per capita, constant prices"
1981,AFG,,"Gross domestic product per capita, constant prices"
1982,AFG,,"Gross domestic product per capita, constant prices"
1983,AFG,,"Gross domestic product per capita, constant prices"
1984,AFG,,"Gross domestic product per capita, constant prices"
1985,AFG,,"Gross domestic product per capita, constant prices"
1986,AFG,,"Gross domestic product per capita, constant prices"
1987,AFG,,"Gross domestic product per capita, constant prices"
1988,AFG,,"Gross domestic product per capita, constant prices"
1989,AFG,,"Gross domestic product per capita, constant prices"
1990,AFG,,"Gross domestic product per capita, constant prices"
1991,AFG,,"Gross domestic product per capita, constant prices"
1992,AFG,,"Gross domestic product per capita, constant prices"
1993,AFG,,"Gross domestic product per capita, constant prices"
1994,AFG,,"Gross domestic product per capita, constant prices"
1995,AFG,,"Gross domestic product per capita, constant prices"
1996,AFG,,"Gross domestic product per capita, constant prices"
1997,AFG,,"Gross domestic product per capita, constant prices"
1998,AFG,,"Gross domestic product per capita, constant prices"
1999,AFG,,"Gross domestic product per capita, constant prices"
2000,AFG,,"Gross domestic product per capita, constant prices"
2001,AFG,,"Gross domestic product per capita, constant prices"
2002,AFG,1681.504,"Gross domestic product per capita, constant prices"
2003,AFG,1694.909,"Gross domestic product per capita, constant prices"
2004,AFG,1640.471,"Gross domestic product per capita, constant prices"
2005,AFG,1770.083,"Gross domestic product per capita, constant prices"
2006,AFG,1789.348,"Gross domestic product per capita, constant prices"
2007,AFG,1992.0,"Gross domestic product per capita, constant prices"
2008,AFG,2027.933,"Gross domestic product per capita, constant prices"
2009,AFG,2359.83,"Gross domestic product per capita, constant prices"
2010,AFG,2485.945,"Gross domestic product per capita, constant prices"
2011,AFG,2551.132,"Gross domestic product per capita, constant prices"
2012,AFG,2791.306,"Gross domestic product per capita, constant prices"
2013,AFG,2849.408,"Gross domestic product per capita, constant prices"
2014,AFG,2821.16,"Gross domestic product per capita, constant prices"
2015,AFG,2761.468,"Gross domestic product per capita, constant prices"
2016,AFG,2749.329,"Gross domestic product per capita, constant prices"
2017,AFG,2742.357,"Gross domestic product per capita, constant prices"
2018,AFG,2696.05,"Gross domestic product per capita, constant prices"
2019,AFG,2721.2,"Gross domestic product per capita, constant prices"
2020,AFG,2575.216,"Gross domestic product per capita, constant prices"
2021,AFG,2138.87,"Gross domestic product per capita, constant prices"
2022,AFG,1954.58,"Gross domestic product per capita, constant prices"
2023,AFG,1950.136,"Gross domestic product per capita, constant prices"
2024,AFG,,"Gross domestic product per capita, constant prices"
2025,AFG,,"Gross domestic product per capita, constant prices"
2026,AFG,,"Gross domestic product per capita, constant prices"
2027,AFG,,"Gross domestic product per capita, constant prices"
2028,AFG,,"Gross domestic product per capita, constant prices"
