Country Code,Year,Variable,Value
ABW,1995,hc,
ABW,1996,hc,
ABW,1997,hc,
ABW,1998,hc,
ABW,1999,hc,
ABW,2000,hc,
ABW,2001,hc,
ABW,2002,hc,
ABW,2003,hc,
ABW,2004,hc,
ABW,2005,hc,
ABW,2006,hc,
ABW,2007,hc,
ABW,2008,hc,
ABW,2009,hc,
ABW,2010,hc,
ABW,2011,hc,
ABW,2012,hc,
ABW,2013,hc,
ABW,2014,hc,
ABW,2015,hc,
ABW,2016,hc,
ABW,2017,hc,
ABW,2018,hc,
ABW,2019,hc,
ABW,2020,hc,
ABW,2021,hc,
ABW,2022,hc,
ABW,2023,hc,
AGO,1995,hc,1.21491169929504
AGO,1996,hc,1.23089158535004
AGO,1997,hc,1.24708163738251
AGO,1998,hc,1.26348471641541
AGO,1999,hc,1.2801034450531
AGO,2000,hc,1.29694080352783
AGO,2001,hc,1.30848634243011
AGO,2002,hc,1.32013463973999
AGO,2003,hc,1.33188664913178
AGO,2004,hc,1.34374332427979
AGO,2005,hc,1.35570561885834
AGO,2006,hc,1.36777424812317
AGO,2007,hc,1.37995040416718
AGO,2008,hc,1.39223492145538
AGO,2009,hc,1.40462875366211
AGO,2010,hc,1.41713297367096
AGO,2011,hc,1.42419624328613
AGO,2012,hc,1.43129467964172
AGO,2013,hc,1.43842852115631
AGO,2014,hc,1.44559788703918
AGO,2015,hc,1.45280301570892
AGO,2016,hc,1.46004402637482
AGO,2017,hc,1.46732115745544
AGO,2018,hc,1.4746345281601
AGO,2019,hc,1.48198437690735
AGO,2020,hc,1.48937082290649
AGO,2021,hc,1.50713586807251
AGO,2022,hc,1.52565121650696
AGO,2023,hc,1.54495549201965
AIA,1995,hc,
AIA,1996,hc,
AIA,1997,hc,
AIA,1998,hc,
AIA,1999,hc,
AIA,2000,hc,
AIA,2001,hc,
AIA,2002,hc,
AIA,2003,hc,
AIA,2004,hc,
AIA,2005,hc,
AIA,2006,hc,
AIA,2007,hc,
AIA,2008,hc,
AIA,2009,hc,
AIA,2010,hc,
AIA,2011,hc,
AIA,2012,hc,
AIA,2013,hc,
AIA,2014,hc,
AIA,2015,hc,
AIA,2016,hc,
AIA,2017,hc,
AIA,2018,hc,
AIA,2019,hc,
AIA,2020,hc,
AIA,2021,hc,
AIA,2022,hc,
AIA,2023,hc,
ALB,1995,hc,2.51403188705444
ALB,1996,hc,2.58118939399719
ALB,1997,hc,2.6345043182373
ALB,1998,hc,2.68892025947571
ALB,1999,hc,2.744460105896
ALB,2000,hc,2.8011474609375
ALB,2001,hc,2.8150897026062
ALB,2002,hc,2.8291015625
