Country Code,Year,Variable,Value
MEX,1995.0,v2x_polyarchy,0.491
MEX,1996.0,v2x_polyarchy,0.512
MEX,1997.0,v2x_polyarchy,0.555
MEX,1998.0,v2x_polyarchy,0.6
MEX,1999.0,v2x_polyarchy,0.605
MEX,2000.0,v2x_polyarchy,0.671
MEX,2001.0,v2x_polyarchy,0.681
MEX,2002.0,v2x_polyarchy,0.693
MEX,2003.0,v2x_polyarchy,0.702
MEX,2004.0,v2x_polyarchy,0.711
MEX,2005.0,v2x_polyarchy,0.711
MEX,2006.0,v2x_polyarchy,0.674
MEX,2007.0,v2x_polyarchy,0.639
MEX,2008.0,v2x_polyarchy,0.649
MEX,2009.0,v2x_polyarchy,0.65
MEX,2010.0,v2x_polyarchy,0.662
MEX,2011.0,v2x_polyarchy,0.662
MEX,2012.0,v2x_polyarchy,0.65
MEX,2013.0,v2x_polyarchy,0.623
MEX,2014.0,v2x_polyarchy,0.621
MEX,2015.0,v2x_polyarchy,0.643
MEX,2016.0,v2x_polyarchy,0.643
MEX,2017.0,v2x_polyarchy,0.638
MEX,2018.0,v2x_polyarchy,0.675
MEX,2019.0,v2x_polyarchy,0.684
MEX,2020.0,v2x_polyarchy,0.664
MEX,2021.0,v2x_polyarchy,0.624
MEX,2022.0,v2x_polyarchy,0.584
MEX,2023.0,v2x_polyarchy,0.548
MEX,2024.0,v2x_polyarchy,0.496
MEX,2025.0,v2x_polyarchy,0.469
SUR,1995.0,v2x_polyarchy,0.751
SUR,1996.0,v2x_polyarchy,0.764
SUR,1997.0,v2x_polyarchy,0.769
SUR,1998.0,v2x_polyarchy,0.769
SUR,1999.0,v2x_polyarchy,0.769
SUR,2000.0,v2x_polyarchy,0.78
SUR,2001.0,v2x_polyarchy,0.779
SUR,2002.0,v2x_polyarchy,0.779
SUR,2003.0,v2x_polyarchy,0.779
SUR,2004.0,v2x_polyarchy,0.779
SUR,2005.0,v2x_polyarchy,0.767
SUR,2006.0,v2x_polyarchy,0.76
SUR,2007.0,v2x_polyarchy,0.759
SUR,2008.0,v2x_polyarchy,0.759
SUR,2009.0,v2x_polyarchy,0.759
SUR,2010.0,v2x_polyarchy,0.752
SUR,2011.0,v2x_polyarchy,0.747
SUR,2012.0,v2x_polyarchy,0.747
