feature,lasso,ridge,en,rf,abs_avg,rf_norm
wide_resource_share,-0.0012793657763291594,-0.013273772765223003,-0.013685717737428955,0.03900023371702267,0.009412952092993705,0.2642001213940464
hydrocarbon_share,0.0,0.06868953946626452,0.0,0.030084381057297126,0.022896513155421506,0.20380126911735427
ores_share,-0.06168444516716491,-0.05716672188775155,-0.06390942742867944,0.03538860482494649,0.06092019816119864,0.2397337861756426
base_metals_share,0.0,-0.021932551848548698,-0.01376035519985122,0.05501726016620323,0.011897635682799973,0.3727046078786523
precious_share,0.0,0.0020304817982004673,-0.008466601181527898,0.03322891127712009,0.0034990276599094552,0.22510332776224531
Resource_HHI_trade,-0.0006924339480858174,-0.03352793322298165,-0.03645549436511208,0.03917038196105726,0.02355862051205985,0.26535276030013843
post2019_x_hydrocarbon_share,0.0,-0.015169742120418545,0.0,0.0017438379688595746,0.005056580706806182,0.011813319027961433
post2019_x_ores_share,0.0,-0.014308460142714002,-0.006564563252206913,0.00225807847905503,0.006957674464973639,0.015296949567336252
post2019_x_base_metals_share,-0.04134034651888883,-0.06315869435736829,-0.04810993513020071,0.0030701702756123594,0.05086965866881927,0.02079832047681128
log_Pop,0.08736796140369095,0.18065600779135735,0.11307521415784168,0.06837730729189537,0.12703306111763,0.46320986223299737
log_HCI,0.30393711819895597,0.3054086399027617,0.23600821342874934,0.14761625964151248,0.28178465717682233,1.0
log_GFCF,0.013020708120627101,0.034403865767325195,0.01776246637121272,0.024911325487863633,0.02172901341972167,0.16875732760307724
Trade (% of GDP),0.0,0.07675111815199487,0.034993378910020176,0.026287606466538455,0.037248165687338346,0.17808069741353807
Domestic credit to private sector (% of GDP),0.07690696307640892,0.042207676234446836,0.07273279028188756,0.08286382369039635,0.0639491431975811,0.5613461815902392
Agriculture,-0.064310350375348,-0.0598453327185525,-0.11029556928030519,0.1359234901691177,0.07815041745806857,0.9207894204826027
Industry,0.0,-0.042448721875119,0.0,0.026406213468885997,0.014149573958373,0.1788841793784353
Manufacturing,0.21668458276336322,0.21917813097734912,0.17069162735221355,0.08760265587519883,0.20218478036430865,0.5934485542984407
Services,0.06007706920633138,0.08611029598542438,0.05625125542439291,0.04861135561468743,0.0674795402053829,0.32930895101082075
Urban population (% of total population),0.0,0.0,0.0,0.0,0.0,0.0
Political stability — estimate,0.0,0.04544160166117093,0.018159327548743102,0.018749969440258293,0.02120030973663801,0.12701832092069515
Rule of law index,0.04059016161756873,0.05946089439906969,0.047897991145031606,0.02497740735348955,0.049316349053890006,0.1692049874055028
Political corruption index,-0.059073374835281724,-0.06830478889830963,-0.05022986038365425,0.03399090674366145,0.059202674705748526,0.23026533002671046
Inflation_roll5,0.0,0.004423765192552553,0.0,0.014614199853966147,0.0014745883975175178,0.09900128813354893
RealRate_roll5,-0.0008833128213696223,-0.038642588108260614,-0.023552481966809105,0.02010561917535452,0.02102612763214645,0.1362019280544109
