imputation,model,cv_r2_mean,cv_r2_std,oof_r2,oof_mae,oof_rmse,n_train
0,Lasso,0.9634039042298224,0.007361122647189859,0.958090045815635,0.10209392309916863,0.16691488909544455,1210
0,Ridge,0.9625210166932927,0.006796084768179575,0.9583411332862714,0.10272726617821624,0.1664141345710328,1210
0,RandomForest,0.9542658513416631,0.015529422236996198,0.9513693333424048,0.11153357208912051,0.17980079049329095,1210
0,XGBoost,0.9414982992260269,0.023724588411400394,0.9419349701463943,0.12351182883693566,0.1964688992831629,1210
1,Lasso,0.9633958711773858,0.007400427079187746,0.9580599691259517,0.10203580189301448,0.16697477161080523,1210
1,Ridge,0.9624471732971571,0.0067711376495973976,0.9582968335036688,0.102842181239497,0.16650259294426933,1210
1,RandomForest,0.9542063363385813,0.01616893508987969,0.9513068473173564,0.11142422517103265,0.17991626731876684,1210
1,XGBoost,0.9419066736795656,0.02532373064518581,0.9434078222507333,0.12158487990207158,0.1939611223396734,1210
2,Lasso,0.9634269926949888,0.007377968710607401,0.9580803971525538,0.10198679653364677,0.166934101868114,1210
2,Ridge,0.9625506721982401,0.006735386593721561,0.9583089285575251,0.10265003462547873,0.166478446050428,1210
2,RandomForest,0.9543003143692437,0.01552839130659869,0.9515438205649653,0.11125268116070984,0.17947793729287392,1210
2,XGBoost,0.9409379010637797,0.02493518963195881,0.9425356133769185,0.12218806787892744,0.19545008915986645,1210
3,Lasso,0.9633746392311819,0.007380870326152238,0.9580715417285415,0.10205697791315728,0.16695173316816864,1210
3,Ridge,0.962425551946356,0.0067760994256405105,0.9583055392700327,0.10287534141615781,0.1664852128691776,1210
3,RandomForest,0.9542077967320749,0.015672314967049954,0.9515177383998598,0.11126736242031628,0.17952623395484593,1210
3,XGBoost,0.9427089258770721,0.02361753926367951,0.9433433210323315,0.12111472830310972,0.1940716249431205,1210
4,Lasso,0.9634233879069714,0.007371744929921805,0.9580932311518084,0.10204177342259585,0.16690854585137083,1210
4,Ridge,0.9625125751221756,0.006746119385353643,0.9583691559088654,0.1027695297021605,0.16635815435189147,1210
4,RandomForest,0.9543922578015269,0.016003674892673,0.9513518129559391,0.11135484280553465,0.17983317639165106,1210
4,XGBoost,0.9420260918622333,0.024939895441438886,0.9428789164318244,0.12293157770964905,0.1948653867724706,1210
