feature,shap_mean,shap_std,shap_sd_rel
L1_ECI,0.6544866683555997,8.602153734070102e-05,0.00013143359549629103
wide_resource_share,0.005905007014331778,4.7684062286135105e-05,0.008075177797185588
log_GDPpc,0.00583040725112591,6.399206481218139e-05,0.010975554931308544
base_metals_share,0.004750133613498556,4.932795734067013e-05,0.010384519154430219
Industry,0.0036598849737583435,0.00012543475343825464,0.034272774037951634
Manufacturing,0.0035618893563707974,7.408535565654253e-05,0.02079939612107057
Agriculture,0.0034278527790262163,7.461142785246202e-05,0.021766165293716208
Services,0.0034174133055844885,5.140753588612272e-05,0.01504277676169543
log_HCI,0.0032721695234452647,4.6891291439016944e-05,0.014330293036503478
ores_share,0.003116065398439482,5.217986320690753e-05,0.016745378893283196
Domestic credit to private sector (% of GDP),0.0030491894873004356,0.00016476799689039507,0.054036476647931625
Trade (% of GDP),0.0029232574844710235,1.69701172508192e-05,0.005805187975772942
log_GFCF,0.00256607947747039,0.00012026111286772003,0.04686551810588909
precious_share,0.0025325575022073455,4.129203179932909e-05,0.01630441508995895
hydrocarbon_share,0.002493082019404405,4.592643727952995e-05,0.018421476994058845
Resource_HHI_trade,0.0022321030631351838,6.908621792893554e-05,0.030951038757820962
Political corruption index,0.0021455686614105813,3.3193849287955763e-05,0.015470814417091994
Inflation_roll5,0.0020611107034926835,2.9920347773903183e-05,0.0145165432200072
Political stability — estimate,0.001998277366622233,3.382141143846833e-05,0.01692519904964305
RealRate_roll5,0.0018466783547834886,2.8932932425391503e-05,0.015667468931856502
Rule of law index,0.001718373449573793,3.447986903484089e-05,0.02006529395019072
log_Pop,0.0016133542140931907,2.0942522229776096e-05,0.012980653746275807
post2019_x_refined_oil_share,0.0001323977282997063,7.2127250453522985e-06,0.05447359559727676
post2019_x_base_metals_share,0.00010297976090650777,7.468914076267991e-06,0.07252093810614955
post2019_x_ores_share,9.38793365057423e-05,8.134739221028018e-06,0.08664177982054964
post2019_x_gas_share,9.166699456025383e-05,1.1658019680497414e-05,0.12716406920206458
post2019_x_coal_share,7.76689003763842e-05,4.045227462193753e-06,0.05207627093835093
post2019_x_crude_oil_share,4.3292574206115156e-05,2.0633831197953943e-06,0.04765035699665183
Urban population (% of total population),0.0,0.0,0.0
