feature,shap_mean,shap_std,shap_sd_rel
L1_ECI,0.6491737783186108,0.00010850598341136037,0.00016714473899569437
log_GDPpc,0.00570094673000159,0.0001086847378639613,0.01906429797861858
precious_share_net,0.0037909649316261187,0.00010228546232199162,0.026981308018862792
ores_share_net,0.003533076606748964,3.653862115654494e-05,0.01034184134822742
Agriculture,0.003515939697235157,9.953832949640616e-05,0.02831051012324786
Services,0.003465808727856615,4.5234164994746545e-05,0.013051509194977705
Industry,0.00330973928743519,5.2927212465851245e-05,0.015991305645650853
Manufacturing,0.0033054328100271834,8.974741019129618e-05,0.02715140310975706
log_HCI,0.0032341985599481024,4.1462326895406066e-05,0.012819929861317103
Domestic credit to private sector (% of GDP),0.0032158373003815096,0.00021536893588321935,0.06697113257139704
wide_resource_share_net,0.0031762298798500314,2.7476056380335136e-05,0.008650497890490702
Trade (% of GDP),0.0029238209528149295,6.09937560416021e-05,0.020860903734150612
Resource_HHI_trade,0.002771599474046977,7.465241794722303e-05,0.026934681327315205
base_metals_share_net,0.0026487054944042596,4.0401578280226366e-05,0.015253272148548878
log_GFCF,0.0024789407968132254,7.295865737751232e-05,0.029431264820303463
Political corruption index,0.00217707332670011,3.160922938945717e-05,0.014519071916906604
Political stability — estimate,0.0020741084866322122,4.8035530192501905e-05,0.023159491852607784
hydrocarbon_share_net,0.002025593065268462,3.748616746183933e-05,0.018506176310940328
Inflation_roll5,0.002002921291572312,4.014716265323539e-05,0.02004420362403927
log_Pop,0.001853286653770697,3.21026719667626e-05,0.017321928414129953
Rule of law index,0.0017153534151962836,1.3246349897823516e-05,0.007722182821712901
RealRate_roll5,0.00163545410715833,6.310999441211878e-05,0.03858843134244895
post2019_x_gas_share,0.0002162156515170881,5.817752867498849e-06,0.026905932883911684
post2019_x_base_metals_share,0.00010493004120907237,5.675712563337986e-06,0.054085290018423444
post2019_x_refined_oil_share,0.00010275460401634757,5.573164243852082e-06,0.05423233317734106
post2019_x_ores_share,9.131224967468214e-05,4.641463267951663e-06,0.050825108716506424
post2019_x_coal_share,4.805370358738083e-05,3.2075878396076433e-06,0.06673617720232858
post2019_x_crude_oil_share,4.800045345946983e-05,4.2349684717270945e-06,0.08820929957060773
Urban population (% of total population),0.0,0.0,0.0
