feature,shap_mean,shap_std,count,shap_sd_rel
log_HCI,0.2510127817928473,0.001704267007040438,5,0.006789562646442898
Agriculture,0.2186235970100026,0.0027112122905805064,5,0.012401279311384038
Manufacturing,0.12084372561627396,0.0017337169698792725,5,0.01434676861407353
log_Pop,0.10295410114118528,0.0008159610122509786,5,0.007925483329042105
wide_resource_share,0.060788535740458206,0.0005162040981970584,5,0.00849180017102296
Domestic credit to private sector (% of GDP),0.046619770870890434,0.006746961683671531,5,0.14472318412625146
precious_share,0.04500604999116457,0.0007502305293207995,5,0.016669548415559288
ores_share,0.03161899871702861,0.0003360279702123089,5,0.010627407060532215
Political corruption index,0.03074366991370331,0.0006862835406949123,5,0.022322759209336185
hydrocarbon_share,0.02494387005105503,0.0002668143630424942,5,0.010696590484811678
base_metals_share,0.024153869158976396,0.0002842014570419766,5,0.011766291154904171
Trade (% of GDP),0.021858172730186972,0.0006542364738364879,5,0.029930977392861498
Resource_HHI_trade,0.021066883186406912,0.0003296751255058178,5,0.01564897486679642
Services,0.01910317437985181,0.0011952843434688096,5,0.06256993312742203
log_GFCF,0.018932608345413864,0.0007164128437789701,5,0.037840155498305134
Industry,0.014744567617797749,0.00026605472789112476,5,0.01804425431709355
Rule of law index,0.00951275264536928,0.0004389159337079975,5,0.046139739996462294
RealRate_roll5,0.00564280825379254,0.000911345484173377,5,0.16150566228453012
Inflation_roll5,0.005581675275459016,0.00015479679614015783,5,0.027733035065789977
Political stability — estimate,0.004753725646453476,0.000196223567606989,5,0.041277848618247855
post2019_x_ores_share,0.0012165667035101242,8.272379406866961e-05,5,0.06799774630522853
post2019_x_base_metals_share,0.00043100859790779834,5.7128585754138654e-05,5,0.1325462787319144
post2019_x_gas_share,0.00023066943238161182,1.5593962727921425e-05,5,0.06760307409142662
post2019_x_refined_oil_share,0.00019989090459451918,4.993395104717869e-05,5,0.2498060186803909
post2019_x_crude_oil_share,0.00013010009389510203,2.4833502681138767e-05,5,0.19087997508412016
post2019_x_coal_share,0.00011236476389844316,1.46743979588059e-05,5,0.13059608234543016
Urban population (% of total population),0.0,0.0,5,
