feature,shap_mean,shap_std,count,shap_sd_rel
log_HCI,0.23694112103429482,0.0017762032431000146,5,0.007496390813660948
Agriculture,0.21666288685175802,0.001658779414215938,5,0.007656038550575043
log_Pop,0.1169677815570734,0.0012461317796541973,5,0.010653632676158419
Manufacturing,0.10535226830316184,0.0022770061172885706,5,0.02161326143198222
precious_share_net,0.06952896667037264,0.0015325168945165934,5,0.022041416231339196
wide_resource_share_net,0.05597064480045046,0.0005606980692932511,5,0.010017716810165077
Domestic credit to private sector (% of GDP),0.04433902854926713,0.005864124288613012,5,0.13225649006037907
ores_share_net,0.039714583769699385,0.00025993358558450754,5,0.006545041164017594
Political corruption index,0.027140009535389992,0.0005481594115548716,5,0.020197465695068507
base_metals_share_net,0.02572031726234466,0.00042080512319555235,5,0.016360806085841874
Services,0.021303887676216403,0.0007821831399934502,5,0.03671551182964024
log_GFCF,0.016338445831991805,0.00030464494324488456,5,0.018645894865248976
Trade (% of GDP),0.015131419533886428,0.0005272322635389318,5,0.03484354275936957
hydrocarbon_share_net,0.013234722284252834,0.0005910791994691347,5,0.0446612468908715
Rule of law index,0.010571634578714068,0.000244276724402774,5,0.023106807427360754
Industry,0.010475869080641244,0.0005411775270672646,5,0.05165943969912025
RealRate_roll5,0.007016272066581062,0.001021796772685373,5,0.14563243314811783
Political stability — estimate,0.006648456597478408,0.00016600241790197675,5,0.02496856457857261
Inflation_roll5,0.006338896419333791,0.000273722871736326,5,0.04318147097363264
Resource_HHI_trade,0.004018433750977981,0.00027712771222771664,5,0.06896411124365831
post2019_x_refined_oil_share,0.0014092715136631124,7.462017790315487e-05,5,0.05294946870046001
post2019_x_base_metals_share,0.0007425617530088586,9.560242876407712e-05,5,0.12874677207208193
post2019_x_ores_share,0.0004243234022952187,8.809214375861417e-05,5,0.2076061402272716
post2019_x_crude_oil_share,0.00025473389635152153,4.460692290081697e-05,5,0.17511184628237064
post2019_x_coal_share,0.0002536950710307768,3.834327117866704e-05,5,0.15113920433249356
post2019_x_gas_share,0.00016500283430998932,2.8476948478694625e-05,5,0.17258460194202024
Urban population (% of total population),0.0,0.0,5,
