model,variable,beta,se,t,p,df,fmi,m_used,n_obs,n_ctry,r2_avg
M1_2wayFE_country_cluster,Agriculture,-0.0025327525809250317,0.005712717140818301,-0.4433534023290071,0.6575494966553155,2436.585394218553,0.04051717688253816,5,1861,73,0.15873484758733877
M1_2wayFE_country_cluster,Domestic credit to private sector (% of GDP),0.002217706353427483,0.001316231926395919,1.6848902605637017,0.09202392584029218,22005.504206732214,0.01348231077688557,5,1861,73,0.15873484758733877
M1_2wayFE_country_cluster,Government revenue,-0.008286952804056544,0.0038243390124249907,-2.1668980645107183,0.03024457833595262,120626.48364300643,0.005758490592443339,5,1861,73,0.15873484758733877
M1_2wayFE_country_cluster,Industry,-0.006081191581638128,0.004867546021348698,-1.2493341726953313,0.21192145913721538,772.1383836646069,0.07197512446918593,5,1861,73,0.15873484758733877
M1_2wayFE_country_cluster,"Inflation, consumer prices (annual %)",0.0005995251501099007,0.00047024952732271783,1.2749085650828629,0.20246706953220728,2360.703319130187,0.04116321527621465,5,1861,73,0.15873484758733877
M1_2wayFE_country_cluster,Manufacturing,0.014030026761341375,0.005163092851941157,2.7173686710024083,0.006583577535217211,34839.063433644,0.01071511311111324,5,1861,73,0.15873484758733877
M1_2wayFE_country_cluster,Political corruption index,-0.5587182601111084,0.2505019037447339,-2.2303952655004675,0.02572178358795174,387693.7934065538,0.003212074217549486,5,1861,73,0.15873484758733877
M1_2wayFE_country_cluster,Political stability — estimate,0.011551980565777152,0.027339325975436517,0.4225407962199297,0.6726310315861173,129430.28970292976,0.005559196612547189,5,1861,73,0.15873484758733877
M1_2wayFE_country_cluster,"Primary net lending, General government, Percent of GDP",0.009319604448236835,0.003064160314877839,3.0414872234282515,0.0023565693944946897,24946.847211404118,0.012662578830714559,5,1861,73,0.15873484758733877
M1_2wayFE_country_cluster,Real interest rate (%),0.0021623283729949026,0.001179439979522821,1.833351769091073,0.06696636723226113,1374.8824192704974,0.05393829526603929,5,1861,73,0.15873484758733877
