model,variable,beta,se,t,p,df,fmi,m_used,n_obs,n_ctry,r2_avg
M1_2wayFE_country_cluster,Agriculture,0.003247651571182878,0.004944050495745045,0.6568807446400227,0.5115384734037589,538.0240870202283,0.08622419254397898,5,1839,73,0.21437231368182186
M1_2wayFE_country_cluster,Domestic credit to private sector (% of GDP),0.0006209454707180533,0.0011262814691598746,0.5513235258866811,0.5814449302737463,3730.7825916676347,0.032743871315916995,5,1839,73,0.21437231368182186
M1_2wayFE_country_cluster,Government revenue,-0.008160505402870452,0.003028801192643313,-2.694302096384401,0.007060026952027121,18381.56322431244,0.014751588003588549,5,1839,73,0.21437231368182186
M1_2wayFE_country_cluster,Industry,-0.01036173874662132,0.004388233722119856,-2.361254983842519,0.019433334371185218,157.93197112409393,0.15914572161416296,5,1839,73,0.21437231368182186
M1_2wayFE_country_cluster,"Inflation, consumer prices (annual %)",0.0004291119358255012,0.00040027358529477416,1.0720465991016859,0.2840029884000268,851.0987802248825,0.06855513834961034,5,1839,73,0.21437231368182186
M1_2wayFE_country_cluster,Manufacturing,0.016092377899380096,0.004330198680773338,3.716313981349726,0.00020432265208514266,5083.90432907792,0.02804989959598719,5,1839,73,0.21437231368182186
M1_2wayFE_country_cluster,Political corruption index,-0.5010500379758284,0.23864956694329117,-2.0995220917157154,0.03577176016441608,291423.85244379187,0.0037048228636439463,5,1839,73,0.21437231368182186
M1_2wayFE_country_cluster,Political stability — estimate,-0.001760314081824937,0.022138760622349006,-0.07951276549997591,0.9366248984083243,132533.7995589048,0.0054937219030912875,5,1839,73,0.21437231368182186
M1_2wayFE_country_cluster,"Primary net lending, General government, Percent of GDP",0.00766849923325105,0.003043703533101173,2.5194632623886855,0.011767943792138524,10619.333915446037,0.01940802563486015,5,1839,73,0.21437231368182186
M1_2wayFE_country_cluster,Real interest rate (%),0.0025138432370337654,0.0012044865628152563,2.0870662360550867,0.03706340215817083,1394.1643865308727,0.053564000243955356,5,1839,73,0.21437231368182186
