,beta,beta,beta,beta,beta,p,p,p,p,p,se,se,se,se,se
model,M1_2wayFE_country_cluster,M2_2wayFE_twoway_cluster,M3_parsim_interact,M4_pooled_OLS,M5_observed_only,M1_2wayFE_country_cluster,M2_2wayFE_twoway_cluster,M3_parsim_interact,M4_pooled_OLS,M5_observed_only,M1_2wayFE_country_cluster,M2_2wayFE_twoway_cluster,M3_parsim_interact,M4_pooled_OLS,M5_observed_only
variable,,,,,,,,,,,,,,,
Agriculture,-0.0025327525809250317,-0.0025327525809250317,,0.004259139246373461,0.0008611835267800443,0.6575494966553155,0.6698446416209434,,0.6510966639943789,0.8891115311282143,0.005712717140818301,0.00593977498358165,,0.009417815442163366,0.006175269974240135
Domestic credit to private sector (% of GDP),0.002217706353427483,0.002217706353427483,,0.0011794127211766114,0.0009368050097168559,0.09202392584029218,0.09553074759435698,,0.38494418983165346,0.4865683867588251,0.001316231926395919,0.0013303686070089958,,0.001357466231247405,0.0013460175450901181
Government revenue,-0.008286952804056544,-0.008286952804056544,,0.019963459244128946,-0.005787906356720079,0.03024457833595262,0.039091124009191125,,1.2920997805032641e-06,0.15921823672561208,0.0038243390124249907,0.004016465975517033,,0.004123850946696355,0.004109148218383027
Industry,-0.006081191581638128,-0.006081191581638128,,-0.004580797335627435,-0.01046606233974447,0.21192145913721538,0.21367163644396836,,0.5336986184500456,0.04848707742465752,0.004867546021348698,0.004886284695121075,,0.007360061769215447,0.005299277559943435
"Inflation, consumer prices (annual %)",0.0005995251501099007,0.0005995251501099007,,0.0004978210955584679,0.0001350558810860759,0.20246706953220728,0.20096248988664245,,0.6204847533226561,0.6631409803794108,0.00047024952732271783,0.0004686807316014028,,0.0010053662954626385,0.000309985962178725
Manufacturing,0.014030026761341375,0.014030026761341375,,0.04750873915652308,0.013519939374247388,0.006583577535217211,0.005387941277499975,,5.1542641488211416e-08,0.009910581751385372,0.005163092851941157,0.005041208696876613,,0.008723725729072276,0.005234470482262813
Political corruption index,-0.5587182601111084,-0.5587182601111084,,-0.33605192229467107,-0.806973000311897,0.02572178358795174,0.017195992610590904,,0.36298590897938476,0.0013712568371291312,0.2505019037447339,0.23450889456218882,,0.369413580396737,0.2515649545027414
Political stability — estimate,0.011551980565777152,0.011551980565777152,0.02779815012466247,0.00743036788324839,0.025636679135814133,0.6726310315861173,0.6843585189094936,0.32069204966482223,0.8928268135473041,0.4218777222258483,0.027339325975436517,0.028416508779094636,0.02799307308143012,0.05515081402532173,0.031909002006289766
"Primary net lending, General government, Percent of GDP",0.009319604448236835,0.009319604448236835,,0.005220006654908971,0.007548082358935879,0.0023565693944946897,0.0034645476759358473,,0.3952791999221543,0.061888620696889385,0.003064160314877839,0.003187892043412357,,0.006140391891671373,0.0040390827480087585
Real interest rate (%),0.0021623283729949026,0.0021623283729949026,,-0.0032226524923733083,0.0015338816956299048,0.06696636723226113,0.0916363270557341,,0.22696544027294774,0.24409291657681753,0.001179439979522821,0.0012812462133728337,,0.002667280937966005,0.0013162253082243931
Rule of law index,-0.4042898061720831,-0.4042898061720831,-0.019245248296768894,0.13993548252526716,-0.5420953554898352,0.056579967385582686,0.06366873531080808,0.8473179656462828,0.7117601555919475,0.01697878719946111,0.21205389638138256,0.21800553070865036,0.09995370218847563,0.3787227680120953,0.2267845819367817
Services,0.0018545788043704287,0.0018545788043704287,,0.019604429411355685,-0.0006673084321893645,0.6567183907306053,0.6605901120326578,,0.012040755161148997,0.8757355800470406,0.004170796558412851,0.004221714450624754,,0.007805655798666704,0.004266425547225326
Trade (% of GDP),0.0002464710611281534,0.0002464710611281534,0.0005521648366985419,0.0009809714256059367,-0.0002300523509803607,0.7806322393572591,0.7778879677188042,0.4335331456259206,0.4730433659811031,0.8083171831063765,0.0008850028427327828,0.0008737789090258924,0.0007050463615549422,0.0013671384401239982,0.0009480881986376669
Urban population (% of total population),-0.017931626860139754,-0.017931626860139754,,-0.06028545593227387,1.0384519279337202e-09,0.47315135998625446,0.4512039125185603,,2.309777924480727e-09,0.00011422934585381128,0.0249966092718157,0.023800583989929482,,0.01008706987965163,2.6830437376028445e-10
log_GFCF,0.05068482913182267,0.05068482913182267,0.04931660698321276,0.08109313780528371,0.08217916703497637,0.2519087975757408,0.2561711444866903,0.25751863317555457,0.21366608799777165,0.20054448564210237,0.044234198966483736,0.044633211713625616,0.043554905066583,0.0652111131810339,0.06416866460663699
