,beta,beta,beta,beta,beta,p,p,p,p,p,se,se,se,se,se
model,M1_2wayFE_country_cluster,M2_2wayFE_twoway_cluster,M3_parsim_interact,M4_pooled_OLS,M5_observed_only,M1_2wayFE_country_cluster,M2_2wayFE_twoway_cluster,M3_parsim_interact,M4_pooled_OLS,M5_observed_only,M1_2wayFE_country_cluster,M2_2wayFE_twoway_cluster,M3_parsim_interact,M4_pooled_OLS,M5_observed_only
variable,,,,,,,,,,,,,,,
Agriculture,0.003247651571182878,0.003247651571182878,,0.022470132601208347,0.008775809516978638,0.5115384734037589,0.5469028443636808,,0.011598202200173047,0.1198570199134803,0.004944050495745045,0.005388700691116375,,0.008900968513281073,0.005638357652933275
Domestic credit to private sector (% of GDP),0.0006209454707180533,0.0006209454707180533,,0.0003090146755039872,4.9103062042923615e-05,0.5814449302737463,0.5898856242156327,,0.8147460109047058,0.9701708954252257,0.0011262814691598746,0.0011519375616912924,,0.0013188298549367098,0.0013128631668435685
Government revenue,-0.008160505402870452,-0.008160505402870452,,0.015743995234110082,-0.00473224729698939,0.007060026952027121,0.01463363790624772,,6.56017889701932e-05,0.2816962128165539,0.003028801192643313,0.0033424462863969415,,0.003944166639353841,0.004393973301600785
Industry,-0.01036173874662132,-0.01036173874662132,,-0.01104941587847661,-0.014994974329470117,0.019433334371185218,0.02671250425896199,,0.04565027391072096,0.002337662881296332,0.004388233722119856,0.0046415834920199815,,0.005527206453045055,0.004916523093136415
"Inflation, consumer prices (annual %)",0.0004291119358255012,0.0004291119358255012,,0.00029127952323762106,0.0001303931315782968,0.2840029884000268,0.27396693415870965,,0.752244287884444,0.6808999493787993,0.00040027358529477416,0.0003919757962114317,,0.0009226923026269868,0.00031700184640604716
Manufacturing,0.016092377899380096,0.016092377899380096,,0.04894127103200148,0.01666656435025397,0.00020432265208514266,0.00018006589205810108,,2.948330468655058e-11,2.1780194157328125e-05,0.004330198680773338,0.004293220415146984,,0.007360549200699447,0.003910348034587207
Political corruption index,-0.5010500379758284,-0.5010500379758284,,-0.252630145821146,-0.741906450042345,0.03577176016441608,0.022557505161099334,,0.4121895027303726,0.005722121310727912,0.23864956694329117,0.21967555739387035,,0.30806799647590577,0.26801848089146496
Political stability — estimate,-0.001760314081824937,-0.001760314081824937,-0.009731046167856614,0.01634997919168197,0.009959374456530813,0.9366248984083243,0.9400593818128125,0.7267983689541775,0.7251923830617537,0.7119684156699537,0.022138760622349006,0.023409882226838846,0.027851724545502627,0.04651117608362076,0.026968365639936435
"Primary net lending, General government, Percent of GDP",0.00766849923325105,0.00766849923325105,,0.0024520308014334647,0.0074823214631360765,0.011767943792138524,0.014085354318295273,,0.648880872074526,0.054581962465985345,0.003043703533101173,0.0031230579501059894,,0.005385052919232362,0.0038889167572007913
Real interest rate (%),0.0025138432370337654,0.0025138432370337654,,-0.0013925445942863436,0.0016734415954707245,0.03706340215817083,0.05211148293922374,,0.5439886314026179,0.27448679484138916,0.0012044865628152563,0.0012934871241739186,,0.0022949233100667704,0.0015306723409835112
Rule of law index,-0.34940668290027016,-0.34940668290027016,0.052569382370829906,0.18594241114022497,-0.5043026858657533,0.05996454316307043,0.056546454325711704,0.5962541750108394,0.5502014957029937,0.01840874309489071,0.1857501172955811,0.18324204946912365,0.0992259214662772,0.31122243425054313,0.21364999962368908
Services,0.001374092458847554,0.001374092458847554,,0.015838741736575002,0.0014913352005263708,0.7074552793358233,0.7210347091895155,,0.015321558249940193,0.7165833470933687,0.0036534327027269,0.0038412742197335673,,0.0065277703810714596,0.004107097079356907
Trade (% of GDP),0.0009410379846115932,0.0009410379846115932,0.0009352252253384205,0.0015133631901439594,0.0004888383131406566,0.250737372681034,0.24302707670565926,0.18093204110635197,0.19923333816936561,0.5821877386352674,0.0008193143504495791,0.0008060543108343787,0.0006990285355598736,0.0011788712679001168,0.0008882533524561923
Urban population (% of total population),-0.09387117478237725,-0.09387117478237725,,-0.08998151208240307,-1.8645363184801357e-10,0.0006604511298644589,0.0006480531493355812,,0.0,0.6802239050120882,0.027564342363995915,0.027522549175216838,,0.010257905147185971,4.522775208083419e-10
log_GDPpc,0.48628074470027044,0.48628074470027044,0.3278335470446521,0.43366082671274553,0.5223630685768316,9.329861128115624e-08,3.2377771086444795e-07,0.0005009914337774646,4.423809474296547e-08,0.0007510636468262,0.09107549268550179,0.09518020818188283,0.09419892842576312,0.07923567299546719,0.15460704638946451
