Entity,Code,Year,production|Bauxite|Mine|tonnes
Albania,ALB,1987,16002
Albania,ALB,1988,37669
Albania,ALB,1989,35343
Albania,ALB,1990,23489
Albania,ALB,1991,8000
Albania,ALB,1992,4000
Albania,ALB,1994,200
Albania,ALB,1995,1548
Albania,ALB,1996,3380
Albania,ALB,1997,4453
Albania,ALB,1998,4128
Albania,ALB,1999,4624
Australia,AUS,1970,9256000
Australia,AUS,1971,12733000
Australia,AUS,1972,14437000
Australia,AUS,1973,17596000
Australia,AUS,1974,19994000
Australia,AUS,1975,21003000
Australia,AUS,1976,24084000
Australia,AUS,1977,26086000
Australia,AUS,1978,24292511
Australia,AUS,1979,27583429
Australia,AUS,1980,27178974
Australia,AUS,1981,25441392
Australia,AUS,1982,23625042
Australia,AUS,1983,24372291
Australia,AUS,1984,31536913
Australia,AUS,1985,31838898
Australia,AUS,1986,32383773
Australia,AUS,1987,34101721
Australia,AUS,1988,36192000
Australia,AUS,1989,38583000
Australia,AUS,1990,41391000
Australia,AUS,1991,40503000
Australia,AUS,1992,39746000
Australia,AUS,1993,41320000
Australia,AUS,1994,42159000
Australia,AUS,1995,42655000
Australia,AUS,1996,43063000
Australia,AUS,1997,44464000
Australia,AUS,1998,44653000
Australia,AUS,1999,48416000
Australia,AUS,2000,53802000
Australia,AUS,2001,53799000
Australia,AUS,2002,54135000
Australia,AUS,2003,55602000
Australia,AUS,2004,56593000
Australia,AUS,2005,59958667
Australia,AUS,2006,61780468
Australia,AUS,2007,62398239
Australia,AUS,2008,64037587
Australia,AUS,2009,66168656
Australia,AUS,2010,68583957
Australia,AUS,2011,70231394
Australia,AUS,2012,76281247
Australia,AUS,2013,81119334
Australia,AUS,2014,78630996
Australia,AUS,2015,80909261
Australia,AUS,2016,83517148
Australia,AUS,2017,89420589
Australia,AUS,2018,95947593
Australia,AUS,2019,107422912
Australia,AUS,2020,104000000
Australia,AUS,2021,103000000
Australia,AUS,2022,102000000
Australia,AUS,2023,104000000
Australia,AUS,2024,100000000
Bosnia and Herzegovina,BIH,1992,200000
Bosnia and Herzegovina,BIH,1993,100000
Bosnia and Herzegovina,BIH,1994,75000
Bosnia and Herzegovina,BIH,1995,75000
Bosnia and Herzegovina,BIH,2000,254700
Bosnia and Herzegovina,BIH,2001,90000
Bosnia and Herzegovina,BIH,2002,71300
Bosnia and Herzegovina,BIH,2003,573000
Bosnia and Herzegovina,BIH,2004,916900
Bosnia and Herzegovina,BIH,2005,1031600
Bosnia and Herzegovina,BIH,2006,854047
Bosnia and Herzegovina,BIH,2007,866933
Bosnia and Herzegovina,BIH,2008,1018333
Bosnia and Herzegovina,BIH,2009,555800
Bosnia and Herzegovina,BIH,2010,827909
Bosnia and Herzegovina,BIH,2011,707712
Bosnia and Herzegovina,BIH,2012,800316
Bosnia and Herzegovina,BIH,2013,657115
Bosnia and Herzegovina,BIH,2014,605215
Bosnia and Herzegovina,BIH,2015,787409
Bosnia and Herzegovina,BIH,2016,738609
Bosnia and Herzegovina,BIH,2017,740384
Bosnia and Herzegovina,BIH,2018,760244
Bosnia and Herzegovina,BIH,2019,1043343
Bosnia and Herzegovina,BIH,2020,619748
Bosnia and Herzegovina,BIH,2021,675269
Bosnia and Herzegovina,BIH,2022,699926
Bosnia and Herzegovina,BIH,2023,548160
Brazil,BRA,1970,510000
Brazil,BRA,1971,566000
Brazil,BRA,1972,765000
Brazil,BRA,1973,849000
Brazil,BRA,1974,858000
Brazil,BRA,1975,969000
Brazil,BRA,1976,998000
Brazil,BRA,1977,1352000
Brazil,BRA,1978,1401101
Brazil,BRA,1979,2165288
Brazil,BRA,1980,4631855
Brazil,BRA,1981,4048545
Brazil,BRA,1982,3469928
Brazil,BRA,1983,4281241
Brazil,BRA,1984,5902577
Brazil,BRA,1985,5304697
Brazil,BRA,1986,5418259
Brazil,BRA,1987,6376650
Brazil,BRA,1988,7388000
Brazil,BRA,1989,7489146
Brazil,BRA,1990,9748948
Brazil,BRA,1991,10364200
Brazil,BRA,1992,10116045
Brazil,BRA,1993,10747535
Brazil,BRA,1994,9803297
Brazil,BRA,1995,11616402
Brazil,BRA,1996,12587234
Brazil,BRA,1997,11539965
Brazil,BRA,1998,11566798
Brazil,BRA,1999,12661746
Brazil,BRA,2000,13974480
Brazil,BRA,2001,13388100
Brazil,BRA,2002,13147900
Brazil,BRA,2003,18456800
Brazil,BRA,2004,20511800
Brazil,BRA,2005,22364600
Brazil,BRA,2006,23236300
Brazil,BRA,2007,25460700
Brazil,BRA,2008,28097500
Brazil,BRA,2009,26074400
Brazil,BRA,2010,32028000
Brazil,BRA,2011,33624600
Brazil,BRA,2012,34987800
Brazil,BRA,2013,33903800
Brazil,BRA,2014,36313200
Brazil,BRA,2015,37057000
Brazil,BRA,2016,39244200
Brazil,BRA,2017,38072100
Brazil,BRA,2018,32006900
Brazil,BRA,2019,31937900
Brazil,BRA,2020,31000000
Brazil,BRA,2021,33000000
Brazil,BRA,2022,30000000
Brazil,BRA,2023,32000000
Brazil,BRA,2024,33000000
Canada,CAN,2020,0
Canada,CAN,2021,0
Canada,CAN,2022,0
China,CHN,1970,500000
China,CHN,1971,500000
China,CHN,1972,550000
China,CHN,1973,600000
China,CHN,1974,700000
China,CHN,1975,900000
China,CHN,1976,1100000
China,CHN,1977,1200000
China,CHN,1978,1400000
China,CHN,1979,1500000
China,CHN,1980,1700000
China,CHN,1981,1800000
China,CHN,1982,1950000
China,CHN,1983,2100000
China,CHN,1984,2500000
China,CHN,1985,2800000
China,CHN,1986,2900000
China,CHN,1987,3200000
China,CHN,1988,3500000
China,CHN,1989,2055200
China,CHN,1990,3655200
China,CHN,1991,5926000
China,CHN,1992,6660900
China,CHN,1993,6468200
China,CHN,1994,6621300
China,CHN,1995,8255500
China,CHN,1996,8878800
China,CHN,1997,9000000
China,CHN,1998,6400000
China,CHN,1999,7100000
China,CHN,2000,7900000
China,CHN,2001,8650000
China,CHN,2002,12958700
China,CHN,2003,14567000
China,CHN,2004,17518000
China,CHN,2005,17408200
China,CHN,2006,18981600
China,CHN,2007,20446000
China,CHN,2008,25176900
China,CHN,2009,29213100
China,CHN,2010,36837200
China,CHN,2011,37173800
China,CHN,2012,44052300
China,CHN,2013,50339383
China,CHN,2014,59212401
China,CHN,2015,60787599
China,CHN,2016,66157689
China,CHN,2017,69000000
China,CHN,2018,70751214
China,CHN,2019,42000000
China,CHN,2020,92700000
China,CHN,2021,90000000
China,CHN,2022,90000000
China,CHN,2023,91000000
China,CHN,2024,93000000
Colombia,COL,2012,384
Colombia,COL,2013,1108
Colombia,COL,2014,601
Colombia,COL,2015,861
Colombia,COL,2016,693
Colombia,COL,2017,2400
Colombia,COL,2018,13666
Colombia,COL,2019,18032
Colombia,COL,2020,9595
Colombia,COL,2021,49946
Colombia,COL,2022,48016
Colombia,COL,2023,2779
Cote d'Ivoire,CIV,2016,0
Cote d'Ivoire,CIV,2017,0
Cote d'Ivoire,CIV,2018,0
Cote d'Ivoire,CIV,2019,0
Cote d'Ivoire,CIV,2020,272295
Cote d'Ivoire,CIV,2021,0
Cote d'Ivoire,CIV,2022,0
Cote d'Ivoire,CIV,2023,155000
Croatia,HRV,1992,6878
Croatia,HRV,1993,1690
Croatia,HRV,1994,1302
Croatia,HRV,2009,500
Croatia,HRV,2010,2300
Croatia,HRV,2011,4800
Croatia,HRV,2012,5690
Croatia,HRV,2013,8220
Croatia,HRV,2014,9150
Croatia,HRV,2015,11900
Croatia,HRV,2016,9780
Croatia,HRV,2017,12215
Croatia,HRV,2018,11780
Croatia,HRV,2019,14342
Croatia,HRV,2020,14080
Croatia,HRV,2021,14450
Croatia,HRV,2022,17750
Croatia,HRV,2023,18000
Dominican Republic,DOM,1970,1086000
Dominican Republic,DOM,1971,1032000
Dominican Republic,DOM,1972,1087000
Dominican Republic,DOM,1973,1086000
Dominican Republic,DOM,1974,1196000
Dominican Republic,DOM,1975,772000
