Entity,Code,Year,production|Coal|Mine|tonnes
Afghanistan,AFG,1970,170000
Afghanistan,AFG,1971,200000
Afghanistan,AFG,1972,200000
Afghanistan,AFG,1973,180000
Afghanistan,AFG,1974,136000
Afghanistan,AFG,1975,149700
Afghanistan,AFG,1976,159900
Afghanistan,AFG,1977,172700
Afghanistan,AFG,1978,217500
Afghanistan,AFG,1979,131900
Afghanistan,AFG,1980,118700
Afghanistan,AFG,1981,124970
Afghanistan,AFG,1982,145000
Afghanistan,AFG,1983,165000
Afghanistan,AFG,1984,148000
Afghanistan,AFG,1985,151000
Afghanistan,AFG,1986,160000
Afghanistan,AFG,1987,167000
Afghanistan,AFG,1988,138000
Afghanistan,AFG,1989,125000
Afghanistan,AFG,1990,200000
Afghanistan,AFG,1991,250000
Afghanistan,AFG,1992,300000
Afghanistan,AFG,1993,250000
Afghanistan,AFG,1994,200000
Afghanistan,AFG,1995,140000
Afghanistan,AFG,1996,200000
Afghanistan,AFG,1997,185000
Afghanistan,AFG,1998,190000
Afghanistan,AFG,1999,2000
Afghanistan,AFG,2000,2000
Afghanistan,AFG,2001,2000
Afghanistan,AFG,2002,2000
Afghanistan,AFG,2003,2000
Afghanistan,AFG,2006,34920
Afghanistan,AFG,2007,242700
Afghanistan,AFG,2008,346930
Afghanistan,AFG,2009,500100
Afghanistan,AFG,2010,724900
Afghanistan,AFG,2011,1479600
Afghanistan,AFG,2012,1239900
Afghanistan,AFG,2013,1347000
Afghanistan,AFG,2014,1517400
Afghanistan,AFG,2015,1364800
Afghanistan,AFG,2016,1698200
Afghanistan,AFG,2017,2191400
Afghanistan,AFG,2018,2444600
Afghanistan,AFG,2019,2139200
Afghanistan,AFG,2020,56620
Afghanistan,AFG,2021,108200
Afghanistan,AFG,2022,537127
Afghanistan,AFG,2023,425000
Albania,ALB,1970,605600
Albania,ALB,1971,675000
Albania,ALB,1972,764800
Albania,ALB,1973,811000
Albania,ALB,1974,850000
Albania,ALB,1975,900000
Albania,ALB,1976,950000
Albania,ALB,1977,1000000
Albania,ALB,1978,1200000
Albania,ALB,1979,1430000
Albania,ALB,1980,1540000
Albania,ALB,1981,1505000
Albania,ALB,1982,1640000
Albania,ALB,1983,1779000
Albania,ALB,1984,2010000
Albania,ALB,1985,2100000
Albania,ALB,1986,2166200
Albania,ALB,1987,2133950
Albania,ALB,1988,2184130
Albania,ALB,1989,2193050
Albania,ALB,1990,2070574
Albania,ALB,1991,1098000
Albania,ALB,1992,216000
Albania,ALB,1993,164000
Albania,ALB,1994,158000
Albania,ALB,1995,105000
Albania,ALB,1996,90000
Albania,ALB,1997,40000
Albania,ALB,1998,48706
Albania,ALB,1999,32595
Albania,ALB,2000,20666
Albania,ALB,2001,15700
Albania,ALB,2002,15000
Albania,ALB,2003,18000
Albania,ALB,2004,20000
Albania,ALB,2005,19000
Albania,ALB,2006,3800
Albania,ALB,2007,2700
Albania,ALB,2008,1500
Albania,ALB,2009,2000
Albania,ALB,2010,3000
Albania,ALB,2011,100
Albania,ALB,2012,0
Albania,ALB,2013,0
Albania,ALB,2014,0
Albania,ALB,2015,69000
Albania,ALB,2016,4000
Albania,ALB,2017,46000
Albania,ALB,2018,98000
Albania,ALB,2019,31000
Albania,ALB,2020,42000
Albania,ALB,2021,24482
Albania,ALB,2022,149312
Albania,ALB,2023,191406
Algeria,DZA,1970,12600
Algeria,DZA,1971,14130
Algeria,DZA,1972,12360
Algeria,DZA,1973,12800
Argentina,ARG,1970,615541
Argentina,ARG,1971,631757
Argentina,ARG,1972,694426
Argentina,ARG,1973,453192
Argentina,ARG,1974,625647
Argentina,ARG,1975,502158
Argentina,ARG,1976,614585
Argentina,ARG,1977,533312
Argentina,ARG,1978,434141
Argentina,ARG,1979,726939
Argentina,ARG,1980,389395
Argentina,ARG,1981,497546
Argentina,ARG,1982,516891
Argentina,ARG,1983,490960
Argentina,ARG,1984,509151
Argentina,ARG,1985,400232
Argentina,ARG,1986,370000
Argentina,ARG,1987,380855
Argentina,ARG,1988,505000
Argentina,ARG,1989,441052
Argentina,ARG,1990,270354
Argentina,ARG,1991,293946
Argentina,ARG,1992,214684
Argentina,ARG,1993,172771
Argentina,ARG,1994,348000
Argentina,ARG,1995,304485
Argentina,ARG,1996,328762
Argentina,ARG,1997,250136
Argentina,ARG,1998,218270
Argentina,ARG,1999,353839
Argentina,ARG,2000,246000
Argentina,ARG,2001,149851
Argentina,ARG,2002,56324
Argentina,ARG,2003,117832
Argentina,ARG,2004,120060
Argentina,ARG,2005,320000
Argentina,ARG,2006,295333
Argentina,ARG,2007,250000
Argentina,ARG,2008,207983
Argentina,ARG,2009,181474
Argentina,ARG,2010,140000
Argentina,ARG,2011,178000
Argentina,ARG,2012,246000
Argentina,ARG,2013,183000
Argentina,ARG,2014,57000
Argentina,ARG,2015,22000
Argentina,ARG,2016,17000
Argentina,ARG,2017,16550
Argentina,ARG,2018,39340
Argentina,ARG,2019,68830
Argentina,ARG,2020,12875
Argentina,ARG,2021,13113
Argentina,ARG,2022,13110
Argentina,ARG,2023,13000
Armenia,ARM,1995,25000
Armenia,ARM,1996,6000
Australia,AUS,1970,73720000
Australia,AUS,1971,72384000
Australia,AUS,1972,89414000
Australia,AUS,1973,95841000
Australia,AUS,1974,97752000
Australia,AUS,1975,102862000
Australia,AUS,1976,105793000
Australia,AUS,1977,107458000
Australia,AUS,1978,112687000
Australia,AUS,1979,115756000
Australia,AUS,1980,117518000
Australia,AUS,1981,133585000
Australia,AUS,1982,144922000
Australia,AUS,1983,143017000
Australia,AUS,1984,159472000
Australia,AUS,1985,195241000
Australia,AUS,1986,207671000
Australia,AUS,1987,223276000
Australia,AUS,1988,220054000
Australia,AUS,1989,238337000
