Entity,Code,Year,production|Lead|Mine|tonnes
Algeria,DZA,1970,6523
Algeria,DZA,1971,4717
Algeria,DZA,1972,4989
Algeria,DZA,1973,3880
Algeria,DZA,1974,3000
Algeria,DZA,1975,3200
Algeria,DZA,1976,2100
Algeria,DZA,1977,900
Algeria,DZA,1978,1500
Algeria,DZA,1979,2200
Algeria,DZA,1980,2400
Algeria,DZA,1981,3200
Algeria,DZA,1982,3000
Algeria,DZA,1983,3000
Algeria,DZA,1984,3600
Algeria,DZA,1985,3800
Algeria,DZA,1986,3500
Algeria,DZA,1987,2000
Algeria,DZA,1988,2300
Algeria,DZA,1989,1700
Algeria,DZA,1990,1100
Algeria,DZA,1991,1100
Algeria,DZA,1992,900
Algeria,DZA,1993,900
Algeria,DZA,1994,700
Algeria,DZA,1995,900
Algeria,DZA,1996,600
Algeria,DZA,1997,840
Algeria,DZA,1998,730
Algeria,DZA,1999,760
Algeria,DZA,2000,510
Algeria,DZA,2001,560
Algeria,DZA,2002,690
Argentina,ARG,1970,35588
Argentina,ARG,1971,39882
Argentina,ARG,1972,38365
Argentina,ARG,1973,35120
Argentina,ARG,1974,37826
Argentina,ARG,1975,30046
Argentina,ARG,1976,33004
Argentina,ARG,1977,33601
Argentina,ARG,1978,30253
Argentina,ARG,1979,31775
Argentina,ARG,1980,32606
Argentina,ARG,1981,32652
Argentina,ARG,1982,32777
Argentina,ARG,1983,31684
Argentina,ARG,1984,28542
Argentina,ARG,1985,28582
Argentina,ARG,1986,26868
Argentina,ARG,1987,26069
Argentina,ARG,1988,28549
Argentina,ARG,1989,26650
Argentina,ARG,1990,23365
Argentina,ARG,1991,23697
Argentina,ARG,1992,17956
Argentina,ARG,1993,11826
Argentina,ARG,1994,9981
Argentina,ARG,1995,10521
Argentina,ARG,1996,11272
Argentina,ARG,1997,13760
Argentina,ARG,1998,15004
Argentina,ARG,1999,14256
Argentina,ARG,2000,14115
Argentina,ARG,2001,12334
Argentina,ARG,2002,12011
Argentina,ARG,2003,12079
Argentina,ARG,2004,9551
Argentina,ARG,2005,10683
Argentina,ARG,2006,12064
Argentina,ARG,2007,17045
Argentina,ARG,2008,20788
Argentina,ARG,2009,24753
Argentina,ARG,2010,22600
Argentina,ARG,2011,26100
Argentina,ARG,2012,26500
Argentina,ARG,2013,28700
Argentina,ARG,2015,29834
Argentina,ARG,2016,28016
Argentina,ARG,2017,40135
Argentina,ARG,2018,28260
Argentina,ARG,2019,29766
Argentina,ARG,2020,13086
Argentina,ARG,2021,17100
Argentina,ARG,2022,18600
Argentina,ARG,2023,32300
Australia,AUS,1970,456743
Australia,AUS,1971,403557
Australia,AUS,1972,396000
Australia,AUS,1973,402796
Australia,AUS,1974,375304
Australia,AUS,1975,407801
Australia,AUS,1976,397403
Australia,AUS,1977,432204
Australia,AUS,1978,400291
Australia,AUS,1979,421581
Australia,AUS,1980,397491
Australia,AUS,1981,388122
Australia,AUS,1982,455338
Australia,AUS,1983,480626
Australia,AUS,1984,440620
Australia,AUS,1985,497954
Australia,AUS,1986,447673
Australia,AUS,1987,489150
Australia,AUS,1988,462170
Australia,AUS,1989,495000
Australia,AUS,1990,565000
Australia,AUS,1991,579000
Australia,AUS,1992,580000
Australia,AUS,1993,510000
Australia,AUS,1994,505000
Australia,AUS,1995,455000
Australia,AUS,1996,527000
Australia,AUS,1997,526000
Australia,AUS,1998,618000
Australia,AUS,1999,677000
Australia,AUS,2000,651000
Australia,AUS,2001,759000
Australia,AUS,2002,694000
Australia,AUS,2003,688000
Australia,AUS,2004,674000
Australia,AUS,2005,766215
Australia,AUS,2006,668023
Australia,AUS,2007,640648
Australia,AUS,2008,649824
Australia,AUS,2009,567007
Australia,AUS,2010,711366
Australia,AUS,2011,621487
Australia,AUS,2012,620598
Australia,AUS,2013,711210
Australia,AUS,2015,653488
Australia,AUS,2016,441338
Australia,AUS,2017,395190
Australia,AUS,2018,446571
Australia,AUS,2019,500985
Australia,AUS,2020,494000
Australia,AUS,2021,485000
Australia,AUS,2022,435000
Australia,AUS,2023,430000
Australia,AUS,2024,430000
Austria,AUT,1970,6003
Austria,AUT,1971,7715
Austria,AUT,1972,6668
Austria,AUT,1973,6139
Austria,AUT,1974,5785
Austria,AUT,1975,6101
Austria,AUT,1976,5393
Austria,AUT,1977,5002
Austria,AUT,1978,5524
Austria,AUT,1979,5214
Austria,AUT,1980,5475
Austria,AUT,1981,5683
Austria,AUT,1982,5574
Austria,AUT,1983,5750
Austria,AUT,1984,5574
Austria,AUT,1985,7500
Austria,AUT,1986,5699
Austria,AUT,1987,6437
Austria,AUT,1988,3315
Austria,AUT,1989,2345
Austria,AUT,1990,2187
Austria,AUT,1991,1915
Austria,AUT,1992,1715
Austria,AUT,1993,2047
Bolivia,BOL,1972,19200
Bolivia,BOL,1973,20904
Bolivia,BOL,1974,17623
Bolivia,BOL,1975,16018
Bolivia,BOL,1976,18581
Bolivia,BOL,1977,18441
Bolivia,BOL,1978,18042
Bolivia,BOL,1979,15359
Bolivia,BOL,1980,17269
Bolivia,BOL,1981,16757
Bolivia,BOL,1982,12441
Bolivia,BOL,1983,12099
Bolivia,BOL,1984,7371
Bolivia,BOL,1985,6242
Bolivia,BOL,1986,2568
Bolivia,BOL,1987,9134
Bolivia,BOL,1988,12531
Bolivia,BOL,1989,15728
Bolivia,BOL,1990,19913
Bolivia,BOL,1991,20810
Bolivia,BOL,1992,20010
Bolivia,BOL,1993,21220
Bolivia,BOL,1994,19678
Bolivia,BOL,1995,20387
Bolivia,BOL,1996,16538
Bolivia,BOL,1997,18608
Bolivia,BOL,1998,13848
Bolivia,BOL,1999,10153
Bolivia,BOL,2000,9523
Bolivia,BOL,2001,8857
Bolivia,BOL,2002,9892
Bolivia,BOL,2003,9740
Bolivia,BOL,2004,10267
Bolivia,BOL,2005,11231
Bolivia,BOL,2006,11955
Bolivia,BOL,2007,22798
Bolivia,BOL,2008,81602
Bolivia,BOL,2009,84538
Bolivia,BOL,2010,72834
Bolivia,BOL,2011,100096
Bolivia,BOL,2012,81142
Bolivia,BOL,2013,82602
Bolivia,BOL,2015,75272
Bolivia,BOL,2016,89906
Bolivia,BOL,2017,113285
Bolivia,BOL,2018,112140
Bolivia,BOL,2019,88342
Bolivia,BOL,2020,65000
Bolivia,BOL,2021,93000
Bolivia,BOL,2022,90000
Bolivia,BOL,2023,60000
Bolivia,BOL,2024,60000
Bosnia and Herzegovina,BIH,1992,800
Bosnia and Herzegovina,BIH,1993,200
Bosnia and Herzegovina,BIH,1994,200
Bosnia and Herzegovina,BIH,2003,200
Bosnia and Herzegovina,BIH,2004,900
Bosnia and Herzegovina,BIH,2005,1100
Bosnia and Herzegovina,BIH,2006,634
Bosnia and Herzegovina,BIH,2007,2548
Bosnia and Herzegovina,BIH,2008,3316
Bosnia and Herzegovina,BIH,2009,2080
Bosnia and Herzegovina,BIH,2010,3196
Bosnia and Herzegovina,BIH,2011,3656
Bosnia and Herzegovina,BIH,2012,5238
Bosnia and Herzegovina,BIH,2013,6308
Bosnia and Herzegovina,BIH,2015,6199
Bosnia and Herzegovina,BIH,2016,6803
Bosnia and Herzegovina,BIH,2017,7092
Bosnia and Herzegovina,BIH,2018,7347
Bosnia and Herzegovina,BIH,2019,2421
Bosnia and Herzegovina,BIH,2020,3360
Bosnia and Herzegovina,BIH,2021,3679
Bosnia and Herzegovina,BIH,2022,3900
Bosnia and Herzegovina,BIH,2023,4075
Brazil,BRA,1970,27754
Brazil,BRA,1971,27836
Brazil,BRA,1972,29880
Brazil,BRA,1973,25946
Brazil,BRA,1974,25922
Brazil,BRA,1975,22365
Brazil,BRA,1976,22615
Brazil,BRA,1977,24039
Brazil,BRA,1978,21203
Brazil,BRA,1979,22445
Brazil,BRA,1980,21754
Brazil,BRA,1981,21650
Brazil,BRA,1982,19360
Brazil,BRA,1983,18821
Brazil,BRA,1984,18775
Brazil,BRA,1985,16997
Brazil,BRA,1986,13614
Brazil,BRA,1987,11472
Brazil,BRA,1988,13802
Brazil,BRA,1989,14155
Brazil,BRA,1990,8809
Brazil,BRA,1991,7273
Brazil,BRA,1992,2517
Brazil,BRA,1993,117
Brazil,BRA,1994,806
Brazil,BRA,1995,5689
Brazil,BRA,1996,7894
Brazil,BRA,1997,8729
Brazil,BRA,1998,7567
Brazil,BRA,1999,10281
Brazil,BRA,2000,8832
Brazil,BRA,2001,10725
Brazil,BRA,2002,9253
Brazil,BRA,2003,10652
Brazil,BRA,2004,14737
Brazil,BRA,2005,16063
Brazil,BRA,2006,16007
Brazil,BRA,2007,15522
Brazil,BRA,2008,15000
Brazil,BRA,2009,8917
Brazil,BRA,2010,12832
Brazil,BRA,2011,8545
Brazil,BRA,2012,8922
Brazil,BRA,2013,8020
Brazil,BRA,2015,9441
Brazil,BRA,2016,9015
Brazil,BRA,2017,6157
Brazil,BRA,2018,7277
Brazil,BRA,2019,6000
Brazil,BRA,2020,5352
Brazil,BRA,2021,6307
Brazil,BRA,2022,7407
Brazil,BRA,2023,16100
Bulgaria,BGR,1970,95500
Bulgaria,BGR,1971,100000
Bulgaria,BGR,1972,102000
Bulgaria,BGR,1973,105000
Bulgaria,BGR,1974,110000
Bulgaria,BGR,1975,108000
Bulgaria,BGR,1976,110000
Bulgaria,BGR,1977,110000
Bulgaria,BGR,1978,110000
Bulgaria,BGR,1979,108000
Bulgaria,BGR,1980,100000
Bulgaria,BGR,1981,90000
Bulgaria,BGR,1982,95000
Bulgaria,BGR,1983,95000
Bulgaria,BGR,1984,95000
Bulgaria,BGR,1985,97000
Bulgaria,BGR,1986,69500
Bulgaria,BGR,1987,60700
Bulgaria,BGR,1988,60000
Bulgaria,BGR,1989,49500
Bulgaria,BGR,1990,45200
Bulgaria,BGR,1991,40600
Bulgaria,BGR,1992,39600
Bulgaria,BGR,1993,34400
Bulgaria,BGR,1994,32000
Bulgaria,BGR,1995,32500
Bulgaria,BGR,1996,28500
Bulgaria,BGR,1997,28000
Bulgaria,BGR,1998,24200
Bulgaria,BGR,1999,13800
Bulgaria,BGR,2000,13700
Bulgaria,BGR,2001,18500
Bulgaria,BGR,2002,19800
Bulgaria,BGR,2003,19950
Bulgaria,BGR,2004,19400
Bulgaria,BGR,2005,24354
Bulgaria,BGR,2006,19571
Bulgaria,BGR,2007,17768
Bulgaria,BGR,2008,14577
Bulgaria,BGR,2009,12981
Bulgaria,BGR,2010,12705
Bulgaria,BGR,2011,14369
Bulgaria,BGR,2012,15949
Bulgaria,BGR,2013,16914
Bulgaria,BGR,2015,16456
Bulgaria,BGR,2016,19688
Bulgaria,BGR,2017,16099
Bulgaria,BGR,2018,14723
Bulgaria,BGR,2019,17097
Bulgaria,BGR,2020,18929
Bulgaria,BGR,2021,10193
Bulgaria,BGR,2022,7825
Bulgaria,BGR,2023,5400
Burkina Faso,BFA,2010,0
Burkina Faso,BFA,2011,0
Burkina Faso,BFA,2012,0
Burkina Faso,BFA,2013,2168
Canada,CAN,1970,357196
Canada,CAN,1971,394778
Canada,CAN,1972,370029
Canada,CAN,1973,387768
Canada,CAN,1974,301362
Canada,CAN,1975,352502
Canada,CAN,1976,243956
Canada,CAN,1977,327593
Canada,CAN,1978,365782
Canada,CAN,1979,341777
Canada,CAN,1980,296641
Canada,CAN,1981,332045
Canada,CAN,1982,341212
