Entity,Code,Year,reserves|Lead|Mine|tonnes
Australia,AUS,2022,37000000
Australia,AUS,2023,35000000
Australia,AUS,2024,35000000
Bolivia,BOL,2022,1600000
Bolivia,BOL,2023,1600000
Bolivia,BOL,2024,1600000
China,CHN,2022,12000000
China,CHN,2023,20000000
China,CHN,2024,22000000
India,IND,2022,2500000
India,IND,2023,1900000
India,IND,2024,1900000
Iran,IRN,2022,2000000
Iran,IRN,2023,2000000
Iran,IRN,2024,2000000
Mexico,MEX,2022,5600000
Mexico,MEX,2023,5600000
Mexico,MEX,2024,5600000
Other,,2022,5900000
Other,,2023,5900000
Other,,2024,5900000
Peru,PER,2022,5300000
Peru,PER,2023,5000000
Peru,PER,2024,5000000
Russia,RUS,2022,6000000
Russia,RUS,2023,8700000
Russia,RUS,2024,8900000
Sweden,SWE,2022,1700000
Sweden,SWE,2023,1700000
Sweden,SWE,2024,1700000
Turkey,TUR,2022,860000
Turkey,TUR,2023,1600000
Turkey,TUR,2024,1600000
United States,USA,2022,4600000
United States,USA,2023,4600000
United States,USA,2024,4600000
World,OWID_WRL,2022,85000000
World,OWID_WRL,2023,95000000
World,OWID_WRL,2024,96000000
