Entity,Code,Year,reserves|Lithium|Mine|tonnes
Argentina,ARG,2022,2700000
Argentina,ARG,2023,3600000
Argentina,ARG,2024,4000000
Australia,AUS,2022,6200000
Australia,AUS,2023,6200000
Australia,AUS,2024,7000000
Brazil,BRA,2022,250000
Brazil,BRA,2023,390000
Brazil,BRA,2024,390000
Canada,CAN,2022,930000
Canada,CAN,2023,930000
Canada,CAN,2024,1200000
Chile,CHL,2022,9300000
Chile,CHL,2023,9300000
Chile,CHL,2024,9300000
China,CHN,2022,2000000
China,CHN,2023,3000000
China,CHN,2024,3000000
Namibia,NAM,2024,14000
Other,,2022,3300000
Other,,2023,2800000
Other,,2024,2800000
Portugal,PRT,2022,60000
Portugal,PRT,2023,60000
Portugal,PRT,2024,60000
United States,USA,2022,1000000
United States,USA,2023,1100000
United States,USA,2024,1800000
World,OWID_WRL,2023,28000000
World,OWID_WRL,2024,30000000
Zimbabwe,ZWE,2022,310000
Zimbabwe,ZWE,2023,310000
Zimbabwe,ZWE,2024,480000
