Entity,Code,Year,production|Petroleum|Crude|tonnes
Afghanistan,AFG,2007,3000
Afghanistan,AFG,2008,3000
Afghanistan,AFG,2009,3000
Afghanistan,AFG,2010,3000
Afghanistan,AFG,2011,3000
Afghanistan,AFG,2012,3000
Afghanistan,AFG,2013,4507
Afghanistan,AFG,2014,5080
Afghanistan,AFG,2015,3700
Afghanistan,AFG,2016,2700
Afghanistan,AFG,2017,900
Afghanistan,AFG,2018,900
Afghanistan,AFG,2019,900
Afghanistan,AFG,2020,900
Afghanistan,AFG,2021,900
Afghanistan,AFG,2022,900
Afghanistan,AFG,2023,900
Albania,ALB,1970,1480000
Albania,ALB,1971,1657000
Albania,ALB,1972,1920000
Albania,ALB,1973,2120000
Albania,ALB,1974,2200000
Albania,ALB,1975,2300000
Albania,ALB,1976,2350000
Albania,ALB,1977,2300000
Albania,ALB,1978,2300000
Albania,ALB,1979,3280000
Albania,ALB,1980,1590000
Albania,ALB,1981,2190000
Albania,ALB,1982,2310000
Albania,ALB,1983,4000000
Albania,ALB,1984,3000000
Albania,ALB,1985,3100000
Albania,ALB,1986,3000000
Albania,ALB,1987,3000000
Albania,ALB,1988,2482000
Albania,ALB,1989,2135000
Albania,ALB,1990,1067000
Albania,ALB,1991,1002000
Albania,ALB,1992,985000
Albania,ALB,1993,568045
Albania,ALB,1994,535345
Albania,ALB,1995,520866
Albania,ALB,1996,488214
Albania,ALB,1997,359666
Albania,ALB,1998,309000
Albania,ALB,1999,268000
Albania,ALB,2000,314000
Albania,ALB,2001,308000
Albania,ALB,2002,355817
Albania,ALB,2003,359253
Albania,ALB,2004,399740
Albania,ALB,2005,448040
Albania,ALB,2006,518686
Albania,ALB,2007,563189
Albania,ALB,2008,577301
Albania,ALB,2009,576739
Albania,ALB,2010,742012
Albania,ALB,2011,894530
Albania,ALB,2012,1029319
Albania,ALB,2013,1203638
Albania,ALB,2014,1342451
Albania,ALB,2015,1279253
Albania,ALB,2016,1055764
Albania,ALB,2017,954768
Albania,ALB,2018,910683
Albania,ALB,2019,1005088
Albania,ALB,2020,757393
Albania,ALB,2021,712532
Albania,ALB,2022,657402
Albania,ALB,2023,572628
Algeria,DZA,1970,47253000
Algeria,DZA,1971,36346000
Algeria,DZA,1972,50048000
Algeria,DZA,1973,52500000
Algeria,DZA,1974,47192000
Algeria,DZA,1975,45788000
Algeria,DZA,1976,50123000
Algeria,DZA,1977,53518000
Algeria,DZA,1978,57200000
Algeria,DZA,1979,56900000
Algeria,DZA,1980,51280000
Algeria,DZA,1981,44570000
Algeria,DZA,1982,43700000
Algeria,DZA,1983,42300000
Algeria,DZA,1984,46100000
Algeria,DZA,1985,48100000
Algeria,DZA,1986,48826000
Algeria,DZA,1987,48000000
Algeria,DZA,1988,49357000
Algeria,DZA,1989,51370000
Algeria,DZA,1990,56673000
Algeria,DZA,1991,58454000
Algeria,DZA,1992,52100000
Algeria,DZA,1993,52082000
Algeria,DZA,1994,51530000
Algeria,DZA,1995,51852000
Algeria,DZA,1996,54401000
Algeria,DZA,1997,54234000
Algeria,DZA,1998,54924000
Algeria,DZA,1999,56231000
Algeria,DZA,2000,58585000
Algeria,DZA,2001,57147000
Algeria,DZA,2002,61487000
Algeria,DZA,2003,76841000
Algeria,DZA,2004,81760000
Algeria,DZA,2005,84821000
Algeria,DZA,2006,85036000
Algeria,DZA,2007,86500000
Algeria,DZA,2008,85600000
Algeria,DZA,2009,77200000
Algeria,DZA,2010,73800000
Algeria,DZA,2011,71700000
Algeria,DZA,2012,67200000
Algeria,DZA,2013,64800000
Algeria,DZA,2014,68800000
Algeria,DZA,2015,67200000
Algeria,DZA,2016,68400000
Algeria,DZA,2017,66600000
Algeria,DZA,2018,65300000
Algeria,DZA,2019,64300000
Algeria,DZA,2020,57500000
Algeria,DZA,2021,58200000
Algeria,DZA,2022,62100000
Algeria,DZA,2023,60400000
Angola,AGO,1970,5065000
Angola,AGO,1971,5721000
Angola,AGO,1972,7055000
Angola,AGO,1973,8175000
Angola,AGO,1974,8750000
Angola,AGO,1975,8750000
Angola,AGO,1976,5093000
Angola,AGO,1977,8920000
Angola,AGO,1978,7060000
Angola,AGO,1979,7270000
Angola,AGO,1980,6778000
Angola,AGO,1981,6466600
Angola,AGO,1982,6493861
Angola,AGO,1983,8894952
Angola,AGO,1984,10190996
Angola,AGO,1985,11514325
Angola,AGO,1986,14102000
Angola,AGO,1987,17968000
Angola,AGO,1988,24606000
Angola,AGO,1989,25000000
Angola,AGO,1990,25780000
Angola,AGO,1991,24751000
Angola,AGO,1992,26356000
Angola,AGO,1993,24980000
Angola,AGO,1994,27400000
Angola,AGO,1995,31200000
Angola,AGO,1996,35400000
Angola,AGO,1997,36500000
Angola,AGO,1998,36000000
Angola,AGO,1999,36700000
Angola,AGO,2000,36825000
Angola,AGO,2001,36469000
Angola,AGO,2002,44600000
Angola,AGO,2003,42500000
Angola,AGO,2004,48200000
Angola,AGO,2005,61200000
Angola,AGO,2006,69700000
Angola,AGO,2007,82500000
Angola,AGO,2008,93100000
Angola,AGO,2009,87600000
Angola,AGO,2010,90500000
Angola,AGO,2011,83800000
Angola,AGO,2012,86900000
Angola,AGO,2013,85700000
Angola,AGO,2014,83300000
Angola,AGO,2015,88200000
Angola,AGO,2016,85800000
Angola,AGO,2017,81600000
Angola,AGO,2018,74100000
Angola,AGO,2019,69100000
Angola,AGO,2020,64200000
Angola,AGO,2021,56600000
Angola,AGO,2022,57800000
Angola,AGO,2023,55800000
Argentina,ARG,1970,20797000
Argentina,ARG,1971,22409000
Argentina,ARG,1972,22067000
Argentina,ARG,1973,21364000
Argentina,ARG,1974,21246000
Argentina,ARG,1975,20119000
Argentina,ARG,1976,20437000
Argentina,ARG,1977,22075000
Argentina,ARG,1978,23947000
Argentina,ARG,1979,25016000
Argentina,ARG,1980,26059000
Argentina,ARG,1981,26296100
Argentina,ARG,1982,25951600
Argentina,ARG,1983,25977400
Argentina,ARG,1984,25318400
Argentina,ARG,1985,24342500
Argentina,ARG,1986,22982800
Argentina,ARG,1987,22675290
Argentina,ARG,1988,23829749
Argentina,ARG,1989,24368512
Argentina,ARG,1990,25545968
Argentina,ARG,1991,26108344
Argentina,ARG,1992,29415684
Argentina,ARG,1993,31519250
Argentina,ARG,1994,35363766
Argentina,ARG,1995,38171053
Argentina,ARG,1996,41575471
Argentina,ARG,1997,44174851
Argentina,ARG,1998,44834345
Argentina,ARG,1999,42423518
Argentina,ARG,2000,40994335
Argentina,ARG,2001,41445316
Argentina,ARG,2002,40242083
Argentina,ARG,2003,38097086
Argentina,ARG,2004,35912065
Argentina,ARG,2005,34117773
Argentina,ARG,2006,33807649
Argentina,ARG,2007,32958800
Argentina,ARG,2008,32374752
Argentina,ARG,2009,32027302
Argentina,ARG,2010,31298178
Argentina,ARG,2011,29439986
Argentina,ARG,2012,29284559
Argentina,ARG,2013,28675450
Argentina,ARG,2014,28243106
Argentina,ARG,2015,27176128
Argentina,ARG,2016,27176128
Argentina,ARG,2017,25463642
Argentina,ARG,2018,26013729
Argentina,ARG,2019,26060312
Argentina,ARG,2020,25603785
Argentina,ARG,2021,26521000
Argentina,ARG,2022,30079000
Argentina,ARG,2023,32812000
Australia,AUS,1970,8541000
Australia,AUS,1971,14803000
Australia,AUS,1972,17333000
Australia,AUS,1973,20635000
Australia,AUS,1974,24559000
Australia,AUS,1975,21738000
Australia,AUS,1976,22122000
Australia,AUS,1977,22793000
Australia,AUS,1978,22976000
Australia,AUS,1979,22380000
Australia,AUS,1980,19451000
Australia,AUS,1981,19798921
Australia,AUS,1982,18839167
Australia,AUS,1983,21209115
Australia,AUS,1984,26376971
Australia,AUS,1985,30447317
Australia,AUS,1986,27151450
Australia,AUS,1987,29076240
Australia,AUS,1988,27492622
Australia,AUS,1989,25937279
Australia,AUS,1990,30547662
Australia,AUS,1991,28835416
Australia,AUS,1992,28326395
Australia,AUS,1993,26300345
Australia,AUS,1994,28505191
Australia,AUS,1995,27031036
Australia,AUS,1996,28406671
Australia,AUS,1997,30000000
Australia,AUS,1998,28000000
Australia,AUS,1999,27000000
Australia,AUS,2000,37000000
Australia,AUS,2001,34000000
Australia,AUS,2002,33000000
Australia,AUS,2003,27000000
Australia,AUS,2004,20748000
Australia,AUS,2005,25606556
Australia,AUS,2006,23814501
Australia,AUS,2007,24694639
Australia,AUS,2008,24234027
Australia,AUS,2009,22863526
Australia,AUS,2010,24852300
Australia,AUS,2011,21858083
Australia,AUS,2012,21672309
Australia,AUS,2013,18238139
Australia,AUS,2014,19558279
Australia,AUS,2015,17203247
Australia,AUS,2016,16112627
Australia,AUS,2017,15495471
Australia,AUS,2018,16206743
Australia,AUS,2019,20931300
Australia,AUS,2020,20442600
Australia,AUS,2021,19430000
Australia,AUS,2022,18047000
Australia,AUS,2023,16065300
Austria,AUT,1970,2798000
Austria,AUT,1971,2516000
Austria,AUT,1972,2478000
Austria,AUT,1973,2578000
Austria,AUT,1974,2238000
Austria,AUT,1975,2037000
Austria,AUT,1976,1931000
Austria,AUT,1977,1787000
Austria,AUT,1978,1790000
Austria,AUT,1979,1726000
Austria,AUT,1980,1475000
Austria,AUT,1981,1337679
Austria,AUT,1982,1290363
Austria,AUT,1983,1268573
Austria,AUT,1984,1205430
Austria,AUT,1985,1146958
Austria,AUT,1986,1115924
Austria,AUT,1987,1060367
Austria,AUT,1988,1175186
Austria,AUT,1989,1157891
Austria,AUT,1990,1148593
Austria,AUT,1991,1279882
Austria,AUT,1992,1179933
Austria,AUT,1993,1155224
Austria,AUT,1994,1099994
Austria,AUT,1995,1034868
Austria,AUT,1996,992398
Austria,AUT,1997,972340
Austria,AUT,1998,959285
Austria,AUT,1999,962393
Austria,AUT,2000,1056183
Austria,AUT,2001,1050355
Austria,AUT,2002,1032204
Austria,AUT,2003,1014716
Austria,AUT,2004,981588
Austria,AUT,2005,933040
Austria,AUT,2006,856270
Austria,AUT,2007,853548
Austria,AUT,2008,861639
Austria,AUT,2009,905031
Austria,AUT,2010,875969
Austria,AUT,2011,919569
Austria,AUT,2012,917889
Austria,AUT,2013,917321
Austria,AUT,2014,945034
Austria,AUT,2015,905999
Austria,AUT,2016,809358
Austria,AUT,2017,741890
Austria,AUT,2018,664009
Austria,AUT,2019,626877
Austria,AUT,2020,594789
Austria,AUT,2021,559947
Austria,AUT,2022,521211
Austria,AUT,2023,468583
Azerbaijan,AZE,1992,11158000
Azerbaijan,AZE,1993,10262000
Azerbaijan,AZE,1994,9600000
Azerbaijan,AZE,1995,9161300
Azerbaijan,AZE,1996,9100300
Azerbaijan,AZE,1997,9100000
Azerbaijan,AZE,1998,11400000
Azerbaijan,AZE,1999,13800000
Azerbaijan,AZE,2000,14000000
Azerbaijan,AZE,2001,14909100
Azerbaijan,AZE,2002,15333500
Azerbaijan,AZE,2003,15251300
Azerbaijan,AZE,2004,15348800
Azerbaijan,AZE,2005,22214200
Azerbaijan,AZE,2006,32185900
Azerbaijan,AZE,2007,42523200
Azerbaijan,AZE,2008,42074700
Azerbaijan,AZE,2009,48353700
Azerbaijan,AZE,2010,48580900
Azerbaijan,AZE,2011,43195200
Azerbaijan,AZE,2012,43600000
Azerbaijan,AZE,2013,43500000
Azerbaijan,AZE,2014,41952400
Azerbaijan,AZE,2015,41628300
Azerbaijan,AZE,2016,40999100
Azerbaijan,AZE,2017,38688400
Azerbaijan,AZE,2018,38814300
Azerbaijan,AZE,2019,37501200
Azerbaijan,AZE,2020,34531900
Azerbaijan,AZE,2021,34580300
Azerbaijan,AZE,2022,32646400
Azerbaijan,AZE,2023,30147400
Bahrain,BHR,1970,3840000
Bahrain,BHR,1971,3736000
Bahrain,BHR,1972,3478000
Bahrain,BHR,1973,3401000
Bahrain,BHR,1974,3363000
Bahrain,BHR,1975,3050000
Bahrain,BHR,1976,2902000
Bahrain,BHR,1977,2895000
Bahrain,BHR,1978,2760000
Bahrain,BHR,1979,2560000
Bahrain,BHR,1980,2402000
Bahrain,BHR,1981,2303552
Bahrain,BHR,1982,2195082
Bahrain,BHR,1983,2086475
Bahrain,BHR,1984,2088661
Bahrain,BHR,1985,2090301
Bahrain,BHR,1986,2115710
Bahrain,BHR,1987,2099590
Bahrain,BHR,1988,2141257
Bahrain,BHR,1989,2128825
Bahrain,BHR,1990,2084000
Bahrain,BHR,1991,2100137
Bahrain,BHR,1992,6200000
Bahrain,BHR,1993,2032000
Bahrain,BHR,1994,2008000
Bahrain,BHR,1995,1975000
Bahrain,BHR,1996,1930000
Bahrain,BHR,1997,1934000
Bahrain,BHR,1998,1890000
Bahrain,BHR,1999,1870000
Bahrain,BHR,2000,1870000
Bahrain,BHR,2001,1860000
Bahrain,BHR,2002,1870000
Bahrain,BHR,2003,1870000
Bahrain,BHR,2004,1867000
Bahrain,BHR,2005,1822000
Bahrain,BHR,2006,1790000
Bahrain,BHR,2007,2294000
Bahrain,BHR,2008,2228000
Bahrain,BHR,2009,2191000
Bahrain,BHR,2010,2201000
Bahrain,BHR,2011,2778000
Bahrain,BHR,2012,2914000
Bahrain,BHR,2013,2996000
Bahrain,BHR,2014,3074000
Bahrain,BHR,2015,3157000
Bahrain,BHR,2016,3065000
Bahrain,BHR,2017,2807000
Bahrain,BHR,2018,2769000
Bahrain,BHR,2019,3178000
Bahrain,BHR,2020,3210000
Bahrain,BHR,2021,2993000
Bahrain,BHR,2022,2884000
Bahrain,BHR,2023,2800000
Bangladesh,BGD,2014,0
Bangladesh,BGD,2015,0
Bangladesh,BGD,2016,0
Bangladesh,BGD,2017,491300
Bangladesh,BGD,2018,617500
Bangladesh,BGD,2019,591800
Bangladesh,BGD,2020,600000
Bangladesh,BGD,2021,0
Bangladesh,BGD,2022,0
Bangladesh,BGD,2023,0
Barbados,BRB,1983,52095
Barbados,BRB,1984,87137
Barbados,BRB,1985,93219
Barbados,BRB,1986,76743
Barbados,BRB,1987,68181
Barbados,BRB,1988,58617
Barbados,BRB,1989,53430
Barbados,BRB,1990,62369
Barbados,BRB,1991,62382
Barbados,BRB,1992,65716
Barbados,BRB,1993,63471
Barbados,BRB,1994,63190
Barbados,BRB,1995,62750
Barbados,BRB,1996,49810
Barbados,BRB,1997,45004
Barbados,BRB,1998,79143
Barbados,BRB,1999,97113
Barbados,BRB,2000,76895
Barbados,BRB,2001,63642
Barbados,BRB,2002,53612
Barbados,BRB,2003,50899
Barbados,BRB,2004,51696
Barbados,BRB,2005,47861
Barbados,BRB,2006,47133
Barbados,BRB,2007,40253
Barbados,BRB,2008,39760
Barbados,BRB,2009,38030
Barbados,BRB,2010,42069
Barbados,BRB,2011,40179
Barbados,BRB,2012,37369
Barbados,BRB,2013,34923
Barbados,BRB,2014,32161
Barbados,BRB,2015,34239
Barbados,BRB,2016,31944
Barbados,BRB,2017,32046
Barbados,BRB,2018,30254
Barbados,BRB,2019,28733
Barbados,BRB,2020,23736
Barbados,BRB,2021,20899
Barbados,BRB,2022,19254
Barbados,BRB,2023,20000
Belarus,BLR,1992,2000500
Belarus,BLR,1993,2005300
Belarus,BLR,1994,2000200
Belarus,BLR,1995,1932100
Belarus,BLR,1996,1860300
Belarus,BLR,1997,1822000
Belarus,BLR,1998,1830000
Belarus,BLR,1999,1840000
Belarus,BLR,2000,1851000
Belarus,BLR,2001,1852000
Belarus,BLR,2002,1846000
Belarus,BLR,2003,1820400
Belarus,BLR,2004,1804040
Belarus,BLR,2005,1785020
Belarus,BLR,2006,1780040
Belarus,BLR,2007,1760020
Belarus,BLR,2008,1740020
Belarus,BLR,2009,1720010
Belarus,BLR,2010,1700140
Belarus,BLR,2011,1681470
Belarus,BLR,2012,1660000
Belarus,BLR,2013,1645000
Belarus,BLR,2014,1645000
Belarus,BLR,2015,1645000
Belarus,BLR,2016,1645000
Belarus,BLR,2017,1650000
Belarus,BLR,2018,1670000
Belarus,BLR,2019,1690000
Belarus,BLR,2020,1710000
Belarus,BLR,2021,1737000
Belarus,BLR,2022,1590000
Belarus,BLR,2023,1494000
Benin,BEN,1981,0
Benin,BEN,1982,0
Benin,BEN,1983,250000
Benin,BEN,1984,400000
Benin,BEN,1985,350000
Benin,BEN,1986,350000
Benin,BEN,1987,350000
Benin,BEN,1988,238600
Benin,BEN,1989,192000
Benin,BEN,1990,206100
Benin,BEN,1991,202300
Benin,BEN,1993,194000
Benin,BEN,1994,192000
Benin,BEN,1995,124000
Benin,BEN,1996,200000
Benin,BEN,1997,150000
Benin,BEN,1998,150000
Bolivia,BOL,1970,1279000
Bolivia,BOL,1971,1950000
Bolivia,BOL,1972,1975000
Bolivia,BOL,1973,2135000
Bolivia,BOL,1974,2054000
Bolivia,BOL,1975,1822000
Bolivia,BOL,1976,2155000
Bolivia,BOL,1977,1838000
Bolivia,BOL,1978,1718000
Bolivia,BOL,1979,1476000
Bolivia,BOL,1980,1262000
Bolivia,BOL,1981,1173500
Bolivia,BOL,1982,1293400
Bolivia,BOL,1983,1174800
Bolivia,BOL,1984,1104800
Bolivia,BOL,1985,1050800
Bolivia,BOL,1986,930400
Bolivia,BOL,1987,1000800
Bolivia,BOL,1988,840470
Bolivia,BOL,1989,868306
Bolivia,BOL,1990,973000
Bolivia,BOL,1991,1034000
Bolivia,BOL,1992,985000
Bolivia,BOL,1993,1071000
Bolivia,BOL,1994,1190390
Bolivia,BOL,1995,1312945
Bolivia,BOL,1996,1355452
Bolivia,BOL,1997,1398500
Bolivia,BOL,1998,1602357
Bolivia,BOL,1999,1355157
Bolivia,BOL,2000,1282403
Bolivia,BOL,2001,1449570
Bolivia,BOL,2002,1438604
Bolivia,BOL,2003,1551000
Bolivia,BOL,2004,1891000
Bolivia,BOL,2005,1957000
