Entity,Code,Year,unit value|Rare earths|Mine|constant 1998 US$ per tonne
World,OWID_WRL,1961,446
World,OWID_WRL,1962,1840
World,OWID_WRL,1963,1700
World,OWID_WRL,1964,2030
World,OWID_WRL,1965,2510
World,OWID_WRL,1966,1430
World,OWID_WRL,1967,2740
World,OWID_WRL,1968,1880
World,OWID_WRL,1969,1870
World,OWID_WRL,1970,1730
World,OWID_WRL,1971,4190
World,OWID_WRL,1972,14400
World,OWID_WRL,1973,7890
World,OWID_WRL,1974,10100
World,OWID_WRL,1975,6210
World,OWID_WRL,1976,12500
World,OWID_WRL,1977,6990
World,OWID_WRL,1978,6250
World,OWID_WRL,1979,10300
World,OWID_WRL,1980,3880
World,OWID_WRL,1981,3350
World,OWID_WRL,1982,3990
World,OWID_WRL,1983,4620
World,OWID_WRL,1984,3730
World,OWID_WRL,1985,3320
World,OWID_WRL,1986,5710
World,OWID_WRL,1987,5700
World,OWID_WRL,1988,3070
World,OWID_WRL,1989,8910
World,OWID_WRL,1990,11200
World,OWID_WRL,1991,11300
World,OWID_WRL,1992,11700
World,OWID_WRL,1993,10200
World,OWID_WRL,1994,8780
World,OWID_WRL,1995,8780
World,OWID_WRL,1996,7430
World,OWID_WRL,1997,8670
World,OWID_WRL,1998,8900
World,OWID_WRL,1999,6260
World,OWID_WRL,2000,6110
World,OWID_WRL,2001,5330
World,OWID_WRL,2002,6800
World,OWID_WRL,2003,5450
World,OWID_WRL,2004,7410
World,OWID_WRL,2005,5500
World,OWID_WRL,2006,3150
World,OWID_WRL,2007,4160
World,OWID_WRL,2008,10300
World,OWID_WRL,2009,7100
World,OWID_WRL,2010,14500
World,OWID_WRL,2011,42100
World,OWID_WRL,2012,36300
World,OWID_WRL,2013,13400
World,OWID_WRL,2014,10500
World,OWID_WRL,2015,10200
World,OWID_WRL,2016,7200
World,OWID_WRL,2017,7650
World,OWID_WRL,2018,5750
World,OWID_WRL,2019,3880
World,OWID_WRL,2020,3230
