Entity,Code,Year,production|Cadmium|Refinery|tonnes
Australia,AUS,2020,348
Australia,AUS,2021,402
Australia,AUS,2022,328
Australia,AUS,2023,900
Australia,AUS,2024,900
Bulgaria,BGR,2021,310
Bulgaria,BGR,2022,340
Bulgaria,BGR,2023,310
Bulgaria,BGR,2024,300
Canada,CAN,2020,1800
Canada,CAN,2021,1800
Canada,CAN,2022,1800
Canada,CAN,2023,1800
Canada,CAN,2024,1700
China,CHN,2020,10000
China,CHN,2021,10000
China,CHN,2022,8700
China,CHN,2023,9300
China,CHN,2024,9300
Germany,DEU,2020,450
Germany,DEU,2021,417
Germany,DEU,2022,320
Germany,DEU,2024,170
Japan,JPN,2020,1880
Japan,JPN,2021,1900
Japan,JPN,2022,1800
Japan,JPN,2023,1800
Japan,JPN,2024,1700
Kazakhstan,KAZ,2020,1500
Kazakhstan,KAZ,2021,1200
Kazakhstan,KAZ,2022,1000
Kazakhstan,KAZ,2023,1000
Kazakhstan,KAZ,2024,1000
Mexico,MEX,2020,978
Mexico,MEX,2021,859
Mexico,MEX,2022,1170
Mexico,MEX,2023,1020
Mexico,MEX,2024,1200
Netherlands,NLD,2020,880
Netherlands,NLD,2021,854
Netherlands,NLD,2022,574
Netherlands,NLD,2023,726
Netherlands,NLD,2024,400
Norway,NOR,2020,400
Norway,NOR,2021,350
Norway,NOR,2022,420
Norway,NOR,2023,420
Norway,NOR,2024,350
Other,,2020,520
Peru,PER,2020,700
Peru,PER,2021,600
Peru,PER,2022,460
Peru,PER,2023,494
Peru,PER,2024,620
Poland,POL,2021,500
Poland,POL,2022,250
Poland,POL,2023,250
Poland,POL,2024,250
Russia,RUS,2020,1000
Russia,RUS,2021,1000
Russia,RUS,2022,1000
Russia,RUS,2023,1000
Russia,RUS,2024,800
South Korea,KOR,2020,3000
South Korea,KOR,2021,4000
South Korea,KOR,2022,4000
South Korea,KOR,2023,4500
South Korea,KOR,2024,4500
United States,USA,1900,0
United States,USA,1901,0
United States,USA,1902,0
United States,USA,1903,0
United States,USA,1904,0
United States,USA,1905,0
United States,USA,1906,0.136
United States,USA,1907,6.35
United States,USA,1908,3.63
United States,USA,1909,2.41
United States,USA,1910,2.13
United States,USA,1911,11.9
United States,USA,1912,23.8
United States,USA,1913,24.6
United States,USA,1914,41.5
United States,USA,1915,41.5
United States,USA,1916,61.4
United States,USA,1917,94.1
United States,USA,1918,57.7
United States,USA,1919,45.3
United States,USA,1920,58.7
United States,USA,1921,31.1
United States,USA,1922,59.7
United States,USA,1923,83.4
United States,USA,1924,58.7
United States,USA,1925,228
United States,USA,1926,368
United States,USA,1927,488
United States,USA,1928,851
United States,USA,1929,1130
United States,USA,1930,1260
United States,USA,1931,477
United States,USA,1932,363
United States,USA,1933,1030
United States,USA,1934,1260
United States,USA,1935,1580
United States,USA,1936,1650
United States,USA,1937,1940
United States,USA,1938,1950
United States,USA,1939,2170
United States,USA,1940,2890
United States,USA,1941,3280
United States,USA,1942,3340
United States,USA,1943,3840
United States,USA,1944,3980
United States,USA,1945,3800
United States,USA,1946,2940
United States,USA,1947,3860
United States,USA,1948,3530
United States,USA,1949,3730
United States,USA,1950,4170
United States,USA,1951,3770
United States,USA,1952,3890
United States,USA,1953,4430
United States,USA,1954,4330
United States,USA,1955,4420
United States,USA,1956,4810
United States,USA,1957,4790
United States,USA,1958,4390
United States,USA,1959,3900
United States,USA,1960,4740
United States,USA,1961,4750
United States,USA,1962,5050
United States,USA,1963,4530
United States,USA,1964,4740
United States,USA,1965,4390
United States,USA,1966,4750
United States,USA,1967,3950
United States,USA,1968,4830
United States,USA,1969,5740
United States,USA,1970,4290
United States,USA,1971,3600
United States,USA,1972,3760
United States,USA,1973,3400
United States,USA,1974,3020
United States,USA,1975,1990
