Entity,Code,Year,unit value|Silver|Mine|constant 1998 US$ per tonne
World,OWID_WRL,1900,390000
World,OWID_WRL,1901,380000
World,OWID_WRL,1902,320000
World,OWID_WRL,1903,320000
World,OWID_WRL,1904,340000
World,OWID_WRL,1905,360000
World,OWID_WRL,1906,390000
World,OWID_WRL,1907,370000
World,OWID_WRL,1908,310000
World,OWID_WRL,1909,300000
World,OWID_WRL,1910,300000
World,OWID_WRL,1911,300000
World,OWID_WRL,1912,340000
World,OWID_WRL,1913,323000
World,OWID_WRL,1914,294000
World,OWID_WRL,1915,264000
World,OWID_WRL,1916,322000
World,OWID_WRL,1917,344000
World,OWID_WRL,1918,340000
World,OWID_WRL,1919,340000
World,OWID_WRL,1920,267000
World,OWID_WRL,1921,184000
World,OWID_WRL,1922,212000
World,OWID_WRL,1923,199000
World,OWID_WRL,1924,205000
World,OWID_WRL,1925,207000
World,OWID_WRL,1926,183000
World,OWID_WRL,1927,171000
World,OWID_WRL,1928,178000
World,OWID_WRL,1929,162000
World,OWID_WRL,1930,120000
World,OWID_WRL,1931,99900
World,OWID_WRL,1932,107000
World,OWID_WRL,1933,141000
World,OWID_WRL,1934,188000
World,OWID_WRL,1935,245000
World,OWID_WRL,1936,170000
World,OWID_WRL,1937,164000
World,OWID_WRL,1938,160000
World,OWID_WRL,1939,147000
World,OWID_WRL,1940,131000
World,OWID_WRL,1941,125000
World,OWID_WRL,1942,122000
World,OWID_WRL,1943,136000
World,OWID_WRL,1944,134000
World,OWID_WRL,1945,152000
World,OWID_WRL,1946,214000
World,OWID_WRL,1947,169000
World,OWID_WRL,1948,161000
World,OWID_WRL,1949,159000
World,OWID_WRL,1950,161000
World,OWID_WRL,1951,179000
World,OWID_WRL,1952,168000
World,OWID_WRL,1953,167000
World,OWID_WRL,1954,166000
World,OWID_WRL,1955,174000
World,OWID_WRL,1956,175000
World,OWID_WRL,1957,170000
World,OWID_WRL,1958,162000
World,OWID_WRL,1959,163000
World,OWID_WRL,1960,161000
World,OWID_WRL,1961,162000
World,OWID_WRL,1962,189000
World,OWID_WRL,1963,219000
World,OWID_WRL,1964,218000
World,OWID_WRL,1965,215000
World,OWID_WRL,1966,208000
World,OWID_WRL,1967,243000
World,OWID_WRL,1968,323000
World,OWID_WRL,1969,255900
World,OWID_WRL,1970,238900
World,OWID_WRL,1971,200600
World,OWID_WRL,1972,210500
World,OWID_WRL,1973,301900
World,OWID_WRL,1974,500600
World,OWID_WRL,1975,430500
World,OWID_WRL,1976,400500
World,OWID_WRL,1977,399600
World,OWID_WRL,1978,433800
World,OWID_WRL,1979,800900
World,OWID_WRL,1980,1312000
World,OWID_WRL,1981,606200
World,OWID_WRL,1982,431700
World,OWID_WRL,1983,601900
World,OWID_WRL,1984,410800
World,OWID_WRL,1985,299200
World,OWID_WRL,1986,261500
World,OWID_WRL,1987,323300
World,OWID_WRL,1988,289300
World,OWID_WRL,1989,232500
World,OWID_WRL,1990,193300
World,OWID_WRL,1991,155400
World,OWID_WRL,1992,147200
World,OWID_WRL,1993,156000
World,OWID_WRL,1994,187000
World,OWID_WRL,1995,177100
World,OWID_WRL,1996,173400
World,OWID_WRL,1997,159700
World,OWID_WRL,1998,178000
World,OWID_WRL,1999,165000
World,OWID_WRL,2000,152000
World,OWID_WRL,2001,130000
World,OWID_WRL,2002,135000
World,OWID_WRL,2003,140000
World,OWID_WRL,2004,186000
World,OWID_WRL,2005,197000
World,OWID_WRL,2006,302000
World,OWID_WRL,2007,339000
World,OWID_WRL,2008,365000
World,OWID_WRL,2009,359000
World,OWID_WRL,2010,481000
World,OWID_WRL,2011,819000
World,OWID_WRL,2012,710000
World,OWID_WRL,2013,537000
World,OWID_WRL,2014,423000
World,OWID_WRL,2015,348000
World,OWID_WRL,2016,374000
World,OWID_WRL,2017,365000
World,OWID_WRL,2018,328000
World,OWID_WRL,2019,326000
World,OWID_WRL,2020,416000
World,OWID_WRL,2021,488000
