"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"IMF.FAD:ICSD(1.0.0)","HND.P51G_S13_Q_POGDP_PT.A","OBS_VALUE","Honduras","Gross fixed capital formation, General government, Constant prices, Percent of GDP","Annual","Units","12.75631207","13.02665826","13.02345129","13.61613353","13.54625699","12.57449409","12.5177297","12.50739907","12.14132248","13.09822782","14.57537177","12.17027411","10.03641063","12.53410936","14.99776804","16.54634712","15.08891553","16.36387921","19.38672325","17.25524653","19.19996213","12.70253987","10.46098835","10.37795187","12.45426734","10.44544991","6.887360364","6.07746865","6.132605756","6.702712056","6.718511147","7.153029919","9.696244941","13.05128134","11.24867945","10.03757511","9.018880207","7.193509213","5.572898472","6.673004104","5.897042815","5.978992323","3.66993824","5.059121759","6.057588923","4.594796543","3.941274821","4.007818719","4.110675253","3.889433566","3.243164683","3.278091657","2.86366318","3.710152231","2.910117755","2.557572857","3.082347766","3.801338011","3.696413286","3.400801786"
"IMF.FAD:ICSD(1.0.0)","GMB.P51G_PS_Q_POGDP_PT.A","OBS_VALUE","Gambia, The","Gross fixed capital formation, Private sector, Constant prices, Percent of GDP","Annual","Units","2.46508623","2.721013845","2.778717596","2.85606988","2.668934764","2.518139899","2.587320031","2.690812671","2.687713175","2.708343918","3.804694733","4.41539932","1.821425287","2.089420695","1.490068678","2.090604157","4.041007636","4.627317406","3.776179976","4.043763768","4.367604227","2.541620953","2.016326142","2.735425375","2.812752107","2.420851666","1.834168446","3.636313943","5.597400679","5.909269246","5.403378413","5.626210007","6.857691156","5.809936681","4.90746634","5.484141858","5.886159074","4.749735524","5.062643811","4.925305689","4.775288564","6.880007478","12.5179079","7.199502213","4.892891244","4.550569126","4.88515838","5.474298672","4.682510308","3.868215297","3.380725274","3.670094774","3.83011448","4.440722619","4.654298035","6.195676023","7.863171244","5.505052776","5.919425648","6.30090334"
"IMF.FAD:ICSD(1.0.0)","MRT.P51G_PUPVT_Q_POGDP_PT.A","OBS_VALUE","Mauritania, Islamic Republic of","Gross fixed capital formation, Public private partnership, Constant prices, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.194247499","0.182304357","0.16991931","0.173352217","0.183410474","0","0","0.434213797"
"IMF.FAD:ICSD(1.0.0)","ARG.P51G_S13_Q_POGDP_PT.A","OBS_VALUE","Argentina","Gross fixed capital formation, General government, Constant prices, Percent of GDP","Annual","Units","1.306319302","1.31575726","1.359688154","1.46797977","1.416597794","1.349153898","1.399816075","1.416332105","1.400636527","1.33435647","1.370146219","1.427186132","1.41405337","1.26446999","1.24786093","1.257479551","1.388900592","1.578319412","1.422104765","1.418987544","1.473372362","1.324263688","1.095058494","1.055777977","0.99217306","0.916235097","0.949480745","1.045794729","1.028866519","0.867592157","0.745613002","0.887848913","1.074533722","0.916645658","1.253787114","1.295047002","1.218360234","1.302014358","1.2831199","1.174070357","0.922630663","0.901515433","0.48831542","0.786681353","1.273041491","1.574696345","1.888698789","2.100422621","2.09642827","2.32825372","2.382359571","2.495679338","2.254369757","2.51343019","2.541412395","2.551094374","2.504813118","2.666862618","2.440962998","1.864936371"
"IMF.FAD:ICSD(1.0.0)","IRL.P51G_PS_Q_POGDP_PT.A","OBS_VALUE","Ireland","Gross fixed capital formation, Private sector, Constant prices, Percent of GDP","Annual","Units","12.74088256","14.1840846","15.81546353","16.89513375","17.84997887","19.26928512","18.54070765","18.57779568","19.64600281","22.53816534","21.22472699","22.35381814","22.88812408","25.23887349","20.41901881","18.78298746","22.25457083","21.28757926","23.92735248","26.34013252","23.87063584","25.41590694","23.30572304","20.84426362","19.51129159","16.97721001","16.73075619","16.59169581","17.61555779","18.4412282","18.42223848","16.5174459","16.04573802","14.46538352","15.38902347","16.38462781","17.91386655","18.95715136","19.52981619","20.21277293","19.06932513","18.63769492","18.61391728","19.91297327","20.95518743","23.52096519","23.86484636","21.76390295","19.10079368","17.45801869","14.1851095","14.69399487","17.67896032","16.88942662","18.36673334","22.50867572","33.56045143","31.58258159","26.50258829","45.15392683"
"IMF.FAD:ICSD(1.0.0)","RWA.P51G_PS_Q_POGDP_PT.A","OBS_VALUE","Rwanda","Gross fixed capital formation, Private sector, Constant prices, Percent of GDP","Annual","Units","0.574497751","0.620735906","0.609967269","0.702593158","0.824669272","0.825032118","0.854042795","0.793889111","0.805056406","0.744462296","0.471891332","0.611358027","0.84260719","0.830872088","0.92200483","1.271022553","1.0693446","1.057363275","0.929626661","1.0557184","0.959037391","0.897842538","1.213165399","1.311634201","2.010376223","1.73516338","1.545007785","1.516842119","1.044160079","0.335357137","0.264316842","1.275227167","2.035021929","0.882022807","1.160605998","0.114374095","0.70542194","0.646112333","0.00060114268891865","0.492185228","2.509681726","2.865660841","2.886928083","4.221632953","3.827838332","3.789532591","4.613146045","5.091891929","6.754447007","6.608434605","6.115437042","5.757680019","7.050829916","6.443453357","6.842425048","7.984044496","9.218121759","6.829572724","6.31160305","7.831898712"
"IMF.FAD:ICSD(1.0.0)","RWA.P51G_PUPVT_Q_POGDP_PT.A","OBS_VALUE","Rwanda","Gross fixed capital formation, Public private partnership, Constant prices, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.228638575","0.169630781","0.152229346","0.173526487","0.385817487","0.256145133","0.245487383","0.325231815","0.301665048","0.0905281026700795","0.586826176","0.543822493","0.456552648"
"IMF.FAD:ICSD(1.0.0)","PER.P51G_PS_Q_POGDP_PT.A","OBS_VALUE","Peru","Gross fixed capital formation, Private sector, Constant prices, Percent of GDP","Annual","Units","13.57130978","13.14396087","12.61546835","12.65245967","12.34371215","12.23379862","11.73687972","11.76103593","12.18821587","12.302706","9.763663513","10.74755686","9.521146746","13.19139129","13.15773437","10.83081813","9.218981232","9.379914193","9.396855944","10.236128","13.2152908","15.05787347","13.37299173","8.322304606","7.254874484","6.627573198","9.044015071","10.68085369","10.89259359","9.425635186","10.21927102","10.25479827","9.837566674","10.38007036","12.87292284","14.54069638","13.84528613","15.06843913","14.80912601","12.43553941","11.93436078","11.35333389","10.9102801","11.10875793","11.4011716","11.86574069","13.10364717","14.85994422","17.1391559","15.21345633","17.3350344","18.71623199","20.04173706","19.78504517","18.9861522","17.2778612","15.73431224","15.56661779","15.63366443","15.93842789"
"IMF.FAD:ICSD(1.0.0)","DNK.P51G_S13_Q_POGDP_PT.A","OBS_VALUE","Denmark","Gross fixed capital formation, General government, Constant prices, Percent of GDP","Annual","Units","10.43453257","10.18585512","9.980907269","10.25749128","9.834823531","9.829336614","9.860121726","9.717132788","9.574157375","9.348599954","9.569730583","11.3843773","10.63176651","8.984154008","8.787808747","8.522748232","8.15895027","7.825447477","7.613232154","7.562193247","6.37799592","5.189715823","4.249011654","3.64042322","3.543064859","3.948501729","3.759453073","3.850141887","4.084907","3.610157392","3.114634961","2.869636763","3.202428619","3.134425543","3.162303482","3.316941693","3.448422539","3.21861341","2.96378571","2.945087733","3.020063289","3.172928275","2.889291252","2.779306589","2.907849099","2.691976864","2.848345864","3.069456224","3.02092703","3.196742958","3.352998887","3.440138279","3.698599176","3.638140859","3.82575318","3.606158079","3.702080356","3.321826816","3.332357884","3.248490187"
"IMF.FAD:ICSD(1.0.0)","AGO.P51G_S13_Q_POGDP_PT.A","OBS_VALUE","Angola","Gross fixed capital formation, General government, Constant prices, Percent of GDP","Annual","Units","","","","","","","","","","","7.818940692","7.812208897","7.83991611","7.848376976","7.842670141","7.751530788","7.778545572","7.978455057","7.890681845","7.81413555","7.29583571","7.74740882","8.789433822","7.296241122","7.276336385","5.570978161","4.642210576","4.808476697","3.719841667","3.065418971","3.320503623","7.39268402","12.68736493","13.01710752","12.65409921","13.74345143","25.14930198","8.925938649","10.64928549","22.47234152","4.859004206","4.193825372","3.849586808","5.065725046","3.61669095","3.951210886","11.56022681","10.15083055","12.46782384","9.144597999","10.18261101","9.742901867","11.17716533","10.93228447","10.14502203","4.645731821","3.49788887","5.232781947","3.919760181","3.094679124"
"IMF.FAD:ICSD(1.0.0)","ARG.P51G_PUPVT_Q_POGDP_PT.A","OBS_VALUE","Argentina","Gross fixed capital formation, Public private partnership, Constant prices, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0.146509154","0.141112318","0.377575717","0.71057009","0.793692617","0.849890651","0.898246698","0.808988228","0.650288897","0.756746806","0.725728643","0.725072326","1.22071725","0.636497841","0.245532377","0.0982507542024502","0.0958536712147309","0.118164157","0.125016827","0.137835447","0.118976044","0.091504897","0.0719337167004706","0.0707715614560744","0.0662574288556053","0.0558261059302294","0.0466689058054889","0.0534224255934259","0.0699999879711696","0.128136335"
