Country,Country Code,Year,PC1,PC2,Cluster,ClusterLabels,hover_text
Albania,ALB,1995.0,-0.7062676337120983,-0.3887208852441423,0,Forestry Intensive,"<b>Albania</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $65,172,131<br>  Copper: $11,132,500<br>  Coal: $4,134,025"
Algeria,DZA,1995.0,4.190153397281598,-1.0744420254336275,3,Oil Exporters,"<b>Algeria</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $8,133,647,870<br>  Natural Gas: $3,798,226,825<br>  Zinc: $4,428,000"
Angola,AGO,1995.0,1.484099183399769,-1.79443958450799,3,Oil Exporters,"<b>Angola</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $3,930,715,683"
Argentina,ARG,1995.0,3.4000622794219315,-0.4374188008211396,3,Oil Exporters,"<b>Argentina</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $4,707,484,059<br>  Natural Gas: $1,502,347,957<br>  Aluminium: $374,623,140"
Azerbaijan,AZE,1995.0,3.3960837783494564,-1.0401174927275174,3,Oil Exporters,"<b>Azerbaijan</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $1,149,476,883<br>  Natural Gas: $398,091,965<br>  Aluminium: $22,220,000"
Bahrain,BHR,1995.0,6.89134047087166,-0.0118322653262617,2,Petrostates,"<b>Bahrain</b><br>Cluster: 2<br><br>Top Resources:<br>  Aluminium: $916,843,660<br>  Natural Gas: $466,077,121<br>  Oil: $247,117,223"
Belarus,BLR,1995.0,-0.5045186906740995,-1.6448139129195376,0,Forestry Intensive,"<b>Belarus</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $241,749,462"
Benin,BEN,1995.0,-2.08960604135098,-1.525550296483501,0,Forestry Intensive,"<b>Benin</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $15,515,208"
Bolivia,BOL,1995.0,1.133083421632291,1.3275780248233786,1,Major Producers,"<b>Bolivia</b><br>Cluster: 1<br><br>Top Resources:<br>  Natural Gas: $187,984,285<br>  Zinc: $179,741,130<br>  Gold: $178,622,000"
Bosnia and Herzegovina,BIH,1995.0,-3.2323086531773946,0.3510871248925387,0,Forestry Intensive,"<b>Bosnia and Herzegovina</b><br>Cluster: 0<br><br>Top Resources:<br>  Coal: $64,569,533<br>  Bauxite: $1,762,500"
