Country,Country Code,Year,PC1,PC2,Cluster,ClusterLabels,hover_text
Albania,ALB,1995.0,-0.4908277165584359,-0.2711269198939281,0,Forestry Intensive,"<b>Albania</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $280,198,674<br>  Copper: $19,062,450<br>  Coal: $5,943,474"
Algeria,DZA,1995.0,4.34740560778626,-1.1533668703407522,3,Oil Exporters,"<b>Algeria</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $56,902,879,951<br>  Natural Gas: $33,994,688,278<br>  Zinc: $13,828,880"
Angola,AGO,1995.0,1.666383075174635,-1.7160896413056943,3,Oil Exporters,"<b>Angola</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $34,071,424,521"
Argentina,ARG,1995.0,3.5763639582301243,-0.499652916649448,3,Oil Exporters,"<b>Argentina</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $26,946,862,954<br>  Natural Gas: $16,165,330,712<br>  Aluminium: $1,119,798,090"
Azerbaijan,AZE,1995.0,3.555116200187947,-1.0976174689202125,3,Oil Exporters,"<b>Azerbaijan</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $11,831,582,369<br>  Natural Gas: $2,349,283,061<br>  Aluminium: $77,077,300"
Bahrain,BHR,1995.0,7.045745785317344,-0.2496704086487374,1,Petrostates,"<b>Bahrain</b><br>Cluster: 1<br><br>Top Resources:<br>  Natural Gas: $3,941,490,285<br>  Aluminium: $2,883,103,410<br>  Oil: $1,224,628,037"
Belarus,BLR,1995.0,-0.3343824950163146,-1.5333173667535047,0,Forestry Intensive,"<b>Belarus</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $1,200,471,362"
Benin,BEN,1995.0,-1.9291525301878252,-1.3876332591005789,0,Forestry Intensive,"<b>Benin</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $15,515,208"
Bolivia,BOL,1995.0,1.3577001065573582,1.3609403585154314,2,Major Producers,"<b>Bolivia</b><br>Cluster: 2<br><br>Top Resources:<br>  Natural Gas: $3,478,288,287<br>  Oil: $1,127,882,451<br>  Zinc: $587,095,370"
Bosnia and Herzegovina,BIH,1995.0,-3.0083942733374736,0.5137182416992433,0,Forestry Intensive,"<b>Bosnia and Herzegovina</b><br>Cluster: 0<br><br>Top Resources:<br>  Coal: $717,250,593<br>  Aluminium: $318,326,980<br>  Bauxite: $27,243,020"
Botswana,BWA,1995.0,-3.0706052045115104,2.5228442129136273,4,Mining Exporters,"<b>Botswana</b><br>Cluster: 4<br><br>Top Resources:<br>  Copper: $199,418,530<br>  Coal: $109,894,410<br>  Gold: $38,738,700"
Brazil,BRA,1995.0,0.9054099876622884,1.6977671548847812,2,Major Producers,"<b>Brazil</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $45,809,104,025<br>  Iron ore: $18,002,791,579<br>  Aluminium: $6,675,386,000"
Burkina Faso,BFA,1995.0,-2.9764959605081844,-0.8795965076073989,0,Forestry Intensive,"<b>Burkina Faso</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $44,827,500"
Cameroon,CMR,1995.0,0.7416169689169494,-1.1369375316187558,3,Oil Exporters,"<b>Cameroon</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $2,993,639,851<br>  Aluminium: $432,856,200<br>  Gold: $24,524,000"
Chad,TCD,1999.0,-2.9480815980694928,-1.294552897203758,0,Forestry Intensive,"<b>Chad</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $3,648,102,312"
China,CHN,1995.0,-0.091593596141407,2.509472077289176,2,Major Producers,"<b>China</b><br>Cluster: 2<br><br>Top Resources:<br>  Coal: $200,014,057,317<br>  Oil: $112,167,685,392<br>  Aluminium: $20,801,452,000"
Colombia,COL,1995.0,1.8593301340985529,1.687794207974166,2,Major Producers,"<b>Colombia</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $19,637,984,968<br>  Coal: $4,899,029,652<br>  Natural Gas: $2,457,561,032"
"Congo, Dem. Rep.",COD,1995.0,-1.6364613221621926,-0.580095628303095,0,Forestry Intensive,"<b>Congo, Dem. Rep.</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $2,334,442,642<br>  Cobalt: $1,156,461,000<br>  Copper: $534,181,900"
"Congo, Rep.",COG,1995.0,1.948584695964008,-1.7418690893741966,3,Oil Exporters,"<b>Congo, Rep.</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $7,773,823,220<br>  Gold: $500,500"
Cote d'Ivoire,CIV,1995.0,-1.6458052112368489,-1.0020496308497262,0,Forestry Intensive,"<b>Cote d'Ivoire</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $1,025,943,251<br>  Gold: $74,182,400"
Dominican Republic,DOM,1995.0,-2.9974943539593073,-0.4576193954111246,0,Forestry Intensive,"<b>Dominican Republic</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $46,630,200<br>  Bauxite: $13,203,509<br>  Silver: $4,027,616"
Ecuador,ECU,1995.0,1.3550708369497917,-0.7522018152321139,3,Oil Exporters,"<b>Ecuador</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $15,592,212,376<br>  Gold: $186,451,400<br>  Silver: $66,788"
