Country Code,total_cells,knn_filled,knn_reliance_pct
AFG,900,311,34.56
TKM,900,270,30.0
LBY,900,237,26.33
PNG,900,230,25.56
GNQ,900,212,23.56
LBR,900,178,19.78
UZB,900,170,18.89
ARE,900,165,18.33
TCD,900,150,16.67
QAT,900,143,15.89
MMR,900,136,15.11
VEN,900,132,14.67
KAZ,900,128,14.22
MWI,900,127,14.11
GIN,900,125,13.89
ZWE,900,125,13.89
YEM,900,123,13.67
ETH,900,120,13.33
GAB,900,109,12.11
ECU,900,107,11.89
NPL,900,106,11.78
CMR,900,106,11.78
COG,900,105,11.67
TUN,900,100,11.11
GHA,900,100,11.11
SAU,900,100,11.11
IRN,900,99,11.0
IRQ,900,98,10.89
COD,900,88,9.78
LAO,900,88,9.78
ZMB,900,87,9.67
MRT,900,85,9.44
TGO,900,82,9.11
OMN,900,81,9.0
KWT,900,80,8.89
CIV,900,80,8.89
SWZ,900,78,8.67
MLI,900,76,8.44
JAM,900,75,8.33
NGA,900,75,8.33
SEN,900,74,8.22
MDG,900,74,8.22
NER,900,70,7.78
BIH,900,70,7.78
MOZ,900,70,7.78
PAK,900,68,7.56
NIC,900,67,7.44
UGA,900,66,7.33
BHR,900,66,7.33
AGO,900,65,7.22
RWA,900,65,7.22
IDN,900,64,7.11
VNM,900,64,7.11
CHN,900,64,7.11
UKR,900,63,7.0
KEN,900,61,6.78
DOM,900,59,6.56
ZAF,900,56,6.22
HND,900,56,6.22
GTM,900,56,6.22
PER,900,56,6.22
EGY,900,55,6.11
MNG,900,55,6.11
MYS,900,55,6.11
ARG,900,53,5.89
KHM,900,50,5.56
AZE,900,50,5.56
TZA,900,50,5.56
IND,900,50,5.56
MEX,900,50,5.56
COL,900,50,5.56
BLR,900,44,4.89
DZA,900,31,3.44
BFA,900,30,3.33
BEN,900,22,2.44
BWA,900,14,1.56
ALB,900,14,1.56
BRA,900,13,1.44
BOL,900,0,0.0
