feature,short,cat,r
Political corruption index,Pol. Corruption,Governance,-0.5023521464521158
Agriculture,Agriculture,Macro & Structure,-0.48348897145719805
Total natural resources rents (% of GDP),NR Rents,Resource Rents,-0.418534466016765
Oil rents (% of GDP),Oil Rents,Resource Rents,-0.2541513316579011
Mineral rents (% of GDP),Mineral Rents,Resource Rents,-0.22138928180823622
Lending interest rate (%),Lending Rate,Finance & Investment,-0.1578567770800567
Capital depreciation rate,Depreciation,Finance & Investment,-0.13425433906733356
"Inflation, consumer prices (annual %)",Inflation,Finance & Investment,-0.07260756834688423
"Death rates, crude per 1000 people",Death Rates,Human Capital & Infra,-0.06594477144919188
Landlocked,Landlocked,Macro & Structure,-0.050403390210039645
Natural gas rents (% of GDP),Gas Rents,Resource Rents,-0.050145733178643306
Real interest rate (%),Interest Rate,Finance & Investment,-0.046991632621497935
"Primary net lending, General government, Percent of GDP",Primary Lending,Governance,-0.036511588242908205
Industry,Industry,Macro & Structure,-0.03346041423964226
Adjusted savings: gross savings (% of GNI),Savings,Finance & Investment,0.007799519351148746
Share of investment in GDP,Investment Share,Finance & Investment,0.1704776032870721
Urban population (% of total population),Urban Population,Macro & Structure,0.19653296677202584
"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,Finance & Investment,0.2402350069044631
Trade (% of GDP),Trade,Macro & Structure,0.2850290957317824
Mobile cellular subscriptions (per 100 people),Mobile Subs,Human Capital & Infra,0.30975133294315405
Government revenue,Gov Revenue,Governance,0.40035572097960487
Property rights,Property Rights,Governance,0.43150431552865953
Political stability — estimate,Political Stability,Governance,0.4713339555527087
Services,Services,Macro & Structure,0.47759895140433606
Rule of law index,Rule of Law,Governance,0.4907362578922216
Manufacturing,Manufacturing,Macro & Structure,0.5437202919368338
Domestic credit to private sector (% of GDP),Domestic Credit,Finance & Investment,0.5532824682006496
"GDP per capita (constant prices, PPP)",GDP per Capita,Macro & Structure,0.5695427512842027
"Life expectancy at birth, total (years)",Life Expectancy,Human Capital & Infra,0.5802912266968283
Access to electricity (% of population),Electricity Access,Human Capital & Infra,0.6041377773691897
Human capital index,Human Capital,Human Capital & Infra,0.6511378925100189
