feature,short,PC1,PC2,PC1_var,PC2_var
Total_Production_Value_Per_Capita,Production Value,0.26719434936258885,0.4878351963848093,0.2688332936075268,0.23137177512960314
Total natural resources rents (% of GDP),Total natural resources rents (% of GDP),0.5775366806089951,-0.008150596990163458,0.2688332936075268,0.23137177512960314
Oil rents (% of GDP),Oil rents (% of GDP),0.4995528640839372,0.2586729408087614,0.2688332936075268,0.23137177512960314
Natural gas rents (% of GDP),Natural gas rents (% of GDP),0.23251057572774061,0.2826018572768759,0.2688332936075268,0.23137177512960314
Mineral rents (% of GDP),Mineral rents (% of GDP),0.04539181734222424,-0.031925573799476026,0.2688332936075268,0.23137177512960314
Forestry rents (% of GDP),Forestry rents (% GDP),0.22154045284665225,-0.4349142829092877,0.2688332936075268,0.23137177512960314
"GDP per capita (constant prices, PPP)","GDP per capita (constant prices, PPP)",-0.1327750463589194,0.4540691584624168,0.2688332936075268,0.23137177512960314
Trade (% of GDP),Trade,0.004169330905755041,0.2953429500119054,0.2688332936075268,0.23137177512960314
Manufacturing,Manufacturing,-0.37884038198198583,0.215368651138737,0.2688332936075268,0.23137177512960314
Services,Services,-0.28131318805725136,0.2919165950595442,0.2688332936075268,0.23137177512960314
