Country Code,Country,ClusterLabels,PC1,PC2
AGO,Angola,Petrostates,3.9345240935538333,1.0045806187911899
ALB,Albania,Diversified Producers,-0.1693455014859685,-1.0349189232394624
ARE,United Arab Emirates,Petrostates,1.448225381539818,3.5864722926497796
ARG,Argentina,Diversified Producers,-1.4095986537554746,0.7815442476645427
ARM,Armenia,Diversified Producers,-1.1186095022195002,-0.3711253637675266
AZE,Azerbaijan,Petrostates,3.1531254405759936,1.7593847913596365
BFA,Burkina Faso,Mixed Producers 1,0.15169675336715582,-2.3443070524253757
BGD,Bangladesh,Diversified Producers,-1.108025966899304,-1.116411480514981
BGR,Bulgaria,Diversified Producers,-1.3556162461344656,0.8207094232744653
BHR,Bahrain,Oil Exporters,1.3348297686764383,4.364066437290542
BIH,Bosnia and Herzegovina,Diversified Producers,-0.7726866961046708,0.22659296877341853
BLR,Belarus,Diversified Producers,-1.397392580595432,0.23884156754436106
BOL,Bolivia,Diversified Producers,-0.4467821476063089,-0.025373151957265874
BRA,Brazil,Diversified Producers,-1.1968297870967253,0.07137883274567623
BWA,Botswana,Diversified Producers,-0.24254418224288823,-0.02404488770901627
CHL,Chile,Mining Exporters,-0.790428744275264,1.488486290105494
CHN,China,Diversified Producers,-0.5017767260703537,-0.559169542878852
CIV,Cote d'Ivoire,Diversified Producers,-0.9616384686388194,-0.6980845862714025
CMR,Cameroon,Diversified Producers,-0.1496582850758516,-0.7286051935624034
COD,"Congo, Dem. Rep.",Mining Exporters,2.927398275254885,-3.819496283610991
COG,"Congo, Rep.",Petrostates,3.5150157685007266,0.9545346599738425
COL,Colombia,Diversified Producers,-0.9159968763128329,0.6845091416467107
CRI,Costa Rica,Mixed Producers 1,-1.6264382859618653,0.019966046121176594
CZE,Czechia,Diversified Producers,-1.6286689614235705,2.1793727988530764
DOM,Dominican Republic,Mixed Producers 1,-1.610554042152329,-0.1358615044672967
DZA,Algeria,Oil Exporters,1.792870989055322,1.661829324774368
ECU,Ecuador,Diversified Producers,-0.4676615977801661,0.332645118262692
EGY,"Egypt, Arab Rep.",Diversified Producers,-0.051000618265692334,0.2578740857080704
EST,Estonia,Diversified Producers,-1.0900030095948074,1.274888808064046
ETH,Ethiopia,Mixed Producers 1,2.2845542508415098,-4.177331679813752
