feature,short,coef,ci_lo,ci_hi,se
log_HCI,Human Capital,0.1870895152023019,0.05689041007456594,0.3172886203300379,0.06642811486108978
log_GFCF,Capital Formation,0.019658086102929642,0.006451388833146263,0.03286478337271302,0.006738110851930296
Political stability — estimate,Political Stability,0.011635643554089076,-0.008688600281738413,0.031959887389916564,0.010369512161136475
Rule of law index,Rule of Law,0.05851042300235641,0.0071951536767542595,0.10982569232795857,0.0261812598600011
log_Production_Value,Production Value,-0.0070965376062709345,-0.013919771199682848,-0.00027330401285902226,0.0034812416292917922
Forestry rents (% of GDP),Forestry rents (% GDP),-0.007557643628443881,-0.012980222794302058,-0.0021350644625857057,0.0027666220233970285
Trade (% of GDP),Trade,0.00018664392487440743,-0.0002397575123171086,0.0006130453620659235,0.00021755175366914084
log_HCI_x_log_Production,HCI × Production,0.009401579655931422,-0.024962944120969194,0.043766103432832035,0.017532920294337048
log_GFCF_x_log_Production,GFCF × Production,0.0023042827546033325,-0.0037801762380572524,0.008388741747263917,0.0031043158125819313
log_HCI_x_forestry_rents,HCI × Forestry,-0.026710945249555924,-0.04718919632230653,-0.006232694176805314,0.010448087282015617
log_GFCF_x_forestry_rents,GFCF × Forestry,0.0028885188006310385,-0.0013481439701493588,0.007125181571411436,0.002161562638153264
