iter,feature,short,coef
0,Total_Production_Value_Per_Capita,Production Value,-0.0
0,Human capital index,Human Capital,0.06580800788958731
0,Rule of law index,Rule of Law,0.0
0,Political stability — estimate,Political Stability,0.0
0,Trade (% of GDP),Trade,-0.0
0,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,0.0
0,Share of investment in GDP,Investment Share,0.0
0,Domestic credit to private sector (% of GDP),Domestic Credit,0.10249627112000632
0,Landlocked,Landlocked,-0.0
0,Urban population (% of total population),Urban Population,0.0
0,Government revenue,Gov Revenue,-0.0
0,Capital depreciation rate,Depreciation,-0.006074709918227284
0,"Use of IMF credit (DOD, current US$)",IMF Credit,0.0
0,Real interest rate (%),Real Rate,-0.0
0,"Inflation, consumer prices (annual %)",Inflation,0.0
0,Access to electricity (% of population),Electricity,0.007757544371188404
0,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.0
0,L1_ECI,Lagged ECI,0.5191456306858069
0,Forestry rents (% of GDP),Forestry rents (% GDP),0.0
0,HCI_x_ProductionValue,HC × Production,0.0
0,GFCF_x_ProductionValue,GFCF × Production,0.0
1,Total_Production_Value_Per_Capita,Production Value,-0.0
1,Human capital index,Human Capital,0.005702872854031755
1,Rule of law index,Rule of Law,0.0
1,Political stability — estimate,Political Stability,0.0
1,Trade (% of GDP),Trade,-0.0
1,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,-0.0
1,Share of investment in GDP,Investment Share,0.0
1,Domestic credit to private sector (% of GDP),Domestic Credit,0.050390332465611413
1,Landlocked,Landlocked,0.0
1,Urban population (% of total population),Urban Population,0.04083699855501928
1,Government revenue,Gov Revenue,-0.0
1,Capital depreciation rate,Depreciation,-0.0
1,"Use of IMF credit (DOD, current US$)",IMF Credit,0.0
1,Real interest rate (%),Real Rate,-0.0
1,"Inflation, consumer prices (annual %)",Inflation,0.0
1,Access to electricity (% of population),Electricity,0.06320227641013686
1,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.0
1,L1_ECI,Lagged ECI,0.5817133622511799
1,Forestry rents (% of GDP),Forestry rents (% GDP),-0.0
1,HCI_x_ProductionValue,HC × Production,0.0
1,GFCF_x_ProductionValue,GFCF × Production,0.0
2,Total_Production_Value_Per_Capita,Production Value,0.0
2,Human capital index,Human Capital,0.04480109358219656
2,Rule of law index,Rule of Law,-0.0
2,Political stability — estimate,Political Stability,0.0
2,Trade (% of GDP),Trade,0.0
2,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,0.0
2,Share of investment in GDP,Investment Share,0.0
2,Domestic credit to private sector (% of GDP),Domestic Credit,0.04928097030198788
2,Landlocked,Landlocked,-0.0
2,Urban population (% of total population),Urban Population,0.0
2,Government revenue,Gov Revenue,-0.0
2,Capital depreciation rate,Depreciation,0.0
2,"Use of IMF credit (DOD, current US$)",IMF Credit,-0.0
2,Real interest rate (%),Real Rate,0.0
2,"Inflation, consumer prices (annual %)",Inflation,-0.0
2,Access to electricity (% of population),Electricity,0.05176531853873256
2,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.0
2,L1_ECI,Lagged ECI,0.6164061231996368
2,Forestry rents (% of GDP),Forestry rents (% GDP),-0.0
2,HCI_x_ProductionValue,HC × Production,0.0
2,GFCF_x_ProductionValue,GFCF × Production,0.0
3,Total_Production_Value_Per_Capita,Production Value,-0.0
3,Human capital index,Human Capital,0.034961108947826294
3,Rule of law index,Rule of Law,0.0
3,Political stability — estimate,Political Stability,0.01838515588259337
3,Trade (% of GDP),Trade,-0.0
3,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,0.0
3,Share of investment in GDP,Investment Share,-0.0
3,Domestic credit to private sector (% of GDP),Domestic Credit,0.045996183443152545
3,Landlocked,Landlocked,-0.0
3,Urban population (% of total population),Urban Population,0.03714522637652823
3,Government revenue,Gov Revenue,-0.0
3,Capital depreciation rate,Depreciation,-0.0
3,"Use of IMF credit (DOD, current US$)",IMF Credit,0.0
3,Real interest rate (%),Real Rate,-0.0
3,"Inflation, consumer prices (annual %)",Inflation,-0.0
3,Access to electricity (% of population),Electricity,0.04070256145434517
3,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.001741381400579528
3,L1_ECI,Lagged ECI,0.5906909387683096
3,Forestry rents (% of GDP),Forestry rents (% GDP),-0.0
3,HCI_x_ProductionValue,HC × Production,0.0
3,GFCF_x_ProductionValue,GFCF × Production,0.0
4,Total_Production_Value_Per_Capita,Production Value,0.0
4,Human capital index,Human Capital,0.02069058418343377
4,Rule of law index,Rule of Law,0.0
4,Political stability — estimate,Political Stability,0.0
4,Trade (% of GDP),Trade,0.0
4,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,0.0
4,Share of investment in GDP,Investment Share,0.0
4,Domestic credit to private sector (% of GDP),Domestic Credit,0.0426231305994679
4,Landlocked,Landlocked,-0.0
4,Urban population (% of total population),Urban Population,0.0
4,Government revenue,Gov Revenue,0.0
4,Capital depreciation rate,Depreciation,-0.0
4,"Use of IMF credit (DOD, current US$)",IMF Credit,-0.0
4,Real interest rate (%),Real Rate,0.0
4,"Inflation, consumer prices (annual %)",Inflation,-0.0
4,Access to electricity (% of population),Electricity,0.07992275153955218
4,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.0
4,L1_ECI,Lagged ECI,0.4924808105663116
4,Forestry rents (% of GDP),Forestry rents (% GDP),-0.0
4,HCI_x_ProductionValue,HC × Production,-0.0
4,GFCF_x_ProductionValue,GFCF × Production,0.0
5,Total_Production_Value_Per_Capita,Production Value,0.0
5,Human capital index,Human Capital,0.0005755564443920351
5,Rule of law index,Rule of Law,0.0
5,Political stability — estimate,Political Stability,0.0
5,Trade (% of GDP),Trade,-0.0
5,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,0.0
5,Share of investment in GDP,Investment Share,0.0
5,Domestic credit to private sector (% of GDP),Domestic Credit,0.10876678611859802
5,Landlocked,Landlocked,-0.0
5,Urban population (% of total population),Urban Population,0.012445830841718481
5,Government revenue,Gov Revenue,-0.0
5,Capital depreciation rate,Depreciation,-0.0
5,"Use of IMF credit (DOD, current US$)",IMF Credit,0.0
5,Real interest rate (%),Real Rate,-0.0
5,"Inflation, consumer prices (annual %)",Inflation,-0.0
5,Access to electricity (% of population),Electricity,0.016291215514406703
5,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.0
5,L1_ECI,Lagged ECI,0.497879964237533
5,Forestry rents (% of GDP),Forestry rents (% GDP),-0.0
5,HCI_x_ProductionValue,HC × Production,0.0
5,GFCF_x_ProductionValue,GFCF × Production,-0.0
6,Total_Production_Value_Per_Capita,Production Value,-0.0
6,Human capital index,Human Capital,0.03273785197095272
6,Rule of law index,Rule of Law,0.0
6,Political stability — estimate,Political Stability,0.0
6,Trade (% of GDP),Trade,0.023030965612754133
6,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,0.0
6,Share of investment in GDP,Investment Share,0.012672901209341593
6,Domestic credit to private sector (% of GDP),Domestic Credit,0.006640028882078676
6,Landlocked,Landlocked,-0.0
6,Urban population (% of total population),Urban Population,0.0292967901614904
6,Government revenue,Gov Revenue,-0.0
6,Capital depreciation rate,Depreciation,0.0
6,"Use of IMF credit (DOD, current US$)",IMF Credit,-0.0
6,Real interest rate (%),Real Rate,0.008273886565647879
6,"Inflation, consumer prices (annual %)",Inflation,-0.007283319606013235
6,Access to electricity (% of population),Electricity,0.09236028129555264
6,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.009276578705537
6,L1_ECI,Lagged ECI,0.7588674722398694
