Year,ClusterLabels,median,std,n,se
1995,Diversified Producers,-0.305,0.8166640397655293,14,0.21826264549295288
1995,Mining Exporters,-0.9575,0.9895175171095592,4,0.4947587585547796
1995,Mixed Producers 1,-0.447,,1,
1995,Oil Exporters,-0.359,0.4197987216115202,6,0.17138211043681828
1995,Petrostates,-0.4155,0.7826982854590945,12,0.2259455329020334
1996,Diversified Producers,-0.444,0.7751797416523034,14,0.2071755004593469
1996,Mining Exporters,-0.8205,0.961110122029035,4,0.4805550610145175
1996,Mixed Producers 1,-0.735,,1,
1996,Oil Exporters,-0.168,0.531404177627538,6,0.2169448470617974
1996,Petrostates,-0.45699999999999996,1.003074032737123,12,0.2895625314089508
1997,Diversified Producers,-0.424,0.8166596531058633,14,0.21826147310884272
1997,Mining Exporters,-0.9484999999999999,1.0486922014267737,4,0.5243461007133868
1997,Mixed Producers 1,-0.511,,1,
1997,Oil Exporters,-0.22199999999999998,0.765973824618048,6,0.3127075044403849
1997,Petrostates,-0.6825,0.8158358188589988,12,0.23551151481639088
1998,Diversified Producers,-0.475,0.8296297764268505,14,0.22172788437536706
1998,Mining Exporters,-1.063,0.8132905897238288,4,0.4066452948619144
1998,Mixed Producers 1,-0.82,,1,
1998,Oil Exporters,-0.2205,0.7157443677738582,6,0.29220141455281606
1998,Petrostates,-0.35250000000000004,0.8442471767524873,12,0.24371316738031507
1999,Diversified Producers,-0.32699999999999996,0.8642118177472847,14,0.23097032368653309
1999,Mining Exporters,-1.2035,0.9737680678683195,4,0.48688403393415974
1999,Mixed Producers 1,0.037,,1,
1999,Oil Exporters,-0.2625,0.671739135875428,6,0.2742363538588161
1999,Petrostates,-0.4305,0.6447360747318286,12,0.18611927315134197
2000,Diversified Producers,-0.361,0.9023224278140624,14,0.24115581266302022
2000,Mining Exporters,-1.0285,0.7348419331166851,4,0.36742096655834255
2000,Mixed Producers 1,-0.457,,1,
2000,Oil Exporters,-0.3865,0.7148741847346286,6,0.29184616381465994
2000,Petrostates,-0.759,0.8757518804208222,12,0.2528077919521413
2001,Diversified Producers,-0.4525,0.9016598887302546,14,0.24097874164466623
2001,Mining Exporters,-1.026,0.6750829578651797,4,0.33754147893258984
2001,Mixed Producers 1,-0.689,,1,
2001,Oil Exporters,-0.3245,0.6501026585599129,6,0.2654032989830969
2001,Petrostates,-0.73,0.689844838724732,12,0.19914105166839902
2002,Diversified Producers,-0.42900000000000005,0.7779881951984439,14,0.20792609124194175
2002,Mining Exporters,-1.032,0.6301917036373402,4,0.3150958518186701
2002,Mixed Producers 1,0.14,,1,
2002,Oil Exporters,-0.3775,0.7187376897496517,6,0.2934234331322417
2002,Petrostates,-0.5095000000000001,0.7580447736036959,12,0.2188286770489414
2003,Diversified Producers,-0.3605,0.8307393238410133,14,0.22202442339523693
2003,Mining Exporters,-1.1025,0.8724373903037398,4,0.4362186951518699
2003,Mixed Producers 1,-0.008,,1,
2003,Oil Exporters,-0.2615,0.6817763318469383,6,0.27833402195523593
2003,Petrostates,-0.5645,0.7414783094152744,12,0.21404635076958867
2004,Diversified Producers,-0.35650000000000004,0.9213565756863298,14,0.24624290266210713
2004,Mining Exporters,-1.1480000000000001,0.6287010418314892,4,0.3143505209157446
2004,Mixed Producers 1,0.285,,1,
2004,Oil Exporters,-0.1075,0.5421903724707771,6,0.22134829266715988
2004,Petrostates,-0.438,0.671069222595666,12,0.19372099815524035
2005,Diversified Producers,-0.33199999999999996,0.9276102138243244,14,0.24791425775733847
2005,Mining Exporters,-1.2505,0.6922958784604551,4,0.3461479392302276
2005,Mixed Producers 1,-0.562,,1,
2005,Oil Exporters,0.219,0.4686137001838508,6,0.19131074198800235
2005,Petrostates,-0.39849999999999997,0.7825013505652011,12,0.2258886826950323
2006,Diversified Producers,-0.29000000000000004,0.8264684068205675,14,0.22088297280824767
2006,Mining Exporters,-1.428,0.8136252208480266,4,0.4068126104240133
2006,Mixed Producers 1,-0.854,,1,
2006,Oil Exporters,-0.08550000000000005,0.6112592466921598,6,0.24954554249230299
2006,Petrostates,-0.675,0.8231727376806195,12,0.23762950084473344
2007,Diversified Producers,-0.325,0.776171655988828,14,0.2074406007167972
2007,Mining Exporters,-1.5099999999999998,0.7653266731707883,4,0.38266333658539414
2007,Mixed Producers 1,-1.061,,1,
2007,Oil Exporters,-0.1835,0.5866490432959045,6,0.2394984690278138
2007,Petrostates,-0.92,0.7461216236463915,12,0.2153867601302224
2008,Diversified Producers,-0.32699999999999996,0.7864030682253762,14,0.21017506065765504
2008,Mining Exporters,-1.337,0.638462932883865,4,0.3192314664419325
2008,Mixed Producers 1,-0.409,,1,
2008,Oil Exporters,-0.5055000000000001,0.5890736513091267,6,0.24048831110425675
2008,Petrostates,-1.0585,0.6618838758811966,12,0.19106941695614085
2009,Diversified Producers,-0.4335,0.7547370111793618,14,0.20171195092506755
2009,Mining Exporters,-1.2974999999999999,0.781895719816055,4,0.3909478599080275
2009,Mixed Producers 1,-0.167,,1,
2009,Oil Exporters,-0.38849999999999996,0.6445887577879921,6,0.26315225841917284
2009,Petrostates,-1.1520000000000001,0.6223307303024558,12,0.17965140733254964
2010,Diversified Producers,-0.4415,0.7901540954177828,14,0.2111775648435449
2010,Mining Exporters,-1.3705,0.5890203024231565,4,0.29451015121157825
2010,Mixed Producers 1,-0.586,,1,
2010,Oil Exporters,-0.3405,0.7407996805254892,6,0.30243020315070684
2010,Petrostates,-0.6445000000000001,0.8426113585248846,12,0.2432409473332892
2011,Diversified Producers,-0.4405,0.780161958389847,14,0.20850705389209967
2011,Mining Exporters,-1.142,0.6046414915744149,4,0.30232074578720747
2011,Mixed Producers 1,-0.378,,1,
2011,Oil Exporters,-0.1545,0.8611939193158917,6,0.3515809453185868
2011,Petrostates,-0.724,0.5643469476064589,12,0.16291293105846633
2012,Diversified Producers,-0.444,0.7704271720756788,14,0.205905322812023
2012,Mining Exporters,-1.1425,0.5648554387333689,4,0.2824277193666844
2012,Mixed Producers 1,-0.787,,1,
2012,Oil Exporters,-0.3645,0.7205798822244948,6,0.29417550506080176
2012,Petrostates,-0.8945,0.8466649501891452,12,0.24441111845256205
2013,Diversified Producers,-0.514,0.7940573684536931,14,0.2122207584426456
2013,Mining Exporters,-1.213,0.5975317983170435,4,0.29876589915852175
2013,Mixed Producers 1,-0.756,,1,
2013,Oil Exporters,-0.2995,0.7476070491909504,6,0.3052092997709387
2013,Petrostates,-1.057,0.8388574616161502,12,0.24215729063790525
2014,Diversified Producers,-0.3835,0.7649125246259668,14,0.2044314712859038
2014,Mining Exporters,-1.5215,0.5898590227051433,4,0.29492951135257167
2014,Mixed Producers 1,-1.068,,1,
2014,Oil Exporters,-0.376,0.6800230633343745,6,0.2776182530822576
2014,Petrostates,-0.8965000000000001,0.9993982242359953,12,0.28850141689514297
2015,Diversified Producers,-0.6194999999999999,0.7822363825863371,14,0.2090614670791068
2015,Mining Exporters,-1.2475,0.5639296646450396,4,0.2819648323225198
2015,Mixed Producers 1,-1.186,,1,
2015,Oil Exporters,-0.16749999999999998,0.7208822372620927,6,0.29429894098801423
2015,Petrostates,-0.6975,0.7087736955581461,12,0.20460534196251076
2016,Diversified Producers,-0.6094999999999999,0.8603726256367383,14,0.22994425643512806
2016,Mining Exporters,-1.2035,0.5903119937795606,4,0.2951559968897803
