feature,short,lasso,ridge,en,rf,abs_avg,rf_norm
Total_Production_Value_Per_Capita,Production Value,-0.0,0.004564483405226972,-0.0,0.0009485019234059659,0.0015214944684089906,0.0009525610567995982
Human capital index,Human Capital,0.0065399294724385075,-0.010885663838181492,0.018555930500434983,0.0032128917448580297,0.011993841270351661,0.0033246118709078913
Rule of law index,Rule of Law,0.0,-0.014997017230496222,0.0,0.0017926726516466552,0.004999005743498741,0.0018368680980164003
Political stability — estimate,Political Stability,0.0,0.036662362823311985,0.0,0.0015476635129727215,0.012220787607770662,0.0015802099372396522
Trade (% of GDP),Trade,-0.0,0.010994855742453265,-0.0,0.0018057002371571623,0.0036649519141510882,0.001850515083408804
"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,0.0,0.0006195314341605999,0.0,0.0005913469983988667,0.0002065104780535333,0.000578425109623062
Share of investment in GDP,Investment Share,0.0,0.004985116301197167,-0.0,0.0018563251043556567,0.001661705433732389,0.001903546922853881
Domestic credit to private sector (% of GDP),Domestic Credit,0.042932522267316676,0.0640003344585072,0.05743985339540203,0.007257093012462143,0.05479090337374196,0.007561095721151699
Landlocked,Landlocked,-0.0,0.006351954236414519,-0.0,3.917504537300736e-05,0.00211731807880484,0.0
Urban population (% of total population),Urban Population,0.013228748056000553,0.06809059631700264,0.02716462852813187,0.005281925461931399,0.03616132430037835,0.005492018324737551
Government revenue,Gov Revenue,-0.0,-7.870903537428893e-05,-0.0,0.002508642245266579,2.6236345124762977e-05,0.0025868786489090293
Capital depreciation rate,Depreciation,-0.0,-0.024795500532924356,-0.0,0.0008155037760731457,0.008265166844308119,0.0008132394785682463
"Use of IMF credit (DOD, current US$)",IMF Credit,-0.0,-0.01103504013814998,-0.0,0.001893680574521571,0.0036783467127166603,0.0019426784683938773
Real interest rate (%),Real Rate,0.0,0.0009299592414403138,0.0,0.0008168955468548363,0.00030998641381343794,0.0008146974214473766
"Inflation, consumer prices (annual %)",Inflation,-0.0,-0.027639479888486522,-0.0,0.0008330821178607103,0.009213159962828841,0.0008316535871077062
Access to electricity (% of population),Electricity,0.03295595628321092,0.12546974399478855,0.042985524330316625,0.0035140078473481647,0.06713707486943869,0.0036400446154318936
Adjusted savings: gross savings (% of GNI),Gross Savings,-0.0,-0.0437763660750751,-0.0015903258371859354,0.0008010027287291947,0.015122230637420346,0.0007980489752230298
L1_ECI,Lagged ECI,0.6278004568111695,0.5856379432320544,0.5953272387110055,0.954651870516202,0.6029218795847431,0.9999999999989525
Forestry rents (% of GDP),Forestry rents (% GDP),0.0,0.05869503366853984,0.0,0.007175019568034165,0.019565011222846613,0.007475120073837044
HCI_x_ProductionValue,HC × Production,0.0,0.023612243359298745,0.0,0.0011051239543563318,0.007870747786432914,0.00111662972223145
GFCF_x_ProductionValue,GFCF × Production,0.0,0.015885401690511527,0.0,0.0015518754321917337,0.005295133896837175,0.0015846221132341588
