Country Code,Country,ClusterLabels
AGO,Angola,Oil Exporters
ALB,Albania,Diversified Producers
ARE,United Arab Emirates,Oil Exporters
ARG,Argentina,Diversified Producers
AZE,Azerbaijan,Oil Exporters
BHR,Bahrain,Petrostates
BIH,Bosnia and Herzegovina,Diversified Producers
BOL,Bolivia,Diversified Producers
BWA,Botswana,Diversified Producers
CHL,Chile,Mining Exporters
CHN,China,Diversified Producers
CMR,Cameroon,Diversified Producers
COD,"Congo, Dem. Rep.",Diversified Producers
COG,"Congo, Rep.",Oil Exporters
COL,Colombia,Diversified Producers
DOM,Dominican Republic,Mixed Producers 1
DZA,Algeria,Petrostates
ECU,Ecuador,Diversified Producers
EGY,"Egypt, Arab Rep.",Diversified Producers
EST,Estonia,Diversified Producers
GAB,Gabon,Oil Exporters
GHA,Ghana,Diversified Producers
GIN,Guinea,Mining Exporters
GNQ,Equatorial Guinea,Oil Exporters
IDN,Indonesia,Diversified Producers
IND,India,Diversified Producers
IRN,"Iran, Islamic Rep.",Oil Exporters
IRQ,Iraq,Oil Exporters
JAM,Jamaica,Diversified Producers
KAZ,Kazakhstan,Oil Exporters
KWT,Kuwait,Oil Exporters
LBR,Liberia,Mixed Producers 1
LBY,Libya,Oil Exporters
MEX,Mexico,Diversified Producers
MMR,Myanmar,Diversified Producers
MNG,Mongolia,Mining Exporters
MRT,Mauritania,Mixed Producers 1
MYS,Malaysia,Diversified Producers
NGA,Nigeria,Diversified Producers
OMN,Oman,Oil Exporters
PAK,Pakistan,Diversified Producers
PER,Peru,Mining Exporters
PNG,Papua New Guinea,Mining Exporters
QAT,Qatar,Petrostates
ROU,Romania,Diversified Producers
RUS,Russian Federation,Petrostates
SAU,Saudi Arabia,Oil Exporters
TTO,Trinidad and Tobago,Petrostates
TUN,Tunisia,Diversified Producers
UKR,Ukraine,Diversified Producers
UZB,Uzbekistan,Petrostates
VEN,"Venezuela, RB",Oil Exporters
VNM,Viet Nam,Diversified Producers
YEM,"Yemen, Rep.",Oil Exporters
ZAF,South Africa,Diversified Producers
ZWE,Zimbabwe,Diversified Producers
