iter,feature,short,coef
0,Total_Production_Value_Per_Capita,Production Value,-0.0
0,Human capital index,Human Capital,0.0
0,Rule of law index,Rule of Law,0.0
0,Political stability — estimate,Political Stability,0.0
0,Trade (% of GDP),Trade,-0.0
0,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,0.0
0,Share of investment in GDP,Investment Share,0.0
0,Domestic credit to private sector (% of GDP),Domestic Credit,0.07328915904649279
0,Landlocked,Landlocked,-0.0
0,Urban population (% of total population),Urban Population,0.0
0,Government revenue,Gov Revenue,-0.0
0,Capital depreciation rate,Depreciation,-0.010803561296967518
0,"Use of IMF credit (DOD, current US$)",IMF Credit,0.0
0,Real interest rate (%),Real Rate,-0.0
0,"Inflation, consumer prices (annual %)",Inflation,-0.0
0,Access to electricity (% of population),Electricity,0.050164732133461454
0,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.0
0,L1_ECI,Lagged ECI,0.5570139635533908
0,Forestry rents (% of GDP),Forestry rents (% GDP),-0.0
0,HCI_x_ProductionValue,HC × Production,-0.0
0,GFCF_x_ProductionValue,GFCF × Production,0.0
1,Total_Production_Value_Per_Capita,Production Value,-0.0
1,Human capital index,Human Capital,0.0
1,Rule of law index,Rule of Law,0.013107847130958868
1,Political stability — estimate,Political Stability,0.0
1,Trade (% of GDP),Trade,-0.0
1,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,-0.0
1,Share of investment in GDP,Investment Share,0.0
1,Domestic credit to private sector (% of GDP),Domestic Credit,0.05001309979492858
1,Landlocked,Landlocked,-0.0073068766649172995
1,Urban population (% of total population),Urban Population,0.045620736894277016
1,Government revenue,Gov Revenue,-0.016767948569424512
1,Capital depreciation rate,Depreciation,-0.008190467408073629
1,"Use of IMF credit (DOD, current US$)",IMF Credit,-0.004571364290782069
1,Real interest rate (%),Real Rate,0.0
1,"Inflation, consumer prices (annual %)",Inflation,-0.0006633722540709151
1,Access to electricity (% of population),Electricity,0.06995872250040372
1,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.00888577571027358
1,L1_ECI,Lagged ECI,0.6062479485451167
1,Forestry rents (% of GDP),Forestry rents (% GDP),-2.3970058948439052e-05
1,HCI_x_ProductionValue,HC × Production,0.0
1,GFCF_x_ProductionValue,GFCF × Production,0.0
2,Total_Production_Value_Per_Capita,Production Value,-0.0
2,Human capital index,Human Capital,0.0
2,Rule of law index,Rule of Law,0.0
2,Political stability — estimate,Political Stability,0.0
2,Trade (% of GDP),Trade,-0.009658569501404365
2,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,0.0
2,Share of investment in GDP,Investment Share,-0.0
2,Domestic credit to private sector (% of GDP),Domestic Credit,0.08934240520306523
2,Landlocked,Landlocked,-0.0
2,Urban population (% of total population),Urban Population,0.008614952839359266
2,Government revenue,Gov Revenue,-0.0
