Year,ClusterLabels,median,std,n,se
1995,Forestry Intensive,-0.868,0.6277015561473012,13,0.17409308818289482
1995,Major Producers,-0.10450000000000004,0.48409292037330554,10,0.1530836227542174
1995,Mining Exporters,-0.4055729138484963,0.5918779788417711,4,0.29593898942088553
1995,Oil Exporters,-0.831,0.8039513844576851,15,0.20757935487766738
1995,Petrostates,-0.149,0.38874345806775473,7,0.14693121626436353
1996,Forestry Intensive,-0.804,0.6697507477431914,13,0.18575543559757113
1996,Major Producers,-0.027999999999999955,0.5931230338920698,10,0.18756197198081848
1996,Mining Exporters,-0.349,0.4706779261752799,4,0.23533896308763996
1996,Oil Exporters,-1.059,0.9691204750897049,15,0.25022583069940313
1996,Petrostates,-0.165,0.33872393591522987,7,0.1280256139338111
1997,Forestry Intensive,-0.885,0.6675957052296139,13,0.18515773434499352
1997,Major Producers,0.012999999999999956,0.5747486890420505,10,0.18175149395687387
1997,Mining Exporters,-0.413,0.5636607520633417,4,0.2818303760316708
1997,Oil Exporters,-1.093,0.8686897742056849,15,0.22429473523461993
1997,Petrostates,-0.194,0.478243213677488,7,0.180758944227851
1998,Forestry Intensive,-0.89,0.6407176765359615,13,0.17770311044973536
1998,Major Producers,-0.04100000000000005,0.5132980074425035,10,0.16231908219443714
1998,Mining Exporters,-0.5469999999999999,0.5917742428750796,4,0.2958871214375398
1998,Oil Exporters,-1.071,0.8504528205609057,15,0.21958597405116748
1998,Petrostates,-0.011,0.4752807691499936,7,0.1796392454431975
1999,Forestry Intensive,-0.907,0.7038320112072198,13,0.19520787736312126
1999,Major Producers,-0.068,0.5010728046457475,10,0.1584531336249162
1999,Mining Exporters,-0.438,0.5890829704970342,4,0.2945414852485171
1999,Oil Exporters,-1.061,0.7992469491429327,15,0.20636467490251098
1999,Petrostates,-0.1689999999999999,0.27747054755758266,7,0.10487400928318344
2000,Forestry Intensive,-0.732,0.6210929159605751,13,0.1722601811787154
2000,Major Producers,-0.0005000000000000004,0.5275842639385254,10,0.16683679317091768
2000,Mining Exporters,-0.563,0.5557675623255943,4,0.27788378116279716
2000,Oil Exporters,-1.051,0.9669690101893994,15,0.24967032485081425
2000,Petrostates,-0.321,0.4367152826444686,7,0.16506286165979228
2001,Forestry Intensive,-0.689,0.6494772059323105,13,0.1801325667872331
2001,Major Producers,-0.031499999999999945,0.6106877725610327,10,0.19311643005077417
2001,Mining Exporters,-0.7645,0.5672606690637617,4,0.28363033453188086
2001,Oil Exporters,-1.051,0.8502842941936427,15,0.21954246073024705
2001,Petrostates,-0.192,0.3689692205513703,7,0.139457257002324
2002,Forestry Intensive,-0.73,0.72387339522025,13,0.20076635718544775
2002,Major Producers,-0.06849999999999995,0.6485717299488846,10,0.20509638926341164
2002,Mining Exporters,-0.5465,0.5632751695811441,4,0.28163758479057205
2002,Oil Exporters,-0.952,0.8108395707683548,15,0.20935787693545388
2002,Petrostates,-0.288,0.417749013278593,7,0.15789428565396807
2003,Forestry Intensive,-0.715,0.7355001176593536,13,0.2039910297946613
2003,Major Producers,-0.0789999999999999,0.6001477966116161,10,0.18978339700241897
2003,Mining Exporters,-0.3335,0.6031154532923194,4,0.3015577266461597
2003,Oil Exporters,-0.916,0.8098932439937172,15,0.20911353641290445
2003,Petrostates,-0.0779999999999999,0.4593157436676348,7,0.17360503300017888
2004,Forestry Intensive,-0.719,0.7082321164485771,13,0.19642824698351752
2004,Major Producers,-0.1925,0.6516399909288699,10,0.20606665857866907
2004,Mining Exporters,-0.753,0.7645600041854139,4,0.38228000209270696
2004,Oil Exporters,-0.848,0.8052344349554951,15,0.20791063709169144
2004,Petrostates,0.0939999999999999,0.30808540868989404,7,0.11644533913730819
2005,Forestry Intensive,-0.622,0.7130796068048963,13,0.19777269890944263
2005,Major Producers,-0.155,0.6106753638390859,10,0.19311250606835384
2005,Mining Exporters,-0.622,0.6213627496613123,4,0.31068137483065617
