feature,short,lasso,ridge,en,rf,abs_avg,rf_norm
Total_Production_Value_Per_Capita,Production Value,-0.0,-0.014804259430769275,-0.00734738206321367,0.0006455922442444575,0.007383880497994315,0.0006551924005140403
Human capital index,Human Capital,0.015141729471254469,0.018407709610226267,0.02317205749578543,0.0029107495956765404,0.01890716552575539,0.0029790991318379765
Rule of law index,Rule of Law,0.0,0.0023342899386223246,0.0,0.001857213268493947,0.0007780966462074415,0.001898238166092686
Political stability — estimate,Political Stability,0.0,0.02084493730630153,0.009979198861994476,0.0012491200196819094,0.010274712056098667,0.0012743733412965148
Trade (% of GDP),Trade,-0.0,0.002681445404079593,-0.0,0.0006617314021318389,0.0008938151346931976,0.0006717501454445077
"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,0.0,0.006029695706579092,0.0008596418319618644,0.0003411154304821396,0.0022964458461803188,0.00034281864131935564
Share of investment in GDP,Investment Share,0.0,0.0035780671688939586,0.0,0.001062325974526731,0.0011926890562979863,0.0010827345844424254
Domestic credit to private sector (% of GDP),Domestic Credit,0.04265547030393856,0.04371717392478543,0.047776699760059715,0.004693992051447363,0.04471644799626123,0.004808591967701435
Landlocked,Landlocked,-0.0,-0.009465952297925993,-0.007743461766695485,6.963394548192792e-06,0.005736471354873826,0.0
Urban population (% of total population),Urban Population,0.011557221308174158,0.03889525460892758,0.02919249657283468,0.0011678303506651182,0.02654832416331214,0.0011909753341356512
Government revenue,Gov Revenue,-0.0,-0.007940874482863718,-0.0024101171145308456,0.0007570917141274137,0.003450330532464855,0.0007695837333882155
Capital depreciation rate,Depreciation,-0.003895042312472178,-0.026586910615028377,-0.016598296989702256,0.00012803828875446765,0.015693416639067603,0.00012421510649686623
"Use of IMF credit (DOD, current US$)",IMF Credit,0.0,-8.272665277328018e-05,-0.0,0.0010170582639087078,2.7575550924426728e-05,0.00103629280530936
Real interest rate (%),Real Rate,0.0,-0.002831287506724184,0.0,0.0007965020623487139,0.0009437625022413946,0.000810016232904153
"Inflation, consumer prices (annual %)",Inflation,-0.0,-0.020809990516187173,-0.011800280922481853,0.0005764454888900817,0.010870090479556343,0.0005842522470118339
Access to electricity (% of population),Electricity,0.03733795326436354,0.089145574944809,0.06285782447751316,0.00219901088606972,0.06311378422889523,0.0022489006857329425
Adjusted savings: gross savings (% of GNI),Gross Savings,-0.007264885809415986,-0.030178258136429027,-0.022083641154233506,0.0010980399648961548,0.019842261700026172,0.0011193748569468809
L1_ECI,Lagged ECI,0.6439482976783328,0.6137166743545475,0.6174018152703399,0.9747265254568743,0.6250222624344067,0.999999999998974
Forestry rents (% of GDP),Forestry rents (% GDP),0.0,0.02822688653265642,0.008375644460701225,0.002969076172381198,0.012200843664452546,0.003038938473300653
HCI_x_ProductionValue,HC × Production,0.0,0.00586699681376677,0.0020866587925978566,0.0005702708771494209,0.0026512185354548756,0.0005779174898355337
GFCF_x_ProductionValue,GFCF × Production,-0.0,0.005360626470014108,0.0,0.0005653070927014458,0.0017868754900047027,0.0005728249641069359
