feature,short,PC1,PC2,PC1_var,PC2_var
Total_Production_Value_Per_Capita,Production Value,0.473544197704007,0.20284872913300647,0.2859419911373527,0.21956989506914365
Total natural resources rents (% of GDP),Total natural resources rents (% of GDP),0.4407954728881254,-0.4017874208197656,0.2859419911373527,0.21956989506914365
Oil rents (% of GDP),Oil rents (% of GDP),0.5118095825360386,-0.17590691377905557,0.2859419911373527,0.21956989506914365
Natural gas rents (% of GDP),Natural gas rents (% of GDP),0.2500172550546923,0.08271202442967734,0.2859419911373527,0.21956989506914365
Mineral rents (% of GDP),Mineral rents (% of GDP),-0.225282581781124,-0.07518122823343888,0.2859419911373527,0.21956989506914365
Forestry rents (% of GDP),Forestry rents (% GDP),-0.04082118337163954,-0.4491598019945867,0.2859419911373527,0.21956989506914365
"GDP per capita (constant prices, PPP)","GDP per capita (constant prices, PPP)",0.2850736098852076,0.38815138145977784,0.2859419911373527,0.21956989506914365
Trade (% of GDP),Trade,0.30500249060083373,0.1911616940585168,0.2859419911373527,0.21956989506914365
Manufacturing,Manufacturing,-0.17271811471559606,0.3705266527689948,0.2859419911373527,0.21956989506914365
Services,Services,0.021305566384659278,0.47722500650787536,0.2859419911373527,0.21956989506914365
