Country Code,Country,ClusterLabels,PC1,PC2
AGO,Angola,Oil Exporters,2.9058972724323753,-0.9229255963009876
ALB,Albania,Diversified Producers,-1.3251092009085503,-0.9903868526023594
ARE,United Arab Emirates,Oil Exporters,2.5130888223958645,2.8383261365420935
ARG,Argentina,Diversified Producers,-1.4778452828524766,1.5406579436780912
AZE,Azerbaijan,Oil Exporters,1.9310642884059477,-0.06424626488383205
BHR,Bahrain,Petrostates,2.401768263556429,3.48732085534311
BIH,Bosnia and Herzegovina,Diversified Producers,-1.300890518625124,0.4921369578150032
BOL,Bolivia,Diversified Producers,-1.3143205749174598,0.12435349837338276
BWA,Botswana,Diversified Producers,-0.766397540712,0.03066630700407422
CHL,Chile,Mining Exporters,-0.8697965630326263,1.785275172860031
CHN,China,Diversified Producers,-1.6053200113537127,-0.45393549676885786
CMR,Cameroon,Diversified Producers,-1.2476689065269937,-0.5986552225241192
COD,"Congo, Dem. Rep.",Diversified Producers,0.1427928857821757,-4.639794423956742
COG,"Congo, Rep.",Oil Exporters,2.8425297169479067,-0.7305461522632802
COL,Colombia,Diversified Producers,-1.0947805394752426,1.1377320939868372
DOM,Dominican Republic,Mixed Producers 1,-2.328784207178241,0.4651724128319797
DZA,Algeria,Petrostates,0.9097250546207943,0.5861519198238947
ECU,Ecuador,Diversified Producers,-1.0727263847567052,0.4977183456697076
EGY,"Egypt, Arab Rep.",Diversified Producers,-0.7790184738461355,0.2060931564374201
EST,Estonia,Diversified Producers,-0.7549892701803038,1.7000656153025115
GAB,Gabon,Oil Exporters,2.75894328393387,-0.7589922901011653
GHA,Ghana,Diversified Producers,-0.6897884859419691,-2.289380187368096
GIN,Guinea,Mining Exporters,-0.669600156173885,-2.644550122186641
GNQ,Equatorial Guinea,Oil Exporters,1.9260706988620202,-3.278982215295522
IDN,Indonesia,Diversified Producers,-1.353835321961757,0.2891781041313354
IND,India,Diversified Producers,-2.019198949432639,-0.7810796728593212
IRN,"Iran, Islamic Rep.",Oil Exporters,0.6422264131963474,0.26100490595554615
IRQ,Iraq,Oil Exporters,1.2087233631233538,-2.9597722764070418
JAM,Jamaica,Diversified Producers,-1.2137385947404695,1.1961253231309699
KAZ,Kazakhstan,Oil Exporters,-0.30244816539983777,0.9249387158019192
KWT,Kuwait,Oil Exporters,3.5159942120742462,0.560241828963494
LBR,Liberia,Mixed Producers 1,-1.6251623570118823,-1.522981067231515
LBY,Libya,Oil Exporters,2.0706046887941403,-0.4449590924478271
MEX,Mexico,Diversified Producers,-1.2263456660250267,1.7232534298170805
MMR,Myanmar,Diversified Producers,-0.5536490535940177,-2.3666776600014323
MNG,Mongolia,Mining Exporters,-1.0901173653862832,-0.9787747181444544
MRT,Mauritania,Mixed Producers 1,-1.417042221520961,-1.0865002112701136
MYS,Malaysia,Diversified Producers,0.7042650084715846,3.268141934322183
NGA,Nigeria,Diversified Producers,-0.001738616097454798,-1.018892392213376
OMN,Oman,Oil Exporters,2.7203438071501225,0.08482759745400847
PAK,Pakistan,Diversified Producers,-2.0026349817802935,-0.4435113497921114
PER,Peru,Mining Exporters,-1.4806847443689342,0.36315515083389593
PNG,Papua New Guinea,Mining Exporters,0.4044606676235703,-1.2145457928201298
QAT,Qatar,Petrostates,3.3633695899751848,1.349774938456801
ROU,Romania,Diversified Producers,-1.291816350563448,0.777033726933742
RUS,Russian Federation,Petrostates,0.12934068577204255,1.5677265715101014
SAU,Saudi Arabia,Oil Exporters,2.4431147426110487,0.047397756096929936
TTO,Trinidad and Tobago,Petrostates,0.17030688005280925,1.09058939792887
TUN,Tunisia,Diversified Producers,-1.2381109417584033,0.676230250311228
UKR,Ukraine,Diversified Producers,-1.5916267602129137,1.081633782242612
UZB,Uzbekistan,Petrostates,0.6466086684869865,0.20847414802116418
VEN,"Venezuela, RB",Oil Exporters,0.44072075170012903,0.39771761304365605
VNM,Viet Nam,Diversified Producers,-1.0249093977658141,-0.6806822038359855
YEM,"Yemen, Rep.",Oil Exporters,2.893420729625701,-1.2417787222158996
ZAF,South Africa,Diversified Producers,-1.4138243757659714,1.2825854251822897
ZWE,Zimbabwe,Diversified Producers,-1.5414605157271204,0.07084896768484956
