Country Code,Year,Bucket,prod_usd,Country Name,Population,"GDP per capita (constant prices, PPP)",prod_pc,prod_pct_gdp
AFG,1995,Total,5512033.333333334,,,,,
AGO,1995,Total,3930715682.96068,Angola,13699778.0,4214.831,286.9182028322415,6.807347740211683
ALB,1995,Total,80475034.48609836,Albania,3187784.0,4582.92,25.24482037870143,0.550845757261777
ARE,1995,Total,17565872722.83095,United Arab Emirates,2434662.0,47922.56152513657,7214.912264138083,15.055356046345066
ARG,1995,Total,6664093413.062227,Argentina,35070020.0,17387.03,190.02251532968123,1.0928980701688629
ARM,1995,Total,29348291.666666664,Armenia,3307581.0,3008.3849999999984,8.873037929129072,0.29494356371039865
AUS,1995,Total,37132605585.8406,Australia,18004882.0,33895.708,2062.3631738236663,6.084437515875657
AUT,1995,Total,313587203.7230015,Austria,7948278.0,40649.438,39.45347705792393,0.09705786598556153
AZE,1995,Total,1569788848.0283203,Azerbaijan,7684850.0,3142.3250000000007,204.27059058125016,6.50061946428998
BDI,1995,Total,47355600.0,,,,,
BEN,1995,Total,15515207.95036765,,,,,
BFA,1995,Total,16876400.0,Burkina Faso,10386722.0,1049.1100000000006,1.6248052080338724,0.15487462783062517
BGD,1995,Total,416464025.5906667,Bangladesh,122600370.0,2114.981,3.396923072831401,0.16061246284630457
BGR,1995,Total,1535650057.0580585,Bulgaria,8406067.0,11528.769,182.6835376232498,1.584588412026035
BHR,1995,Total,1630038004.8450062,Bahrain,558879.0,46756.829,2916.620600961937,6.237849450744268
BIH,1995,Total,66332033.33333338,Bosnia and Herzegovina,3715564.0,4581.585999999999,17.85248035919537,0.3896572138817294
BLR,1995,Total,241749461.94278497,Belarus,10193831.0,5826.438,23.715270730188188,0.4070286293304448
BOL,1995,Total,914379760.261966,Bolivia,7874676.0,5087.435000000001,116.11649295310258,2.282417228978897
BRA,1995,Total,13764404906.48174,Brazil,161735073.0,11646.923,85.10463841372082,0.730704911621042
BRB,1995,Total,7851445.958754597,Barbados,262039.0,13283.414,29.96289086263723,0.22556619000685535
BRN,1995,Total,1795238544.3253102,Brunei Darussalam,291195.0,74919.753,6165.073384932125,8.228902443034118
BTN,1995,Total,2799797.960000002,,,,,
BWA,1995,Total,97776886.01500002,Botswana,1498836.0,10342.612,65.23521320211151,0.6307421491022919
CAN,1995,Total,39346186026.43527,Canada,29302311.0,36083.95272604459,1342.7673341681232,3.721231275194926
CHE,1995,Total,41866520.0,Switzerland,7040687.0,42650.22867140068,5.946368585906461,0.013942172811593453
CHL,1995,Total,8678856054.754042,Chile,14527381.0,36161.54638631194,597.4136738586288,1.6520689338793462
CHN,1995,Total,91921054457.05807,China,1204855000.0,6421.915404186651,76.29221313523874,1.1879977909005375
CIV,1995,Total,85240973.28814214,Cote d'Ivoire,14855565.0,1337.7118909716955,5.737982586871798,0.4289400898353237
