sample,feature,short,coef,ci_lo,ci_hi
Main sample,log_HCI,Human Capital,2.1416904604179265,0.9163746988466945,3.3670062219891586
Main sample,log_GFCF,Capital Formation,0.1395039676794191,-0.056856941834850266,0.3358648771936885
Main sample,log_Production_Value,Production Value,-0.047155148300945415,-0.1307680175731704,0.036457720971279556
Main sample,log_HCI_x_log_Production,HCI × Production,0.1002961243397015,-0.3485730310435706,0.5491652797229737
Main sample,log_GFCF_x_log_Production,GFCF × Production,0.010789922220406888,-0.07123597708282897,0.09281582152364273
Adj ≥3%,log_HCI,Human Capital,1.9200628331653902,0.7815857339453554,3.058539932385425
Adj ≥3%,log_GFCF,Capital Formation,0.04809255686405978,-0.19596428349120215,0.2921493972193217
Adj ≥3%,log_Production_Value,Production Value,-0.059529632263414255,-0.1890245675055631,0.06996530297873457
Adj ≥3%,log_HCI_x_log_Production,HCI × Production,0.2745792599356318,-0.2895395017634702,0.8386980216347338
Adj ≥3%,log_GFCF_x_log_Production,GFCF × Production,0.03228433786082366,-0.0717066466841439,0.1362753224057912
Adj ≥2%,log_HCI,Human Capital,2.394972858808186,1.1628494506478784,3.6270962669684934
Adj ≥2%,log_GFCF,Capital Formation,0.20518200992963115,-0.015469914989854144,0.42583393484911647
Adj ≥2%,log_Production_Value,Production Value,-0.09812694515336547,-0.2069312492896518,0.01067735898292084
Adj ≥2%,log_HCI_x_log_Production,HCI × Production,-0.16430010005662157,-0.6479570000102464,0.31935679989700316
Adj ≥2%,log_GFCF_x_log_Production,GFCF × Production,-0.016681320933350945,-0.09800075756841672,0.06463811570171482
Adj ≥1%,log_HCI,Human Capital,2.1416904604179265,0.9163746988466945,3.3670062219891586
Adj ≥1%,log_GFCF,Capital Formation,0.1395039676794191,-0.056856941834850266,0.3358648771936885
Adj ≥1%,log_Production_Value,Production Value,-0.047155148300945415,-0.1307680175731704,0.036457720971279556
Adj ≥1%,log_HCI_x_log_Production,HCI × Production,0.1002961243397015,-0.3485730310435706,0.5491652797229737
Adj ≥1%,log_GFCF_x_log_Production,GFCF × Production,0.010789922220406888,-0.07123597708282897,0.09281582152364273
