feature,short,coef,ci_lo,ci_hi,se
log_HCI,Human Capital,0.1554216990190849,-0.044220929105591,0.3550643271437608,0.10185848373707954
log_GFCF,Capital Formation,0.03287688239807122,0.004737092123302082,0.061016672672840354,0.01435703585447405
Political stability — estimate,Political Stability,0.01041674935083687,-0.021371216514324644,0.04220471521599838,0.016218349931204853
Rule of law index,Rule of Law,0.044934570853009115,-0.04703774138154085,0.13690688308755908,0.04692464909926019
log_Production_Value,Production Value,-0.00742507217141199,-0.01887736496377615,0.00402722062095217,0.005843006526716408
Forestry rents (% of GDP),Forestry rents (% GDP),-0.0057770364153606375,-0.015316937558215704,0.0037628647274944287,0.004867296501456666
Trade (% of GDP),Trade,-4.308689388690524e-05,-0.0009042473865368199,0.0008180735987630093,0.00043936759829077274
log_HCI_x_log_Production,HCI × Production,-0.008374449183344818,-0.060136562243579834,0.0433876638768902,0.026409241357262764
log_GFCF_x_log_Production,GFCF × Production,0.00985287706676305,-0.005467058144150315,0.025172812277676412,0.007816293474955799
log_HCI_x_forestry_rents,HCI × Forestry,-0.025202155846606844,-0.08178958376022348,0.03138527206700979,0.028871136690620733
log_GFCF_x_forestry_rents,GFCF × Forestry,0.005685633861595492,0.0011575566547017326,0.010213711068489251,0.002310243472904979
