Feature,LASSO,Ridge,Elastic Net,LASSO_Imp,Ridge_Imp,Elastic Net_Imp,VIF,LASSO_Selected,Elastic Net_Selected
Domestic Credit,0.04906744078398585,0.04511378297234464,0.05049224421603139,0.08252534842364712,0.0735052365103323,0.0864187162233035,2.519197415049874,1,1
Electricity,0.038734099034611655,0.08612498396538391,0.046860013069737666,0.06514594948572572,0.14425645642758075,0.08020206339745543,6.686530260368656,1,1
Savings,-0.018350399118739813,-0.030544821973528192,-0.02259748171559791,0.030863094891250907,0.04837132824541638,0.03867614502113005,2.3580734324330166,1,1
Urban Population,0.016287075325330896,0.03571439708485274,0.020676637697750116,0.02739284023273924,0.05728971485014262,0.03538857330264196,2.209099788185756,1,1
Political Stability,0.012962862202500168,0.025475518519659082,0.015359415819722187,0.021801926139546925,0.03962592711578755,0.026288017450784185,1.7517440476039499,1,1
Depreciation,-0.012480154732291873,-0.017756892232605567,-0.014467276710898933,0.020990072056082318,0.026309998475047027,0.024761099452304154,1.3052348709456068,1,1
Prod Value,-0.006295055811081401,-0.028141312700968854,-0.010674274172869064,0.010587502952168374,0.04422487047294456,0.018269282440451066,2.5553952588182183,1,1
Rule of Law,0.00789454808041433,0.01736727391718269,0.009793435532925622,0.01327765052698769,0.025637841345999512,0.01676170547203372,1.7945040970899067,1,1
HC × Production,0.006665345833065102,0.004670558564204296,0.00789527644816486,0.011210284833467922,0.0037338717373614594,0.01351295957373705,1.675224175373861,1,1
Human Capital,0.0045081407992976115,0.01466520733398169,0.007728377911565603,0.007582133574945197,0.020976321994455784,0.013227308628796947,2.6828074211339445,1,1
GFCF × Production,0.005922786955835543,0.013224535961657532,0.00704770091258516,0.009961392918802556,0.018490921552047603,0.01206231322548421,1.309118329414647,1,1
Real Rate (5yr avg),-0.00043339468744666945,-0.04414828536162346,-0.004660205809407474,0.0007289161002700392,0.07183959073230922,0.00797605671204267,3.2907512799571013,1,1
Gov Revenue,-0.0,-0.01918464117449869,-0.0033907304966877922,0.0,0.028773105551370977,0.005803318532035618,2.3423548819885416,0,1
Capital Formation,0.0,0.018175303554328025,0.0020779563859583787,0.0,0.027031828383029397,0.0035564733956808996,1.6303367699841649,0,1
Investment Share,0.0,-0.011759223637803403,0.0,0.0,0.015963011323569927,0.0,2.2307604587749874,0,0
Landlocked,-0.0,0.003917792269228632,-0.0,0.0,0.0024352232610304436,0.0,1.3802440945531247,0,0
IMF Credit,0.0,0.00454235073011531,0.0,0.0,0.003512691658624347,0.0,1.8720342352464459,0,0
Interest Rate,0.0,0.0296430013357032,0.0,0.0,0.04681553595629276,0.0,3.0089172240883517,0,0
Inflation,-0.0,-0.005995236896820669,-0.0,0.0,0.0060191646759043295,0.0,2.009092297226374,0,0
Trade,-0.0,0.0025062062819077775,-0.0,0.0,0.0,0.0,2.4807710813895048,0,0
Forestry rents (% of GDP),-0.0,0.013751089495117578,-0.0,0.0,0.019399314965114413,0.0,4.0429059051218355,0,0
Inflation (5yr avg),0.0,0.00841256940872735,0.0,0.0,0.010189469861359702,0.0,2.0455943010361732,0,0
Resource HHI,-0.0,0.0067841478120921,0.0,0.0,0.007380168701876656,0.0,1.8873080968692308,0,0
