Variable,Coef,CI_lo,CI_hi,p,Spec,N,R2
const,-0.3195171627324135,-0.5407884764532485,-0.09824584901157854,0.004651887563861153,"v2 algorithmic
(75 countries)",1736,0.8539
log_HCI_lag1,0.17862582868493557,0.03546565005742833,0.3217860073124428,0.014464591718283083,"v2 algorithmic
(75 countries)",1736,0.8539
log_GFCF_lag1,0.01538044334712136,-0.007239994112269766,0.03800088080651248,0.1826468476629366,"v2 algorithmic
(75 countries)",1736,0.8539
Political stability — estimate_lag1,0.01047205360083904,-0.00923086478278332,0.0301749719844614,0.29754330809780405,"v2 algorithmic
(75 countries)",1736,0.8539
Rule of law index_lag1,0.06633015148714559,-0.01387160691356508,0.14653190988785625,0.10502390246763425,"v2 algorithmic
(75 countries)",1736,0.8539
Trade (% of GDP)_lag1,0.00016933966095121665,-0.0004477553864677433,0.0007864347083701766,0.5906861308639016,"v2 algorithmic
(75 countries)",1736,0.8539
log_Prod_lag1,-0.002682473053843542,-0.009287165896843693,0.003922219789156609,0.4260131085811142,"v2 algorithmic
(75 countries)",1736,0.8539
HCI_x_Prod_lag1,0.012605409452257077,-0.021591593773625253,0.04680241267813941,0.4700084458644813,"v2 algorithmic
(75 countries)",1736,0.8539
GFCF_x_Prod_lag1,-0.002302132202334618,-0.010657094506623445,0.006052830101954209,0.5891626491710769,"v2 algorithmic
(75 countries)",1736,0.8539
ECI_lag1,0.8954072200197501,0.8412725225403714,0.9495419174991289,1.50591852551476e-230,"v2 algorithmic
(75 countries)",1736,0.8539
