Variable,Coef,CI_lo,CI_hi,p,Spec,N,R2
const,-0.2893652092937826,-0.48871630522510423,-0.09001411336246098,0.00444173538727786,"v2 algorithmic
(75 countries)",1716,0.8549
log_HCI,0.06175195382139399,-0.0817635366714534,0.20526744431424138,0.39904123311823936,"v2 algorithmic
(75 countries)",1716,0.8549
log_GFCF,0.015207698399426772,-0.008243835456701116,0.03865923225555466,0.20373408524545678,"v2 algorithmic
(75 countries)",1716,0.8549
Political stability — estimate,0.0184460749200074,-0.011438622152474667,0.04833077199248947,0.22636674314141148,"v2 algorithmic
(75 countries)",1716,0.8549
Rule of law index,0.0787786993059824,-0.002465635982359854,0.16002303459432465,0.05736986820157966,"v2 algorithmic
(75 countries)",1716,0.8549
Trade (% of GDP),0.00017124354903307794,-0.0005131245369966666,0.0008556116350628226,0.6238332205525204,"v2 algorithmic
(75 countries)",1716,0.8549
log_Prod,-0.018873063284604818,-0.033063841749952125,-0.004682284819257511,0.009143029003618934,"v2 algorithmic
(75 countries)",1716,0.8549
HCI_x_Prod,0.011152323964217573,-0.02293389142223471,0.045238539350669855,0.5213532614813695,"v2 algorithmic
(75 countries)",1716,0.8549
GFCF_x_Prod,0.010959029136267881,-0.004939641196981103,0.026857699469516865,0.17669142736656007,"v2 algorithmic
(75 countries)",1716,0.8549
ECI_lag1,0.8580273234191912,0.7876280704242724,0.92842657641411,4.074455344986035e-126,"v2 algorithmic
(75 countries)",1716,0.8549
Access to electricity (% of population),0.0023009849036050717,0.0009860045922604648,0.0036159652149496783,0.0006044867805385474,"v2 algorithmic
(75 countries)",1716,0.8549
Landlocked,-0.006100620645914351,-0.04687452703066917,0.034673285738840466,0.7693301556728054,"v2 algorithmic
(75 countries)",1716,0.8549
