Variable,Coef,CI_lo,CI_hi,p,Spec,N,R2
const,-0.2893652092937692,-0.48871630522509624,-0.09001411336244217,0.0044417353872807765,"v2 algorithmic
(75 countries)",1716,0.077
log_HCI,0.06175195382139782,-0.08176353667146245,0.20526744431425809,0.39904123311825235,"v2 algorithmic
(75 countries)",1716,0.077
log_GFCF,0.015207698399420997,-0.008243835456707581,0.038659232255549576,0.20373408524564174,"v2 algorithmic
(75 countries)",1716,0.077
Political stability — estimate,0.018446074920007074,-0.011438622152474983,0.04833077199248913,0.22636674314141947,"v2 algorithmic
(75 countries)",1716,0.077
Rule of law index,0.07877869930598196,-0.002465635982353262,0.16002303459431716,0.05736986820155945,"v2 algorithmic
(75 countries)",1716,0.077
Trade (% of GDP),0.00017124354903229599,-0.0005131245369975051,0.0008556116350620969,0.6238332205541335,"v2 algorithmic
(75 countries)",1716,0.077
log_Prod,-0.01887306328460458,-0.033063841749951146,-0.0046822848192580105,0.009143029003616191,"v2 algorithmic
(75 countries)",1716,0.077
HCI_x_Prod,0.01115232396421784,-0.022933891422236955,0.04523853935067264,0.5213532614813903,"v2 algorithmic
(75 countries)",1716,0.077
GFCF_x_Prod,0.01095902913626758,-0.00493964119698128,0.02685769946951644,0.17669142736656862,"v2 algorithmic
(75 countries)",1716,0.077
ECI_lag1,-0.14197267658080764,-0.21237192957572432,-0.07157342358589096,7.730088780302793e-05,"v2 algorithmic
(75 countries)",1716,0.077
Access to electricity (% of population),0.0023009849036058857,0.0009860045922613359,0.0036159652149504356,0.0006044867805355121,"v2 algorithmic
(75 countries)",1716,0.077
Landlocked,-0.00610062064591466,-0.04687452703066937,0.03467328573884006,0.7693301556727935,"v2 algorithmic
(75 countries)",1716,0.077
